s,S,F,R,RT,congruent,OverallAcc
1,s2,A,r2,0.393,1,1
1,s2,A,r2,0.309,0,1
1,s2,A,r2,0.405,1,1
1,s2,A,r1,0.465,0,0
1,s1,A,r1,0.392,1,1
1,s2,A,r2,0.403,1,1
1,s1,A,r1,0.544,1,1
1,s2,A,r2,0.467,0,1
1,s2,A,r2,0.492,1,1
1,s2,A,r1,0.388,0,0
1,s2,A,r2,0.382,1,1
1,s2,A,r1,0.396,0,0
1,s2,A,r2,0.614,1,1
1,s1,A,r1,0.569,1,1
1,s2,A,r2,0.635,0,1
1,s2,A,r2,0.396,1,1
1,s1,A,r1,0.552,1,1
1,s2,A,r2,0.475,0,1
1,s2,A,r2,0.484,1,1
1,s1,A,r1,0.589,1,1
1,s2,A,r2,0.543,1,1
1,s1,A,r1,0.581,1,1
1,s2,A,r2,0.519,1,1
1,s1,A,r1,0.478,1,1
1,s2,A,r2,0.437,1,1
1,s2,A,r2,0.48,0,1
1,s1,A,r1,0.712,1,1
1,s1,A,r1,0.421,1,1
1,s2,A,r2,0.398,0,1
1,s2,A,r2,0.427,0,1
1,s2,A,r2,0.373,1,1
1,s1,A,r1,0.483,1,1
1,s1,A,r1,0.457,1,1
1,s2,A,r2,0.529,1,1
1,s1,A,r1,0.44,1,1
1,s1,A,r1,0.432,1,1
1,s2,A,r2,0.409,1,1
1,s2,A,r2,0.517,1,1
1,s1,A,r1,0.508,1,1
1,s2,A,r1,0.514,0,0
1,s2,A,r2,0.455,0,1
1,s1,A,r1,0.417,1,1
1,s2,A,r2,0.426,1,1
1,s1,A,r1,0.469,1,1
1,s2,A,r1,0.525,0,0
1,s1,A,r1,0.482,1,1
1,s1,A,r1,0.456,1,1
1,s1,A,r1,0.4,1,1
1,s2,A,r2,0.522,1,1
1,s1,A,r1,0.514,1,1
1,s2,A,r2,0.775,1,1
1,s2,A,r2,0.419,1,1
1,s2,A,r2,0.335,1,1
1,s2,A,r2,0.35,1,1
1,s1,A,r1,0.572,1,1
1,s1,A,r1,0.415,1,1
1,s2,A,r2,0.552,1,1
1,s1,A,r1,0.381,1,1
1,s2,A,r2,0.472,1,1
1,s2,A,r2,0.402,1,1
1,s1,A,r1,0.382,1,1
1,s1,A,r1,0.441,1,1
1,s1,A,r1,0.386,1,1
1,s1,A,r1,0.349,1,1
1,s2,A,r2,0.457,0,1
1,s1,A,r1,0.434,1,1
1,s2,A,r2,0.427,1,1
1,s2,A,r2,0.47,0,1
1,s1,A,r1,0.48,1,1
1,s2,A,r2,0.502,1,1
1,s1,A,r1,0.43,1,1
1,s2,A,r2,0.439,1,1
1,s1,A,r1,0.418,1,1
1,s2,A,r2,0.379,0,1
1,s1,A,r1,0.44,1,1
1,s2,A,r2,0.353,1,1
1,s2,A,r1,0.527,0,0
1,s2,A,r2,0.388,1,1
1,s2,A,r2,0.417,1,1
1,s1,A,r1,0.492,1,1
1,s1,A,r1,0.451,1,1
1,s2,A,r1,0.443,0,0
1,s1,A,r1,0.612,1,1
1,s1,A,r1,0.436,1,1
1,s2,A,r1,0.413,1,0
