Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 031_Resid03_easy1, ResidualCost, 8536, 4196, 4654, 2016-11-30, 12:07:09:303, 451220, 0, 2, B, 12:07:05:535, 11:55:11:396
0, 2, 031_Resid03_easy1, ResidualCost, 14428, 8536, 8942, 2016-11-30, 12:07:15:198, 398540, 0, 2, B, 12:07:05:535, 11:55:11:396
0, 3, 031_Resid03_easy1, ResidualCost, 18924, 14428, 14465, 2016-11-30, 12:07:19:695, 29836, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 4, 031_Resid03_easy1, ResidualCost, 23224, 18924, 19286, 2016-11-30, 12:07:23:995, 353276, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 5, 031_Resid03_easy1, ResidualCost, 27601, 23224, 23989, 2016-11-30, 12:07:28:375, 758700, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 6, 031_Resid03_easy1, ResidualCost, 33038, 27602, 27982, 2016-11-30, 12:07:33:807, 374784, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 7, 031_Resid03_easy1, ResidualCost, 37115, 33038, 33397, 2016-11-30, 12:07:37:886, 353876, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 8, 031_Resid03_easy1, ResidualCost, 41559, 37116, 37413, 2016-11-30, 12:07:42:330, 291036, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 9, 031_Resid03_easy1, ResidualCost, 46354, 41559, 41800, 2016-11-30, 12:07:47:127, 235052, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 10, 031_Resid03_easy1, ResidualCost, 51109, 46355, 46593, 2016-11-30, 12:07:51:880, 232036, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 11, 031_Resid03_easy1, ResidualCost, 55701, 51109, 51367, 2016-11-30, 12:07:56:471, 251692, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 12, 031_Resid03_easy1, ResidualCost, 61019, 55701, 55944, 2016-11-30, 12:08:01:790, 237804, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 13, 031_Resid03_easy1, ResidualCost, 65873, 61019, 61347, 2016-11-30, 12:08:06:642, 321760, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 14, 031_Resid03_easy1, ResidualCost, 71408, 65873, 66596, 2016-11-30, 12:08:12:178, 716376, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 15, 031_Resid03_easy1, ResidualCost, 75560, 71408, 71917, 2016-11-30, 12:08:16:331, 502476, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 16, 031_Resid03_easy1, ResidualCost, 79983, 75560, 76563, 2016-11-30, 12:08:20:753, 99999999, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 17, 031_Resid03_easy1, ResidualCost, 85446, 79983, 80550, 2016-11-30, 12:08:26:217, 561860, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 18, 031_Resid03_easy1, ResidualCost, 91269, 85446, 85739, 2016-11-30, 12:08:32:042, 287768, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 19, 031_Resid03_easy1, ResidualCost, 95909, 91270, 91825, 2016-11-30, 12:08:36:680, 538332, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 20, 031_Resid03_easy1, ResidualCost, 101147, 95909, 96337, 2016-11-30, 12:08:41:917, 420024, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 21, 031_Resid03_easy1, ResidualCost, 105179, 101147, 101687, 2016-11-30, 12:08:45:950, 532408, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 22, 031_Resid03_easy1, ResidualCost, 109967, 105179, 105573, 2016-11-30, 12:08:50:738, 386268, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 23, 031_Resid03_easy1, ResidualCost, 114235, 109967, 110457, 2016-11-30, 12:08:55:008, 483144, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 24, 031_Resid03_easy1, ResidualCost, 119401, 114235, 114929, 2016-11-30, 12:09:00:172, 687948, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 25, 031_Resid03_easy1, ResidualCost, 123513, 119401, 119701, 2016-11-30, 12:09:04:282, 294584, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 26, 031_Resid03_easy1, ResidualCost, 128578, 123514, 123811, 2016-11-30, 12:09:09:351, 291044, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 27, 031_Resid03_easy1, ResidualCost, 133700, 128578, 128803, 2016-11-30, 12:09:14:472, 218744, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 28, 031_Resid03_easy1, ResidualCost, 139285, 133700, 134085, 2016-11-30, 12:09:20:056, 377704, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 29, 031_Resid03_easy1, ResidualCost, 143575, 139286, 139635, 2016-11-30, 12:09:24:346, 341676, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 30, 031_Resid03_easy1, ResidualCost, 148239, 143576, 143965, 2016-11-30, 12:09:29:012, 383304, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 31, 031_Resid03_easy1, ResidualCost, 153390, 148240, 148556, 2016-11-30, 12:09:34:161, 310136, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 32, 031_Resid03_easy1, ResidualCost, 158770, 153390, 153725, 2016-11-30, 12:09:39:543, 329304, 0, 2, 0, 12:07:05:535, 12:07:16:138
0, 33, 031_Resid03_easy1, ResidualCost, 163637, 158770, 159062, 2016-11-30, 12:09:44:408, 285616, 0, 2, 0, 12:07:05:535, 12:07:16:138
