Frame, Trial_Number, Participant_Information, Configuration_Name, Elapsed_Milliseconds_at_Write, Light_On_Millis, Light_Off_Millis, Date, File_Write_Time, DRT_Reaction_Time, Stim_On(1)_Off(0), Light_Red(2)_Green(1), Trial_Code, Trial_Code_Button_Down, Trial_Code_Button_Up
0, 1, 044_Resid03_hard2, ResidualCost, 9159, 5083, 5556, 2017-01-28, 08:32:40:269, 464856, 0, 2, B, 08:32:32:612, 
0, 2, 044_Resid03_hard2, ResidualCost, 14707, 9159, 9711, 2017-01-28, 08:32:45:816, 545424, 0, 2, B, 08:32:32:612, 
0, 3, 044_Resid03_hard2, ResidualCost, 20019, 14707, 15336, 2017-01-28, 08:32:51:129, 624044, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 4, 044_Resid03_hard2, ResidualCost, 25365, 20019, 20781, 2017-01-28, 08:32:56:473, 757596, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 5, 044_Resid03_hard2, ResidualCost, 30630, 25365, 25710, 2017-01-28, 08:33:01:739, 330852, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 6, 044_Resid03_hard2, ResidualCost, 34770, 30630, 31019, 2017-01-28, 08:33:05:880, 384352, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 7, 044_Resid03_hard2, ResidualCost, 39023, 34770, 35186, 2017-01-28, 08:33:10:130, 411752, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 8, 044_Resid03_hard2, ResidualCost, 43302, 39024, 39547, 2017-01-28, 08:33:14:412, 518780, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 9, 044_Resid03_hard2, ResidualCost, 48522, 43303, 43678, 2017-01-28, 08:33:19:631, 362220, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 10, 044_Resid03_hard2, ResidualCost, 53819, 48522, 48849, 2017-01-28, 08:33:24:928, 321460, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 11, 044_Resid03_hard2, ResidualCost, 58975, 53819, 54331, 2017-01-28, 08:33:30:084, 507072, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 12, 044_Resid03_hard2, ResidualCost, 63475, 58975, 59263, 2017-01-28, 08:33:34:585, 283692, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 13, 044_Resid03_hard2, ResidualCost, 68788, 63475, 63911, 2017-01-28, 08:33:39:897, 422508, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 14, 044_Resid03_hard2, ResidualCost, 72866, 68788, 69092, 2017-01-28, 08:33:43:976, 299220, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 15, 044_Resid03_hard2, ResidualCost, 77336, 72866, 73188, 2017-01-28, 08:33:48:445, 316452, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 16, 044_Resid03_hard2, ResidualCost, 82133, 77336, 77662, 2017-01-28, 08:33:53:242, 312592, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 17, 044_Resid03_hard2, ResidualCost, 87226, 82133, 82430, 2017-01-28, 08:33:58:336, 282120, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 18, 044_Resid03_hard2, ResidualCost, 92103, 87227, 88063, 2017-01-28, 08:34:03:211, 832852, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 19, 044_Resid03_hard2, ResidualCost, 96134, 92103, 92368, 2017-01-28, 08:34:07:243, 260724, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 20, 044_Resid03_hard2, ResidualCost, 101243, 96134, 96574, 2017-01-28, 08:34:12:353, 433400, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 21, 044_Resid03_hard2, ResidualCost, 105511, 101244, 101538, 2017-01-28, 08:34:16:618, 288940, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 22, 044_Resid03_hard2, ResidualCost, 110541, 105511, 105813, 2017-01-28, 08:34:21:650, 297032, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 23, 044_Resid03_hard2, ResidualCost, 115416, 110541, 110830, 2017-01-28, 08:34:26:525, 284256, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 24, 044_Resid03_hard2, ResidualCost, 120933, 115416, 115740, 2017-01-28, 08:34:32:041, 311924, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 25, 044_Resid03_hard2, ResidualCost, 125573, 120933, 121161, 2017-01-28, 08:34:36:682, 223948, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 26, 044_Resid03_hard2, ResidualCost, 131245, 125573, 125921, 2017-01-28, 08:34:42:354, 343812, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 27, 044_Resid03_hard2, ResidualCost, 136604, 131245, 131573, 2017-01-28, 08:34:47:714, 323372, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 28, 044_Resid03_hard2, ResidualCost, 142512, 136604, 136908, 2017-01-28, 08:34:53:621, 298760, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 29, 044_Resid03_hard2, ResidualCost, 146792, 142513, 142788, 2017-01-28, 08:34:57:902, 270712, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 30, 044_Resid03_hard2, ResidualCost, 152386, 146793, 147181, 2017-01-28, 08:35:03:496, 384168, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 31, 044_Resid03_hard2, ResidualCost, 156638, 152387, 152678, 2017-01-28, 08:35:07:746, 286216, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 32, 044_Resid03_hard2, ResidualCost, 161825, 156638, 156950, 2017-01-28, 08:35:12:934, 308176, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 33, 044_Resid03_hard2, ResidualCost, 166356, 161825, 162095, 2017-01-28, 08:35:17:466, 265068, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 34, 044_Resid03_hard2, ResidualCost, 171592, 166356, 166717, 2017-01-28, 08:35:22:700, 356812, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 35, 044_Resid03_hard2, ResidualCost, 177076, 171592, 171814, 2017-01-28, 08:35:28:185, 216084, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 36, 044_Resid03_hard2, ResidualCost, 181497, 177077, 177382, 2017-01-28, 08:35:32:607, 300964, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 37, 044_Resid03_hard2, ResidualCost, 186452, 181498, 181786, 2017-01-28, 08:35:37:561, 283028, 0, 2, 0, 08:32:32:612, 08:32:46:801
0, 38, 044_Resid03_hard2, ResidualCost, 190703, 186453, 186764, 2017-01-28, 08:35:41:811, 305920, 0, 2, B, 08:35:40:967, 08:32:46:801
0, 39, 044_Resid03_hard2, ResidualCost, 195749, 190703, 190976, 2017-01-28, 08:35:46:858, 268728, 0, 2, B, 08:35:40:967, 08:32:46:801
