sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
2104,1,22758,0,10,O,white,oCQoCQCoQC,0,1,4077,1144
2104,2,28866,0,10,O,white,oQCoCQCQoC,0,1,3498,758
2104,3,34015,0,10,O,green,QCoQoCoQCQ,0,1,3101,677
2104,4,38716,0,10,O,green,oQCoCQCQoC,0,1,2891,545
2104,5,43051,0,10,O,green,QoCQoCoCQo,0,1,3856,1091
2104,6,48876,1,10,O,green,OQoCoQCQoC,1,1,1876,1312
2104,7,52949,1,10,O,green,OoCQCoQCoQ,1,1,4492,590
2104,8,58918,1,10,O,white,OQCoCQoCQo,1,1,1966,931
2104,9,62705,1,10,O,green,OoQCQoCoCQ,1,1,2440,1562
2104,10,67594,1,10,O,green,OCQoCoQCoQ,0,1,3745,1127
2104,11,73356,0,10,O,green,oQCQoCoQCQ,0,1,4376,862
2104,12,79480,0,10,O,white,QCoQoCoQCo,0,1,4627,1059
2104,13,86074,1,10,O,white,OCQoCQoQCo,1,1,2143,4013
2104,14,93120,0,10,O,white,CQoQCoQoCo,0,1,5015,957
2104,15,99991,0,10,O,green,CQoQCoCoQC,0,1,6300,1891
2104,16,109064,1,10,O,green,OQCoCQoQCo,0,1,6323,3027
2104,17,119345,1,10,O,white,OCQoQCoCQo,1,1,1867,2758
2104,18,124888,0,10,O,white,CoQCoQCoQC,0,1,8432,3009
2104,19,137225,1,10,O,white,OCoQCoQCoQ,1,1,3901,1312
2104,20,143324,1,10,O,white,OoQCQCoQCo,1,1,4458,1460
2104,21,150155,0,10,O,white,CQoQoCoCQC,0,1,5895,1273
2104,22,158202,0,10,O,green,CoQoCQoCQo,0,1,8120,4537
2104,23,171762,1,10,O,green,OoQCoQCQoC,1,1,3138,1466
2104,24,177271,0,10,O,white,CoQoCQCoQC,0,1,8680,1828
2104,25,188671,0,10,O,white,CQoQCoQCoC,0,1,8226,3313
2104,1,28640,1,10,O,green,OQCoQCoQCo,1,1,6970,2739
2104,2,39240,1,10,O,white,OCoQCQoCoQ,1,1,2472,1296
2104,3,43916,1,10,O,green,OCQoCoQCoQ,1,1,2219,836
2104,4,47897,1,10,O,white,OoCQoCQoQC,1,1,3847,1323
2104,5,53987,1,10,O,green,OCoQoQCQCo,1,1,3082,451
2104,6,58407,1,10,O,white,OCoQCoQCoQ,1,1,2963,1695
2104,7,63971,0,10,O,white,oCQCoQCoQC,0,1,6185,974
