sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
22p,1,7123,1,10,O,white,OoQCoQCQoC,1,1,15815,3768
22p,2,27608,1,10,O,white,OoQCoCQoCQ,1,1,4692,954
22p,3,34144,0,10,O,white,oQCoCQoQCQ,0,1,11052,925
22p,4,47007,0,10,O,white,CQoCQoQCoC,0,1,8369,434
22p,5,56680,1,10,O,white,OoQCoQCoQC,1,1,2045,507
22p,6,60174,0,10,O,green,oQCQCoCoQC,7,0,188,2230
22p,7,63779,0,10,O,white,oQCQoCoQCQ,0,1,3192,550
22p,8,68410,0,10,O,green,QoCoCQoQCQ,0,1,7778,1707
22p,9,78784,1,10,O,white,OQCoCQoCoQ,1,1,1488,1086
22p,10,82292,1,10,O,white,OQCoQCoCQo,1,1,13538,577
22p,11,97317,1,10,O,green,OQCoCQoQoC,1,1,17267,937
22p,12,116411,0,10,O,white,QCoCoQoCQC,0,1,2051,541
22p,13,119889,1,10,O,white,OoQCQoCoCQ,1,1,1218,592
22p,14,122587,0,10,O,green,QoCQoCoCQo,0,1,685,434
22p,15,124596,1,10,O,white,OoQCQoCQoC,1,1,1225,493
22p,16,127205,0,10,O,green,oCQoCQCoQo,0,1,772,402
22p,17,129266,0,10,O,green,QCoCQoCoQC,0,1,661,503
22p,18,131312,0,10,O,white,oQCoCQCQoQ,0,1,3624,490
22p,19,136326,1,10,O,green,OCoQCQoQCo,1,1,527,509
22p,20,138246,0,10,O,white,CoQoCQCQoC,0,1,1899,483
22p,21,141514,1,10,O,green,OCoQoQCQoC,1,1,556,521
22p,22,143543,1,10,O,white,OoQCQCoQCo,1,1,1619,496
22p,23,146554,1,10,O,green,OQCoCQoQCo,1,1,606,492
22p,24,148560,0,10,O,green,QCoQCoQoCo,0,1,871,793
22p,25,151149,0,10,O,white,QCoCQoCQoQ,0,1,2312,451
22p,26,154855,1,10,O,green,OCQoCoQCQo,1,1,813,515
22p,27,157079,1,10,O,green,OCQoQCoCoQ,1,1,592,457
22p,28,159032,0,10,O,white,QoCoQCoQCQ,0,1,3248,1026
22p,29,164199,0,10,O,green,oCQCQoQoCQ,0,1,1182,500
22p,30,166764,1,10,O,green,OoCQoCQCoQ,1,1,583,1203
22p,31,172513,1,10,O,green,OQCoQCoQoC,1,1,6548,547
22p,32,180559,1,10,O,white,OoCQCoQCoQ,1,1,1295,481
22p,33,183238,0,10,O,white,QCoQCoQCoC,0,1,2125,404
22p,34,186695,0,10,O,green,QCoQCoQoCQ,0,1,772,378
22p,35,188730,1,10,O,white,OQCoQoCQoC,1,1,1557,426
22p,36,191616,0,10,O,white,QoCQoCQoCQ,0,1,4328,554
22p,37,197387,0,10,O,green,CoQCoQoQCo,0,1,12224,559
22p,38,211047,1,10,O,green,OCoQoCQoCQ,1,1,809,494
22p,39,213235,1,10,O,green,OQoCoCQCQo,1,1,601,795
22p,40,215539,0,10,O,green,QoCoQCQCoC,0,1,677,351
