sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
24g,1,19175,1,10,O,green,OoQCoCQCoQ,1,1,2491,482
24g,2,23120,1,10,O,green,OQCoQoCoQC,1,1,2852,1574
24g,3,28435,0,10,O,green,CQoCQoCQoC,0,1,5827,698
24g,4,35838,1,10,O,green,OoQCoQCoQC,1,1,2787,662
24g,5,40195,1,10,O,green,OoCQoQCQoC,1,1,1763,497
24g,6,43351,0,10,O,green,CoQoCQoCQo,0,1,2741,1073
24g,7,48099,1,10,O,green,OCoQCQoQCo,1,1,1649,568
24g,8,51191,1,10,O,green,OQoCoQCQCo,1,1,2923,1078
24g,9,56143,0,10,O,green,oCQoCQoCQC,0,1,3905,534
24g,10,61462,1,10,O,green,OQCoCoQCoQ,1,1,6198,821
24g,11,69374,1,10,O,green,OCoQCoQoCQ,1,1,2153,606
24g,12,73028,0,10,O,green,CoQCoQCQoQ,0,1,3418,668
24g,13,78011,1,10,O,green,OoCQoQCQCo,0,1,4805,1421
24g,14,85120,0,10,O,green,CoQoCQCoQC,0,1,2188,545
24g,15,88748,1,10,O,green,OoCQCQoCQo,1,1,2395,502
24g,16,92566,0,10,O,green,QoCQoCoQCo,0,1,2954,1222
24g,17,97657,1,10,O,green,OoQCQoCQoC,0,1,1596,677
24g,18,100838,0,10,O,green,oCQoCQoCQo,0,1,1029,925
24g,19,103689,1,10,O,green,OQoCoCQCoQ,1,1,4775,2675
24g,20,112063,1,10,O,green,OCoQCoQoCQ,1,1,1085,635
24g,21,114712,0,10,O,green,oQCoQCoQCQ,0,1,4189,531
24g,22,120324,1,10,O,green,OoQCQoCoQC,1,1,2564,453
24g,23,124228,1,10,O,green,OoCQoQCoCQ,1,1,1423,546
24g,24,127088,0,10,O,green,oQCQCoQCoC,0,1,1462,538
24g,25,129979,0,10,O,green,QoCQCoCQoQ,0,1,1775,464
24g,26,133121,0,10,O,green,CQoQCoQoCo,0,1,4998,579
24g,27,139572,0,10,O,green,oCQoCQoCQC,0,1,5095,394
24g,28,145933,0,10,O,green,CQoQCoCQoC,0,1,1658,408
24g,29,148931,1,10,O,green,OoQCQoCQoC,0,1,4989,3249
24g,30,158064,0,10,O,green,QoCoCQCoQo,0,1,1705,686
24g,31,163696,1,10,O,green,OoCQoCQCoQ,1,1,1198,475
24g,32,166238,0,10,O,green,CQoQCoCQoQ,0,1,1339,624
24g,33,169125,0,10,O,green,oQCQoCoQCo,0,1,750,569
24g,34,171339,1,10,O,green,OQCoQCoQCo,1,1,1436,3653
24g,35,177314,0,10,O,green,oQCoQCQCoQ,0,1,2318,1958
24g,36,182500,0,10,O,green,CoQoCQCoQC,0,1,1054,423
24g,37,184871,0,10,O,green,oQCQCoCQoC,0,1,1365,830
24g,38,187957,1,10,O,green,OQCoQCoQoC,1,1,1015,599
24g,39,190465,1,10,O,green,OoQCoQCQCo,1,1,686,420
24g,40,192460,0,10,O,green,oQCoQCQCoQ,0,1,6140,1529
24g,1,22288,1,10,O,green,OCoQoCQoQC,1,1,727,424
24g,2,24331,0,10,O,green,QCoCQoCQoC,0,1,899,486
24g,3,26613,1,10,O,green,OCoQCoQCoQ,1,1,690,2870
24g,4,31084,1,10,O,green,OQCoQCoQoC,1,1,1313,502
24g,5,33841,1,10,O,green,OQoCQCoCQo,1,1,636,474
24g,6,35828,0,10,O,green,oCQoCQoCQo,0,1,896,503
24g,7,38134,0,10,O,green,CoQoCQCoQo,0,1,1741,594
24g,8,41351,0,10,O,green,CoQoCQoCQo,0,1,1132,1050
24g,9,44411,0,10,O,green,oQCQCoQCoQ,0,1,745,471
24g,10,46563,0,10,O,green,oQCQoCQoCo,0,1,707,488
24g,11,48667,0,10,O,green,QoCoQCoQCQ,0,1,1475,446
24g,12,51478,1,10,O,green,OCoQoQCoQC,1,1,536,548
24g,13,53412,1,10,O,green,OoCQoCQoCQ,1,1,592,401
24g,14,55300,0,10,O,green,QoCQCoCQoQ,0,1,2012,458
24g,15,58690,1,10,O,green,OCoQoQCoQC,1,1,939,353
24g,16,60874,1,10,O,green,OCoQCoQoQC,1,1,1493,443
24g,17,63727,0,10,O,green,QCoQCoCoQo,0,1,869,458
24g,18,65963,1,10,O,green,OQoCQoCoQC,1,1,810,560
24g,19,68234,1,10,O,green,OoQCQoCQoC,1,1,1412,946
24g,20,71501,0,10,O,green,oCQCQoQCoC,0,1,2105,908
24g,21,75426,1,10,O,green,OQoCoQCoCQ,1,1,981,529
24g,22,77848,1,10,O,green,OCoQoQCQoC,1,1,1386,979
24g,23,81100,0,10,O,green,QoCoQCQCoQ,0,1,1637,505
24g,24,84151,0,10,O,green,QoCQoCQoCQ,0,1,3248,498
24g,25,88806,0,10,O,green,oQCQCoCoQC,0,1,3095,545
24g,26,93341,0,10,O,green,oQCoCQoCQo,0,1,3050,501
24g,27,97782,1,10,O,green,OoQCoQCQoC,1,1,555,518
24g,28,99744,1,10,O,green,OCoQoCQoQC,1,1,1181,421
24g,29,102249,1,10,O,green,OQCoQCoQCo,1,1,3095,423
24g,30,106657,0,10,O,green,QCoCoQCQoQ,0,1,588,457
24g,31,112096,0,10,O,green,QoCoQCoCQC,0,1,1273,489
24g,32,114786,0,10,O,green,CoQCoQoQCQ,0,1,1898,471
24g,33,118113,0,10,O,green,oQCQoCoCQo,0,1,721,468
24g,34,120201,1,10,O,green,OoCQCoQCQo,1,1,678,380
24g,35,122175,1,10,O,green,OCoQCoQCoQ,1,1,1356,883
24g,36,125323,0,10,O,green,QoCoCQCQoQ,0,1,2729,458
24g,37,129401,1,10,O,green,OCoQCoQoQC,1,1,805,431
24g,38,131528,1,10,O,green,OQCoCoQCoQ,1,1,644,401
24g,39,133470,1,10,O,green,OQoCQCoQoC,1,1,505,370
24g,40,135281,0,10,O,green,oCQCQoQCoQ,0,1,1149,431
24g,1,20340,0,10,O,green,CQoCQoQoCo,0,1,597,2157
24g,2,23999,0,10,O,green,oQCoQCQoCo,0,1,577,439
24g,3,25939,0,10,O,green,QoCoCQoCQo,0,1,537,448
24g,4,27814,0,10,O,green,QoCQoCQoCo,0,1,943,460
24g,5,30123,0,10,O,green,QoCQoCoQCo,0,1,934,444
24g,6,32403,0,10,O,green,CQoCQoQCoC,0,1,661,413
24g,7,34367,0,10,O,green,CoQCQoQoCQ,0,1,628,426
24g,8,36331,1,10,O,green,OCQoQoCQoC,1,1,573,266
24g,9,38048,1,10,O,green,OQoCoCQoCQ,1,1,389,843
24g,10,40170,0,10,O,green,QCoQCoQCoC,0,1,1644,403
24g,11,43110,1,10,O,green,OCoQCoQCQo,1,1,756,696
24g,12,45450,0,10,O,green,QCoCQoQoCo,0,1,647,781
24g,13,47793,1,10,O,green,OCQoQCoCQo,1,1,505,668
24g,14,49860,1,10,O,green,OQoCoQCoQC,1,1,977,385
24g,15,52117,1,10,O,green,OCQoQoCQoC,1,1,632,370
24g,16,54009,0,10,O,green,QCoQCoCoQo,0,1,577,540
24g,17,56015,1,10,O,green,OCQoCoQoQC,1,1,562,393
24g,18,57875,1,10,O,green,OQCoQCoQCo,1,1,520,417
24g,19,59703,1,10,O,green,OQCoCQoQCo,1,1,1649,456
24g,20,62703,1,10,O,green,OQCoQCoQoC,1,1,687,471
24g,21,64775,1,10,O,green,OQoCQoCoQC,1,1,1255,309
24g,22,67243,0,10,O,green,oQCoCQCQoQ,0,1,632,468
24g,23,69249,0,10,O,green,oCQCoQoQCQ,0,1,1341,782
24g,24,72277,0,10,O,green,oCQoQCQCoC,0,1,1618,478
24g,25,75268,0,10,O,green,QCoCQoQCoQ,0,1,627,775
24g,26,77574,1,10,O,green,OCoQoCQoCQ,1,1,704,422
24g,27,79599,0,10,O,green,CQoCoQoCQC,0,1,328,621
24g,28,81467,1,10,O,green,OoCQCQoQCo,1,1,707,288
24g,29,83343,1,10,O,green,OoQCQoCQoC,1,1,512,501
24g,30,85253,1,10,O,green,OoQCoCQCoQ,1,1,1791,365
24g,31,90253,1,10,O,green,OCQoQCoCQo,1,1,1203,844
24g,32,93211,0,10,O,green,oQCQCoCoQo,0,1,2395,392
24g,33,96908,1,10,O,green,OoCQoCQCQo,1,1,1079,872
24g,34,99751,0,10,O,green,QCoCoQoCQC,0,1,925,450
24g,35,102010,0,10,O,green,CQoQoCoQCQ,0,1,967,1150
24g,36,105018,1,10,O,green,OoCQoCQCQo,1,1,443,414
24g,37,106768,1,10,O,green,OoQCQCoQoC,1,1,1341,557
24g,38,109561,0,10,O,green,oQCQCoQoCQ,0,1,1099,948
24g,39,112503,1,10,O,green,OQCoCQoQCo,1,1,833,433
24g,40,114668,0,10,O,green,QCoCoQCoQo,0,1,2538,548
24g,1,21775,0,10,O,green,CQoCoQCoQo,0,1,1189,428
24g,2,24280,0,10,O,green,QCoCQoCQoQ,0,1,1241,469
24g,3,26882,1,10,O,green,OQCoCQoCQo,1,1,538,561
24g,4,28867,1,10,O,green,OQoCoCQoQC,1,1,652,304
24g,5,30711,1,10,O,green,OCoQoQCQCo,1,1,723,2165
24g,6,34515,1,10,O,green,OQoCQoCQoC,1,1,573,340
24g,7,36337,1,10,O,green,OQCoQoCoQC,1,1,504,453
24g,8,38192,0,10,O,green,CoQoCQCoQo,0,1,1016,382
