sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
29,1,60637,0,10,O,green,QCoCQoQoCQ,0,1,2875,421
29,2,64823,0,10,O,green,oQCoQCoQCQ,0,1,43088,402
29,3,109236,0,10,O,green,CQoQoCoQCo,0,1,2222,407
29,4,112768,1,10,O,green,OQCoCQoCQo,1,1,3130,576
29,5,117380,0,10,O,green,CoQoCQCoQC,0,1,3326,428
29,6,122041,1,10,O,green,OCQoCQoCoQ,1,1,1941,56
29,7,124920,0,10,O,green,QCoCQoCoQo,0,1,2609,389
29,8,128820,1,10,O,green,OCQoQCoQCo,1,1,3008,34
29,9,132767,0,10,O,green,CoQCoQCoQo,0,1,2757,411
29,10,136828,0,10,O,green,oQCoQCoQCQ,0,1,3066,401
29,11,141203,1,10,O,green,OoCQCoQoCQ,1,1,2570,52
29,12,144731,1,10,O,green,OoCQoCQoQC,1,1,2812,49
29,13,148489,1,10,O,green,OCQoQoCQoC,1,1,3168,68
29,14,152643,1,10,O,green,OCQoCQoQCo,1,1,3896,153
29,15,157578,1,10,O,green,OCQoCQoCoQ,1,1,1780,42
29,16,160282,0,10,O,green,CQoCQoCoQo,0,1,2430,420
29,17,164034,1,10,O,green,OoCQoCQoCQ,1,1,3115,921
29,18,168985,0,10,O,green,CoQoCQCoQo,0,1,1798,459
29,19,172134,1,10,O,green,OQoCQoCQoC,1,1,2617,45
29,20,175684,1,10,O,green,OCQoCQoCQo,1,1,2547,43
29,21,179158,0,10,O,green,CQoCQoQCoQ,0,1,1671,527
29,22,182270,0,10,O,green,oQCoQCQoCQ,0,1,2761,449
29,23,186377,1,10,O,green,OQCoQCoQCo,1,1,3173,73
29,24,190530,0,10,O,green,CQoQCoCQoC,0,1,3605,388
29,25,195407,1,10,O,green,OCQoCoQoCQ,1,1,1969,59
29,26,198333,1,10,O,green,OoCQCoQCoQ,1,1,3567,29
29,27,202845,0,10,O,green,CoQCoQCoQo,0,1,1493,953
29,28,206190,1,10,O,green,OCoQCoQCoQ,1,1,700,125
29,29,207924,1,10,O,green,OoCQoQCoQC,1,1,1628,650
29,30,211095,1,10,O,green,OoCQoCQoQC,1,1,658,117
29,31,214850,0,10,O,green,CoQoCQoQCQ,0,1,764,403
29,32,216932,0,10,O,green,QoCQoCoQCo,0,1,1549,382
29,33,219758,0,10,O,green,oQCoQCoCQC,0,1,817,400
29,34,221869,0,10,O,green,oQCQoCoQCQ,0,1,645,431
29,35,223876,0,10,O,green,CQoCoQoCQo,0,1,2280,373
29,36,227429,0,10,O,green,CQoCQoCQoQ,0,1,1861,493
29,37,230691,0,10,O,green,CoQoCQoQCo,0,1,3333,436
29,38,235368,1,10,O,green,OCQoQoCoQC,1,1,3099,62
29,39,239423,1,10,O,green,OoQCoQCQoC,1,1,2196,62
29,40,242588,1,10,O,green,OoQCQCoCQo,1,1,4046,81
