sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
29m,1,12675,1,10,O,white,OoQCQoCoQC,0,1,3339,377
29m,2,17295,0,10,O,green,QoCQoCQCoC,0,1,1213,461
29m,3,19860,1,10,O,white,OQoCQCoCQo,1,1,1008,33
29m,4,21795,1,10,O,green,OoCQCoQCoQ,1,1,2926,47
29m,5,25650,0,10,O,green,oQCQoCQoCQ,0,1,1442,401
29m,6,28438,0,10,O,white,CQoCQoQCoC,0,1,2773,613
29m,7,32742,0,10,O,green,oQCQoCQoCQ,0,1,1051,394
29m,8,35076,1,10,O,white,OCoQoQCoCQ,1,1,1484,82
29m,9,37530,0,10,O,white,CQoCoQCoQC,0,1,3100,532
29m,10,42060,0,10,O,green,oQCoQCoQCo,0,1,1049,701
29m,11,44750,0,10,O,green,oCQoCQCoQC,0,1,1082,417
29m,12,47167,0,10,O,white,CQoCQoQCoC,0,1,2416,447
29m,13,50923,1,10,O,green,OQoCQoCQoC,1,1,2209,34
29m,14,54071,1,10,O,green,OoCQoCQoCQ,1,1,1061,1046
29m,15,57068,0,10,O,white,CoQCoQoCQC,0,1,1914,382
29m,16,60245,0,10,O,white,CoQCoQCoQo,0,1,2057,536
29m,17,63762,1,10,O,white,OoCQCoQoCQ,1,1,1271,736
29m,18,66688,0,10,O,white,CQoCQoCQoC,0,1,6823,465
29m,19,74880,1,10,O,green,OCQoQoCQCo,1,1,2695,57
29m,20,78522,0,10,O,white,oCQoQCQoCQ,0,1,4779,533
29m,21,84724,1,10,O,white,OoQCoQCQCo,1,1,1466,63
29m,22,87143,1,10,O,white,OCQoQCoQoC,1,1,2484,34
29m,23,90549,1,10,O,white,OoQCQoCoQC,1,1,1386,976
29m,24,93844,0,10,O,green,CoQoQCoQCQ,0,1,1070,415
29m,25,96250,1,10,O,white,OQoCQoCQoC,1,1,1597,38
29m,26,98770,1,10,O,green,OoQCoQCoQC,1,1,1688,70
29m,27,101416,0,10,O,white,CoQCoQoQCQ,0,1,4769,536
29m,28,107607,1,10,O,white,OoQCoQCQoC,1,1,2778,61
29m,29,111334,1,10,O,green,OoCQCoQCoQ,1,1,1293,3011
29m,30,116593,1,10,O,green,OCQoCQoQoC,1,1,1147,43
29m,31,121016,0,10,O,green,CQoQoCoQCo,0,1,1020,399
29m,32,123366,0,10,O,green,QoCQoCoQCo,0,1,1016,427
29m,33,125712,0,10,O,white,oQCQCoQCoC,0,1,3082,473
29m,34,130171,1,10,O,white,OQCoQCoCoQ,1,1,2825,22
29m,35,133939,1,10,O,green,OCoQoCQoQC,1,1,1507,1061
29m,36,137407,0,10,O,green,oQCQoCoCQo,0,1,3314,632
29m,37,142269,0,10,O,white,oCQoCQoCQo,0,1,3144,523
29m,38,146826,0,10,O,green,oQCoQCoCQC,0,1,3314,433
29m,39,151482,1,10,O,green,OQCoCQoCQo,0,1,3293,485
29m,40,156181,1,10,O,green,OQCoQoCQoC,1,1,1098,996
29m,1,18744,0,10,O,white,CQoCoQCoQC,0,1,3892,2026
29m,2,25536,0,10,O,green,oCQoQCQoCo,0,1,3403,551
29m,3,30362,1,10,O,white,OoCQoCQoCQ,1,1,1246,46
29m,4,32555,0,10,O,green,CQoCQoCQoC,0,1,1434,602
29m,5,35499,1,10,O,white,OQCoCQoCQo,1,1,1851,71
29m,6,38300,0,10,O,white,QCoQCoQoCQ,0,1,7663,428
29m,7,47242,1,10,O,white,OoCQCoQCoQ,1,1,3398,69
29m,8,51572,0,10,O,green,CoQoQCoQCo,0,1,4074,939
29m,9,57453,1,10,O,green,OCQoQoCQoC,1,1,2121,98
29m,10,60554,0,10,O,white,CoQoQCoQCo,0,1,6403,534
29m,11,68404,1,10,O,white,OCQoQoCQCo,1,1,1962,87
