sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
33w,1,19302,0,10,O,white,oCQoCQCoQo,0,1,1699,895
33w,2,22816,1,10,O,white,OoQCQoCoQC,1,1,2008,513
33w,3,26292,1,10,O,white,OoCQoCQCQo,1,1,1637,398
33w,4,29216,0,10,O,white,oQCQoCoCQC,0,1,1223,692
33w,5,32036,1,10,O,white,OoCQoCQCoQ,1,1,2137,471
33w,6,35557,1,10,O,white,OCQoCQoQoC,0,1,1753,744
33w,7,38928,0,10,O,white,CQoQCoCQoC,0,1,1108,1019
33w,8,41989,1,10,O,white,OoCQoQCoQC,1,1,2215,237
33w,9,45332,1,10,O,white,OoCQoCQCQo,0,1,1082,701
33w,10,48016,1,10,O,white,OCQoCQoQCo,1,1,1472,289
33w,11,50669,0,10,O,white,CoQoCQoQCQ,0,1,1866,1200
33w,12,54644,1,10,O,white,OCQoCoQoCQ,1,1,897,243
33w,13,56677,1,10,O,white,OCQoQCoQCo,1,1,1661,647
33w,14,59871,1,10,O,white,OCQoCoQCoQ,1,1,1333,271
33w,15,62425,1,10,O,white,OoCQoCQoQC,1,1,2062,288
33w,16,65662,0,10,O,white,oCQoCQCQoC,0,1,1492,1458
33w,17,69498,1,10,O,white,OCoQoCQoCQ,1,1,1686,407
33w,18,72491,0,10,O,white,QCoCQoQoCo,0,1,1862,600
33w,19,75883,0,10,O,white,QoCQoCoQCQ,0,1,1707,777
33w,20,79277,0,10,O,white,CQoCQoQoCQ,0,1,1844,660
33w,21,82700,0,10,O,white,CQoQCoCQoC,0,1,1171,857
33w,22,85634,1,10,O,white,OQoCQoCoCQ,1,1,1825,222
33w,23,88607,0,10,O,white,QoCQoCoQCo,0,1,1325,540
33w,24,91378,0,10,O,white,oCQCQoQCoQ,0,1,1409,496
33w,25,94193,0,10,O,white,oQCQCoCQoQ,0,1,1981,623
33w,26,97700,0,10,O,white,QoCQCoQCoC,0,1,1323,601
33w,27,100515,1,10,O,white,OCQoQCoQCo,1,1,1663,276
33w,28,103393,0,10,O,white,oCQoCQoCQC,0,1,1375,618
33w,29,106276,1,10,O,white,OoQCQoCoQC,1,1,1884,1458
33w,30,110513,0,10,O,white,QCoCQoQoCQ,0,1,2936,554
33w,31,117615,1,10,O,white,OCoQoCQCoQ,1,1,2085,1418
33w,32,122040,0,10,O,white,QCoCoQoQCQ,0,1,1867,641
33w,33,125442,1,10,O,white,OQCoCQoQoC,1,1,1607,240
33w,34,128183,1,10,O,white,OCoQoCQCoQ,1,1,1158,175
33w,35,130400,0,10,O,white,CoQoCQCoQC,0,1,2005,606
33w,36,133933,0,10,O,white,CoQoCQoCQC,0,1,1573,608
33w,37,136996,1,10,O,white,OoQCQCoCQo,1,1,1197,317
33w,38,139403,1,10,O,white,OQoCoQCQCo,1,1,1726,181
33w,39,142217,0,10,O,white,oCQoQCQoCQ,0,1,3617,556
33w,40,147299,0,10,O,white,QCoCQoQCoC,0,1,2414,695
33w,1,15743,0,10,O,white,oQCQoCoCQo,0,1,2081,832
33w,2,19545,1,10,O,white,OCoQoCQoQC,1,1,1340,270
33w,3,22079,1,10,O,white,OQoCoQCQoC,1,1,1176,96
33w,4,24256,0,10,O,white,oCQCoQoQCo,0,1,8095,538
33w,5,33780,1,10,O,white,OoCQCoQCoQ,1,1,1386,691
33w,6,36772,1,10,O,white,OQCoCQoCoQ,1,1,1298,431
33w,7,39419,0,10,O,white,QoCoCQCQoQ,0,1,1485,666
33w,8,42489,1,10,O,white,OCQoQCoCQo,1,1,1097,219
33w,9,44700,1,10,O,white,OoQCQoCQoC,0,1,1904,1251
33w,10,48737,0,10,O,white,QoCQCoCoQC,0,1,1485,493
33w,11,51621,1,10,O,white,OoCQoQCoCQ,1,1,1927,261
33w,12,54704,1,10,O,white,OQoCQCoQCo,1,1,1238,84
33w,13,56923,0,10,O,white,oQCQoCoQCo,0,1,1333,808
33w,14,59960,1,10,O,white,OQoCQoCQoC,1,1,1200,123
33w,15,62173,0,10,O,white,oCQCoQoQCQ,0,1,1396,577
33w,16,65029,1,10,O,white,OCoQCoQCoQ,1,1,1438,97
33w,17,67489,0,10,O,white,CoQCoQoCQo,0,1,1803,549
33w,18,70759,0,10,O,white,oCQoCQCoQC,0,1,1079,555
33w,19,73284,0,10,O,white,CQoQCoCQoC,0,1,1069,530
33w,20,75772,1,10,O,white,OQCoCQoCQo,1,1,1252,815
33w,21,78745,0,10,O,white,CQoQCoCoQo,0,1,1276,631
33w,22,81536,0,10,O,white,QCoCQoCQoC,0,1,1790,1083
33w,23,85329,0,10,O,white,oQCoQCQoCQ,0,1,1284,544
33w,24,88048,0,10,O,white,QoCQCoQoCQ,0,1,1335,564
33w,25,90830,0,10,O,white,CoQoCQCQoC,0,1,818,1106
33w,26,93749,0,10,O,white,CQoCQoCQoQ,0,1,1960,512
33w,27,97138,0,10,O,white,oCQCQoCoQo,0,1,1058,581
33w,28,99675,1,10,O,white,OCQoCQoQCo,1,1,1543,718
33w,29,102835,1,10,O,white,OoCQCQoQCo,1,1,1108,904
33w,30,105737,1,10,O,white,OQCoCQoQCo,1,1,1538,100
33w,31,110362,0,10,O,white,oCQoCQCQoC,0,1,140,3180
33w,32,114588,1,10,O,white,OQoCoCQCoQ,1,1,1441,1486
33w,33,118408,0,10,O,white,QCoQCoQCoC,0,1,1644,575
33w,34,121518,1,10,O,white,OoQCQCoCQo,0,1,1767,585
33w,35,124765,0,10,O,white,oCQoCQoCQo,0,1,1701,570
33w,36,127942,1,10,O,white,OQoCQoCQoC,1,1,1244,182
33w,37,130272,1,10,O,white,OQoCoCQCoQ,1,1,1130,218
33w,38,132536,1,10,O,white,OQCoQoCQoC,1,1,1119,1023
33w,39,135568,0,10,O,white,oCQoQCQCoC,0,1,1396,572
33w,40,138440,1,10,O,white,OCoQoCQCoQ,0,1,1442,421
33w,1,48842,0,10,O,white,QoCoCQoCQo,0,1,2723,572
33w,2,53040,0,10,O,white,oCQCoQCoQo,0,1,1468,564
33w,3,55957,0,10,O,white,oCQCoQoCQo,0,1,1321,555
33w,4,58744,1,10,O,white,OoCQoQCQoC,1,1,1584,139
33w,5,61372,1,10,O,white,OQoCQoCoCQ,1,1,1582,514
33w,6,64359,1,10,O,white,OoCQoQCoCQ,1,1,1706,175
33w,7,67151,1,10,O,white,OoQCoCQCoQ,1,1,1678,263
33w,8,69978,0,10,O,white,QCoQCoCQoQ,0,1,2392,647
33w,9,73921,1,10,O,white,OQoCQoCQCo,1,1,1224,264
33w,10,76280,1,10,O,white,OCQoCoQCQo,1,1,1918,228
33w,11,79329,1,10,O,white,OoCQCoQCoQ,1,1,1633,347
33w,12,82219,1,10,O,white,OoCQCoQoCQ,1,1,2003,275
33w,13,85417,0,10,O,white,oQCoCQCQoQ,0,1,1266,652
33w,14,88305,1,10,O,white,OCQoQCoCQo,1,1,1436,1173
33w,15,91819,0,10,O,white,QCoCQoQoCo,0,1,2189,675
33w,16,95561,0,10,O,white,QoCoQCQCoQ,0,1,1753,573
33w,17,98796,0,10,O,white,oCQCoQoQCo,0,1,1142,612
33w,18,101463,1,10,O,white,OQoCQCoQoC,1,1,1650,258
33w,19,104293,0,10,O,white,CQoQoCoCQC,0,1,1952,552
33w,20,107703,1,10,O,white,OCoQCoQCoQ,1,1,1569,161
33w,21,110355,1,10,O,white,OQoCoQCQoC,1,1,1241,102
33w,22,112600,0,10,O,white,QCoCoQoCQC,0,1,3175,574
33w,23,117241,1,10,O,white,OQCoQCoQCo,1,1,1322,121
33w,24,119575,1,10,O,white,OoCQCQoQCo,1,1,2065,107
33w,25,122631,0,10,O,white,CoQoQCoQCQ,0,1,1760,525
33w,26,125854,0,10,O,white,oQCQoCoQCQ,0,1,1684,578
33w,27,129009,1,10,O,white,OCQoQCoQCo,1,1,1890,98
33w,28,131917,1,10,O,white,OCQoQCoCQo,1,1,1423,237
33w,29,134521,0,10,O,white,oCQCoQCoQo,0,1,2394,1247
33w,30,139088,0,10,O,white,CQoCoQoCQC,0,1,2275,1503
33w,31,146283,0,10,O,white,CQoCQoCoQo,0,1,2141,505
33w,32,149865,1,10,O,white,OoCQoQCoQC,1,1,1580,82
33w,33,152431,1,10,O,white,OCQoQCoCoQ,1,1,2095,123
33w,34,155556,1,10,O,white,OoCQCQoCQo,1,1,1629,116
33w,35,158219,0,10,O,white,oQCQoCQoCQ,0,1,3443,1088
33w,36,163683,0,10,O,white,oQCoQCoCQo,0,1,2819,500
33w,37,167892,0,10,O,white,QCoQoCQoCo,0,1,2622,684
33w,38,172109,1,10,O,white,OCQoQCoQCo,1,1,1437,96
33w,39,174527,0,10,O,white,CQoQCoQCoQ,0,1,2006,610
33w,40,178028,0,10,O,white,CQoCoQoCQo,0,1,1700,679
33w,1,16607,0,10,O,white,oQCQoCQoCQ,0,1,1833,661
33w,2,19987,0,10,O,white,oCQoQCoQCo,0,1,1352,639
