sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
204g,1,24300,1,10,O,green,OoQCoQCQoC,1,1,2064,1138
204g,2,28381,0,10,O,green,QoCQCoCoQC,0,1,2397,1005
204g,3,32671,1,10,O,green,OoQCQoCQCo,1,1,1340,1396
204g,4,36298,1,10,O,green,OCQoCQoQCo,0,1,32046,815
204g,5,70078,1,10,O,green,OoCQCQoQoC,0,1,97,470
204g,6,71535,0,10,O,green,CoQoQCoCQo,0,1,239,428
204g,7,73100,0,10,O,green,QCoCQoCQoC,0,1,571,659
204g,8,75209,1,10,O,green,OoQCoQCQoC,0,1,607,639
204g,9,77373,0,10,O,green,QoCQCoQCoC,0,1,2213,1019
204g,10,81494,1,10,O,green,OQoCoCQoQC,0,1,194,687
204g,11,83286,0,10,O,green,oCQCoQCQoQ,0,1,375,857
204g,12,85418,0,10,O,green,QCoQoCoCQo,0,1,1570,570
204g,13,88426,1,10,O,green,OQCoCQoCoQ,1,1,1835,1376
204g,14,92519,1,10,O,green,OCQoQoCoCQ,1,1,711,399
204g,15,94560,0,10,O,green,CoQCoQCQoC,0,1,656,494
204g,16,96630,0,10,O,green,oQCoCQCQoQ,0,1,245,554
204g,17,98307,0,10,O,green,oCQCoQCoQC,0,1,516,295
204g,18,99996,0,10,O,green,CoQoCQoCQC,0,1,113,533
204g,19,101554,1,10,O,green,OQCoQoCoQC,0,1,156,492
204g,20,103100,1,10,O,green,OQoCoQCQCo,0,1,10273,340
204g,21,114584,0,10,O,green,oQCQoCoCQC,0,1,247,892
204g,22,116597,0,10,O,green,oQCQCoQoCQ,0,1,463,385
204g,23,118319,1,10,O,green,OoQCQoCoQC,0,1,324,564
204g,24,120135,0,10,O,green,oQCQoCoCQo,0,1,554,341
204g,25,121917,0,10,O,green,QCoCQoQoCQ,0,1,418,350
204g,26,123580,1,10,O,green,OoCQCoQoCQ,0,1,481,874
204g,27,125815,0,10,O,green,CQoCQoCQoC,0,1,493,386
204g,28,127571,1,10,O,green,OoCQCoQoQC,0,1,2581,372
204g,29,131422,1,10,O,green,OoCQCoQCoQ,0,1,1218,954
204g,30,134506,1,10,O,green,OoQCQoCoQC,0,1,1099,372
204g,31,139180,0,10,O,green,QoCQCoQCoQ,0,1,969,481
204g,32,141565,0,10,O,green,CoQoCQoCQC,0,1,17,552
204g,33,143049,0,10,O,green,QoCQoCQoCQ,0,1,425,604
204g,34,144957,1,10,O,green,OQCoCoQCQo,0,1,78,605
204g,35,146509,0,10,O,green,oQCQoCQoCo,0,1,259,571
204g,36,148219,1,10,O,green,OQoCoCQCoQ,0,1,1032,428
204g,37,150573,0,10,O,green,CQoCQoQoCo,0,1,419,454
204g,38,152315,1,10,O,green,OQCoCQoCQo,0,1,554,396
204g,39,154141,1,10,O,green,OQCoCQoCoQ,0,1,497,435
204g,40,155967,1,10,O,green,OCoQCoQCoQ,0,1,37,608
