sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
3p,1,8063,0,10,O,white,QoCQCoCQoQ,0,1,9763,7106
3p,2,25820,0,10,O,green,oQCQoCQoCQ,0,1,4930,752
3p,3,32395,0,10,O,green,CoQoCQCQoC,0,1,2911,1097
3p,4,37290,1,10,O,white,OQCoQCoCoQ,1,1,5610,793
3p,5,44568,1,10,O,green,OoQCoQCoCQ,1,1,1621,779
3p,6,47896,0,10,O,green,CoQoQCoQCQ,0,1,4160,1931
3p,7,54872,0,10,O,green,QoCoQCQoCo,0,1,1426,1008
3p,8,58194,1,10,O,white,OCQoQoCQCo,1,1,1842,753
3p,9,61708,0,10,O,white,QCoCQoQCoC,0,1,3725,8631
3p,10,74936,1,10,O,green,OoCQCoQCQo,1,1,1274,1068
3p,11,78182,1,10,O,green,OQoCQCoCoQ,1,1,1153,643
3p,12,80886,0,10,O,green,oQCoQCoQCQ,0,1,1231,861
3p,13,83869,1,10,O,green,OoCQCQoQCo,1,1,1290,1601
3p,14,87653,0,10,O,green,oQCoCQCQoC,0,1,877,1279
3p,15,90712,0,10,O,white,CQoCoQCQoC,0,1,2973,1152
3p,16,95726,0,10,O,white,CoQCQoQCoC,0,1,3050,994
3p,17,100675,1,10,O,white,OoQCQoCoQC,1,1,1302,1086
3p,18,103982,1,10,O,white,OCQoCQoCoQ,1,1,2255,1250
3p,19,108377,0,10,O,white,CoQoCQoCQo,0,1,1746,1056
3p,20,112088,1,10,O,white,OoQCQCoQCo,1,1,2494,1212
3p,21,116696,0,10,O,green,CQoQoCQCoC,0,1,1036,898
3p,22,119515,0,10,O,green,QCoCQoQCoC,0,1,1218,1232
3p,23,122874,1,10,O,white,OoQCQCoCoQ,1,1,1634,636
3p,24,126018,1,10,O,green,OoCQCoQoQC,1,1,1205,553
3p,25,128691,0,10,O,green,QCoQCoCoQo,0,1,855,861
3p,26,131298,1,10,O,white,OoQCQoCoQC,1,1,1182,714
3p,27,134095,0,10,O,green,QCoCQoCoQC,0,1,1345,912
3p,28,137273,1,10,O,white,OCoQCoQCoQ,1,1,2496,693
3p,29,141351,1,10,O,green,OoCQoCQoCQ,1,1,1388,608
3p,30,144256,1,10,O,white,OoQCQoCoQC,1,1,1736,581
3p,31,156827,0,10,O,white,CQoQoCoCQo,0,1,2923,770
3p,32,161438,1,10,O,green,OQCoQoCoCQ,1,1,1143,567
3p,33,164032,1,10,O,green,OQCoQCoCQo,1,1,1267,602
3p,34,166802,0,10,O,white,QoCoQCoCQo,0,1,2045,829
3p,35,170583,0,10,O,white,CQoQCoQoCo,0,1,3726,804
3p,36,176009,1,10,O,green,OoQCoCQoCQ,1,1,1281,824
3p,37,179035,0,10,O,white,CQoQCoQCoQ,0,1,2344,2023
3p,38,184322,1,10,O,white,OQoCoQCQoC,1,1,2450,620
3p,39,188293,0,10,O,white,QoCoQCoCQC,0,1,2030,1009
3p,40,192229,1,10,O,green,OoQCQoCoQC,1,1,1183,540
