sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
7,1,53485,1,10,O,white,OoCQCoQCQo,10,0,29221,922
7,2,84477,0,10,O,white,oCQoQCQoCQ,0,1,39927,1827
7,3,127069,1,10,O,green,OCoQoQCQCo,1,1,9221,3920
7,4,141060,0,10,O,white,oQCQoCQoCQ,1,0,7865,7874
7,5,157692,0,10,O,white,QCoCQoQCoC,10,0,7430,1472
7,6,167434,1,10,O,white,OCoQoCQCQo,1,1,21344,862
7,7,190488,0,10,O,white,QoCoQCoQCo,0,1,12780,1667
7,8,205772,1,10,O,white,OCoQoQCoQC,1,1,1742,795
7,9,209173,1,10,O,green,OCoQoQCQCo,0,1,7852,977
7,10,218839,1,10,O,green,OQoCQoCQoC,1,1,1051,718
7,11,221446,0,10,O,green,oQCoCQoQCo,0,1,35065,1104
7,12,258451,1,10,O,white,OCQoQCoQCo,1,1,2920,776
7,13,262982,1,10,O,green,OQCoQCoQCo,1,1,1242,518
7,14,265592,0,10,O,green,oQCoQCoQCQ,0,1,1352,594
7,15,268375,1,10,O,white,OQCoCQoQCo,1,1,1329,523
7,16,271064,1,10,O,white,OoQCoQCoCQ,1,1,3010,1123
7,17,276032,1,10,O,white,OQoCoCQoCQ,1,1,2635,577
7,18,280091,0,10,O,white,QoCoCQCoQC,4,0,38630,8123
7,19,327717,0,10,O,green,CQoCQoCQoQ,9,0,51443,3504
7,20,383536,1,10,O,green,OoCQoCQCoQ,1,1,855,968
7,21,386223,0,10,O,white,oCQCoQCoQo,7,0,44602,6099
7,22,437771,0,10,O,white,CoQoCQCoQo,0,1,23639,4912
7,23,467171,1,10,O,green,OQoCQoCoQC,1,1,4704,1113
7,24,473859,1,10,O,white,OoQCoCQoQC,6,0,9949,7447
7,25,492103,1,10,O,green,OCQoQCoCQo,1,1,15915,1305
7,26,510222,0,10,O,green,oCQoQCQoCo,0,1,1165,663
7,27,512909,0,10,O,white,QCoCQoQoCo,0,1,1254,985
7,28,516030,1,10,O,green,OQCoQCoQCo,1,1,852,872
7,29,518613,0,10,O,green,QCoQCoCoQC,0,1,1074,979
7,30,521503,0,10,O,white,QCoQCoCQoQ,0,1,1665,729
7,31,531802,1,10,O,white,OoQCQoCoQC,0,1,1235,1408
7,32,535294,0,10,O,green,QoCoQCoCQC,0,1,1812,1016
7,33,538958,1,10,O,green,OQoCoCQoQC,1,1,249,1080
7,34,541157,0,10,O,green,oCQCoQCoQo,0,1,997,723
7,35,543712,1,10,O,white,OQoCQoCQCo,1,1,1014,544
7,36,546117,0,10,O,green,oQCQoCQoCo,0,1,2695,945
7,37,550630,0,10,O,white,CQoCQoQoCo,0,1,742,625
7,38,552847,0,10,O,green,QCoCoQoCQC,0,1,549,875
7,39,555119,1,10,O,green,OQoCQCoQCo,1,1,529,593
7,40,557078,0,10,O,green,QoCQoCQoCo,0,1,557,674
