sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
999m,1,40156,0,10,O,white,oCQCQoQoCQ,0,1,2217,899
999m,2,44161,0,10,O,green,CQoQoCQCoC,0,1,1422,1661
999m,3,48121,0,10,O,green,QoCoQCoCQo,0,1,2277,709
999m,4,52015,0,10,O,white,QoCoQCQCoQ,0,1,2680,818
999m,5,56402,0,10,O,green,QCoCQoCoQo,0,1,2689,931
999m,6,60907,1,10,O,green,OCQoQCoCQo,1,1,1326,814
999m,7,63935,1,10,O,white,OQCoCoQoCQ,0,1,3393,1452
999m,8,69665,1,10,O,white,OQoCQoCQCo,0,1,1479,821
999m,9,72864,0,10,O,white,oCQCoQCoQC,0,1,2394,692
999m,10,76859,1,10,O,green,OCoQCoQoQC,1,1,1379,1118
999m,11,80275,1,10,O,green,OCoQoQCoCQ,1,1,797,939
999m,12,82921,0,10,O,white,CQoQCoCQoQ,9,0,2055,1411
999m,13,87297,0,10,O,green,QCoCoQoQCo,0,1,1296,957
999m,14,90449,1,10,O,white,OQCoCoQoCQ,1,1,964,947
999m,15,93257,0,10,O,white,oCQoCQoCQC,0,1,1408,1453
999m,16,97030,0,10,O,white,QCoCQoQoCo,0,1,1855,794
999m,17,100597,1,10,O,white,OQoCoQCoCQ,0,1,2087,1452
999m,18,105052,0,10,O,white,QoCQoCQoCo,0,1,2391,855
999m,19,109211,1,10,O,white,OoQCQoCQCo,5,0,1636,926
999m,20,112654,1,10,O,green,OoQCoQCQoC,1,1,962,672
999m,21,115173,0,10,O,green,QCoQoCQoCQ,0,1,4079,518
999m,22,120658,1,10,O,green,OQoCQoCoQC,1,1,2060,668
999m,23,124287,1,10,O,white,OQoCQoCoCQ,8,0,1977,504
999m,24,127677,1,10,O,white,OQoCQCoQCo,1,1,1673,1347
999m,25,131596,1,10,O,white,OQoCQCoQCo,0,1,2949,399
999m,26,135849,1,10,O,green,OQoCQCoQCo,1,1,976,420
999m,27,138124,1,10,O,green,OoCQoCQoCQ,1,1,1481,512
999m,28,141006,1,10,O,green,OQCoQCoQCo,1,1,1234,1404
999m,29,144582,0,10,O,green,QCoCQoQCoC,0,1,1959,3868
999m,30,151317,0,10,O,green,oQCoCQCQoC,0,1,3111,1200
999m,31,165781,0,10,O,white,oCQCoQCoQo,0,1,2565,636
999m,32,169890,1,10,O,white,OoCQCoQoQC,0,1,183,1921
999m,33,172882,0,10,O,white,CoQoCQCoQC,0,1,1569,695
999m,34,176042,1,10,O,green,OCQoQoCQCo,1,1,873,1070
999m,35,178886,1,10,O,white,OQCoQCoQoC,1,1,1224,3101
999m,36,184138,0,10,O,green,oCQCQoQCoC,0,1,897,569
999m,37,186480,0,10,O,white,CQoQCoCQoC,0,1,1289,650
999m,38,189307,1,10,O,green,OQoCQoCoQC,1,1,878,535
999m,39,191614,0,10,O,green,CQoCQoQCoQ,0,1,581,567
999m,40,193673,0,10,O,green,oQCoQCoQCo,0,1,59,958
