sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
13p,1,13342,1,10,O,green,OQoCQoCoCQ,1,1,6992,4417
13p,2,25649,1,10,O,white,OCQoQoCQCo,1,1,14068,708
13p,3,41346,0,10,O,green,QoCoCQoCQC,0,1,6769,1909
13p,4,50910,1,10,O,white,OCoQoCQoCQ,1,1,7988,1640
13p,5,61448,0,10,O,white,QCoCQoQCoC,0,1,10252,700
13p,6,73326,1,10,O,white,OCQoQoCoQC,1,1,4323,631
13p,7,79171,0,10,O,white,QCoQCoCoQC,0,1,3944,850
13p,8,84884,0,10,O,white,oCQoCQoCQo,0,1,4575,1184
13p,9,91536,1,10,O,white,OoQCoQCoQC,1,1,1770,1216
13p,10,95454,0,10,O,white,QoCoQCQoCQ,0,1,4118,620
13p,11,101099,1,10,O,green,OQoCQoCQCo,1,1,7134,854
13p,12,109984,0,10,O,white,oCQCQoQCoC,0,1,4417,582
13p,13,115858,0,10,O,white,QoCoQCQCoC,0,1,3241,742
13p,14,120747,1,10,O,green,OQCoCoQCoQ,1,1,3763,792
13p,15,126246,1,10,O,white,OQCoCQoQCo,1,1,4105,589
13p,16,131847,0,10,O,white,QCoCQoQCoQ,0,1,4529,527
13p,17,137831,0,10,O,green,oCQoCQCoQC,0,1,4127,769
13p,18,143637,1,10,O,white,OQCoQCoQoC,1,1,3774,1206
13p,19,149544,0,10,O,green,oQCoQCoCQo,0,1,5076,774
13p,20,156302,0,10,O,green,CoQoCQoCQC,0,1,4155,493
13p,21,161844,0,10,O,white,CoQoCQCoQC,0,1,5263,614
13p,22,168624,1,10,O,white,OoQCQoCQCo,1,1,2787,669
13p,23,172977,0,10,O,white,oCQCoQCQoQ,0,1,2525,563
13p,24,176977,1,10,O,white,OoCQCQoCoQ,1,1,1571,459
13p,25,179909,1,10,O,white,OCoQoCQoCQ,1,1,5085,450
13p,26,186331,1,10,O,green,OCoQoCQCoQ,1,1,4261,732
13p,27,192212,1,10,O,green,OCQoCoQCoQ,1,1,1832,882
13p,28,195864,0,10,O,green,oQCQCoQoCo,0,1,3064,611
13p,29,200432,0,10,O,green,CoQoCQoQCQ,0,1,4364,656
13p,30,206373,0,10,O,green,oQCQoCQoCo,0,1,3599,689
13p,31,234680,1,10,O,green,OCQoCQoQCo,0,1,1163,667
13p,32,237432,0,10,O,green,oCQCoQoQCo,0,1,5240,1169
13p,33,244711,1,10,O,green,OCoQoCQoCQ,1,1,1093,521
13p,34,247215,0,10,O,green,oQCQoCoQCQ,0,1,3266,641
13p,35,252057,1,10,O,green,OoQCoQCQoC,1,1,2897,470
13p,36,256320,1,10,O,white,OCQoCQoQoC,1,1,2514,1733
13p,37,261457,0,10,O,white,CQoQCoQCoQ,0,1,3336,654
13p,38,266336,1,10,O,green,OQCoQCoQCo,0,1,1861,597
13p,39,269698,0,10,O,green,oCQoCQCQoC,0,1,2808,683
13p,40,274079,1,10,O,green,OoQCQoCoCQ,1,1,1476,422
