sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
18g,1,2797,1,10,O,green,OQoCoCQoCQ,1,1,44364,656
18g,2,48693,0,10,O,green,QoCQoCoQCQ,0,1,926,623
18g,3,51128,0,10,O,green,QoCQoCoQCQ,0,1,1080,681
18g,4,53796,0,10,O,green,QoCoQCQoCo,0,1,1252,961
18g,5,56920,1,10,O,green,OoQCoQCoQC,1,1,885,2661
18g,6,61357,1,10,O,green,OCQoCQoQoC,1,1,910,2393
18g,7,65567,0,10,O,green,CQoQCoCQoQ,0,1,942,1033
18g,8,68461,1,10,O,green,OCQoQCoQCo,1,1,1165,1784
18g,9,72304,1,10,O,green,OQCoQCoQCo,1,1,949,236
18g,10,74382,1,10,O,green,OCQoCQoCQo,1,1,948,415
18g,11,76655,1,10,O,green,OQCoCQoQCo,1,1,933,1197
18g,12,79682,1,10,O,green,OQCoCQoCoQ,1,1,1090,250
18g,13,81912,1,10,O,green,OCQoCQoQoC,1,1,1605,540
18g,14,84957,1,10,O,green,OQoCQoCQoC,1,1,1132,306
18g,15,87279,1,10,O,green,OCoQoCQoCQ,1,1,1253,244
18g,16,89658,1,10,O,green,OCQoQCoCQo,1,1,985,171
18g,17,91724,1,10,O,green,OQoCoQCoCQ,1,1,1229,283
18g,18,94111,0,10,O,green,oCQoCQCoQo,0,1,2736,547
18g,19,98290,1,10,O,green,OQoCQCoCQo,1,1,1279,454
18g,20,100931,0,10,O,green,CoQoCQCoQo,0,1,2916,581
18g,21,105348,0,10,O,green,oCQCoQCoQo,0,1,3782,494
18g,22,110536,1,10,O,green,OCoQoCQoCQ,1,1,1276,1968
18g,23,114664,0,10,O,green,QCoQCoQoCQ,0,1,2264,1006
18g,24,118809,0,10,O,green,CoQCQoQCoC,0,1,1158,381
18g,25,121232,1,10,O,green,OoQCoQCoQC,1,1,897,3775
18g,26,126787,0,10,O,green,CQoCQoCQoQ,0,1,922,440
18g,27,129036,1,10,O,green,OoQCQoCoCQ,1,1,810,226
18g,28,130968,0,10,O,green,QoCoQCoCQC,0,1,4481,488
18g,29,136843,0,10,O,green,QCoCQoCoQo,0,1,1765,615
18g,30,140107,0,10,O,green,CQoQCoCoQo,0,1,1932,1988
18g,31,147505,0,10,O,green,QoCQCoQCoC,0,1,1676,469
18g,32,150580,0,10,O,green,CoQCoQCoQo,0,1,1087,723
18g,33,153336,0,10,O,green,CQoQoCQoCo,0,1,1391,467
18g,34,156120,1,10,O,green,OoCQoQCQoC,1,1,1388,261
18g,35,158654,0,10,O,green,QoCoQCQoCQ,0,1,1249,568
18g,36,161381,1,10,O,green,OoQCoCQoCQ,1,1,898,429
18g,37,163605,1,10,O,green,OQoCQCoQoC,1,1,2402,269
18g,38,167178,0,10,O,green,QCoQCoCoQC,0,1,4370,571
18g,39,173014,0,10,O,green,CoQCoQCoQo,0,1,1146,556
18g,40,175599,0,10,O,green,oCQCoQCQoC,0,1,2186,495
18g,1,4428,0,10,O,green,oCQoCQCoQo,0,1,2477,641
18g,2,8448,1,10,O,green,OCoQCoQoCQ,1,1,949,783
18g,3,11086,1,10,O,green,OCoQCQoCQo,1,1,64311,352
18g,4,76664,0,10,O,green,CQoCQoQoCo,0,1,947,2468
18g,5,80968,0,10,O,green,CoQCoQoQCQ,0,1,1328,386
18g,6,83568,1,10,O,green,OQoCoQCQCo,1,1,1353,1643
18g,7,87457,1,10,O,green,OoCQoQCoQC,1,1,781,874
18g,8,90020,0,10,O,green,CoQoQCoQCQ,0,1,3773,539
18g,9,95229,0,10,O,green,oQCoQCoQCQ,0,1,978,430
18g,10,97525,1,10,O,green,OCQoQCoQoC,1,1,1468,339
18g,11,100219,1,10,O,green,OCQoCQoCoQ,1,1,1863,585
18g,12,103572,1,10,O,green,OoQCoQCQoC,1,1,1199,426
18g,13,106074,0,10,O,green,oQCQoCQoCo,0,1,1162,553
18g,14,108669,0,10,O,green,QCoQoCoQCQ,0,1,1412,675
18g,15,111675,1,10,O,green,OQCoCoQoQC,1,1,1497,364
18g,16,114460,0,10,O,green,QoCoQCoCQC,0,1,3419,487
18g,17,119258,0,10,O,green,CQoQCoQoCQ,0,1,1169,526
18g,18,121882,1,10,O,green,OCQoQoCQoC,1,1,1002,180
18g,19,123982,0,10,O,green,oCQoQCoQCo,0,1,1835,1238
18g,20,127955,0,10,O,green,oQCQoCQoCo,0,1,1039,511
18g,21,130393,0,10,O,green,CoQCoQoCQC,0,1,811,522
18g,22,132621,1,10,O,green,OQCoCoQoCQ,1,1,1004,1459
18g,23,135973,0,10,O,green,CoQoQCoQCQ,0,1,1094,530
18g,24,138517,1,10,O,green,OCQoCoQoCQ,1,1,1321,2251
18g,25,142974,1,10,O,green,OCQoCQoQCo,1,1,1263,296
18g,26,145436,1,10,O,green,OQCoQoCQoC,1,1,1276,381
18g,27,147978,1,10,O,green,OoCQCoQoQC,1,1,1098,1228
18g,28,151222,0,10,O,green,CQoCoQoQCQ,0,1,1110,527
18g,29,153753,1,10,O,green,OoQCQCoQCo,1,1,1284,205
18g,30,156144,0,10,O,green,CQoQoCQCoC,0,1,2172,513
