sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
18m,1,3643,1,10,O,white,OCoQCQoQCo,1,1,2815,438
18m,2,7778,1,10,O,white,OoQCQoCQCo,1,1,2157,1837
18m,3,12691,1,10,O,white,OoCQCoQoQC,1,1,1239,380
18m,4,15255,1,10,O,white,OQoCoQCoQC,3,0,1807,426
18m,5,18398,1,10,O,white,OQoCoQCoCQ,1,1,1946,552
18m,6,21813,0,10,O,white,CoQoCQCQoQ,0,1,2014,586
18m,7,25296,1,10,O,white,OCoQCQoQCo,1,1,2204,246
18m,8,28629,1,10,O,white,OQoCoCQoCQ,1,1,1462,1812
18m,9,32796,1,10,O,white,OoQCQoCoQC,1,1,1300,271
18m,10,35248,0,10,O,white,QoCoQCoQCQ,0,1,2093,742
18m,11,38977,1,10,O,white,OQoCQCoQCo,1,1,2741,1027
18m,12,43631,0,10,O,white,oQCQoCQoCQ,0,1,1369,809
18m,13,46717,0,10,O,white,CoQoQCoQCQ,0,1,3223,727
18m,14,51555,0,10,O,white,CoQCQoCQoQ,0,1,2175,557
18m,15,55173,1,10,O,white,OCQoQoCQoC,1,1,2261,503
18m,16,58842,0,10,O,white,QCoCQoCoQo,0,1,9950,623
18m,17,70352,0,10,O,white,oQCoCQCoQo,0,1,2073,568
18m,18,73877,0,10,O,white,QoCoQCoCQo,0,1,1659,597
18m,19,77037,0,10,O,white,oQCoQCQoCQ,0,1,1346,557
18m,20,79822,1,10,O,white,OoQCQCoQoC,1,1,1968,1611
18m,21,84284,0,10,O,white,QoCQoCoQCo,0,1,1560,743
18m,22,87513,1,10,O,white,OQoCoQCoQC,1,1,1528,294
18m,23,90219,0,10,O,white,oQCQoCQoCQ,0,1,1622,702
18m,24,93431,1,10,O,white,OoQCoQCQoC,1,1,7617,254
18m,25,102198,0,10,O,white,CoQoQCoQCo,0,1,3045,656
18m,26,106815,1,10,O,white,OoCQCQoCQo,1,1,1449,1326
18m,27,110509,0,10,O,white,CoQCoQCoQC,0,1,952,729
18m,28,113082,0,10,O,white,CoQCoQoCQo,0,1,1959,631
18m,29,116590,0,10,O,white,QCoQoCoCQo,0,1,4088,438
18m,30,122034,0,10,O,white,CoQCoQoCQo,0,1,1543,533
18m,31,127499,1,10,O,white,OoCQoQCoCQ,0,1,20563,2135
18m,32,151117,1,10,O,white,OCQoQCoQCo,1,1,2219,988
18m,33,155236,0,10,O,white,oQCQoCQoCQ,0,1,1894,724
18m,34,158770,0,10,O,white,QCoQCoCQoC,0,1,3080,711
18m,35,163458,0,10,O,white,QoCoCQCoQC,0,1,2047,545
18m,36,166987,0,10,O,white,CQoCQoQCoQ,0,1,1503,605
18m,37,170016,1,10,O,white,OoQCQoCQoC,1,1,1874,496
18m,38,173272,1,10,O,white,OQoCQoCQoC,0,1,3218,495
18m,39,177898,1,10,O,white,OCoQCQoQCo,1,1,2040,233
18m,40,181081,1,10,O,white,OCQoCoQCQo,1,1,1597,211
18m,1,4254,0,10,O,white,QoCoQCoQCo,0,1,3433,1488
18m,2,10090,1,10,O,green,OQoCoCQCoQ,1,1,1055,185
18m,3,12255,1,10,O,green,OCQoQoCoQC,1,1,1012,777
18m,4,14992,1,10,O,white,OQCoQCoQCo,0,1,841,1174
18m,5,17893,0,10,O,green,oCQCoQCoQo,0,1,951,460
18m,6,20235,1,10,O,white,OCoQCoQoCQ,1,1,1402,325
18m,7,22847,1,10,O,green,OQoCoQCQoC,1,1,1570,1050
18m,8,26372,0,10,O,white,CoQoCQCQoQ,0,1,2093,465
18m,9,29845,1,10,O,white,OCoQCoQCoQ,0,1,1840,505
18m,10,33071,1,10,O,green,OoCQCoQCQo,1,1,1213,1446
18m,11,36626,0,10,O,green,oCQoCQoCQC,0,1,2238,448
18m,12,40223,1,10,O,green,OQCoQCoCQo,1,1,1281,271
18m,13,42675,0,10,O,white,oCQCoQoCQo,0,1,3359,1260
18m,14,48234,0,10,O,white,oCQoCQoCQC,0,1,1263,508
18m,15,50891,1,10,O,white,OCoQoQCQoC,0,1,1970,791
18m,16,54564,0,10,O,green,oCQoQCQCoQ,0,1,1715,717
18m,17,57880,1,10,O,white,OoCQCQoCoQ,0,1,1147,601
18m,18,60534,0,10,O,green,QoCoQCQoCQ,0,1,1010,463
18m,19,62910,1,10,O,green,OQoCoCQoCQ,1,1,889,268
18m,20,64968,0,10,O,white,oQCoQCQoCo,0,1,1775,732
18m,21,68384,0,10,O,green,oQCoQCoQCQ,0,1,747,713
18m,22,70739,0,10,O,green,oQCQoCoQCo,0,1,1632,1278
18m,23,74564,1,10,O,white,OQCoCoQCQo,1,1,5014,250
18m,24,80710,1,10,O,green,OCQoQCoQCo,1,1,839,333
18m,25,82767,0,10,O,green,CoQCoQCoQC,0,1,1200,1240
18m,26,86114,1,10,O,white,OoCQCoQoCQ,0,1,977,762
18m,27,88754,0,10,O,white,QCoCoQCoQC,0,1,4144,536
18m,28,94315,1,10,O,green,OoCQoQCoCQ,1,1,1365,298
18m,29,96883,0,10,O,white,oQCQoCoQCQ,0,1,872,481
18m,30,99128,1,10,O,white,OQoCQoCoCQ,1,1,1901,311
18m,31,108455,0,10,O,white,oCQCoQoCQo,0,1,4274,842
18m,32,114473,1,10,O,green,OoCQCoQCQo,0,1,1698,516
18m,33,117594,0,10,O,white,oQCoCQoQCo,0,1,2491,1117
18m,34,122095,0,10,O,white,oCQoCQCQoC,0,1,1642,573
18m,35,125223,0,10,O,green,QoCoCQCoQo,0,1,1337,648
18m,36,128112,1,10,O,white,OQoCoQCQoC,0,1,1151,668
18m,37,130844,1,10,O,green,OoCQoCQoCQ,1,1,1515,209
18m,38,133460,1,10,O,white,OoQCQoCoCQ,1,1,1094,855
18m,39,136330,0,10,O,green,QCoQCoQCoC,0,1,2913,611
18m,40,140749,0,10,O,green,QCoCQoQCoQ,0,1,983,679
18m,1,4620,0,10,O,green,oQCoQCoQCo,0,1,1326,750
18m,2,7590,1,10,O,green,OCQoCQoQCo,1,1,800,307
18m,3,9610,0,10,O,green,CQoQCoQoCo,0,1,1303,508
18m,4,12300,0,10,O,white,CQoCoQCQoC,0,1,1350,1021
18m,5,15555,0,10,O,green,oCQoQCQoCQ,0,1,747,411
18m,6,17585,1,10,O,white,OoQCoQCoQC,0,1,1210,377
18m,7,20065,1,10,O,green,OCoQCQoQCo,1,1,1249,279
18m,8,22482,1,10,O,white,OCQoCoQCoQ,1,1,948,260
18m,9,24564,0,10,O,green,QCoCQoQoCo,0,1,1416,375
18m,10,27252,0,10,O,white,CQoCQoQoCo,0,1,3710,1041
18m,11,32877,1,10,O,green,OQCoCQoQCo,1,1,1317,238
18m,12,35324,1,10,O,white,OoCQCoQCoQ,0,1,1858,475
18m,13,38582,0,10,O,white,oCQCoQCQoQ,0,1,1398,466
18m,14,41330,1,10,O,white,OoQCoQCoQC,0,1,2148,466
18m,15,44827,0,10,O,white,CoQoQCoQCo,0,1,5725,667
18m,16,52097,0,10,O,green,QoCoQCoQCo,0,1,7409,979
18m,17,61380,1,10,O,green,OCQoCQoQCo,1,1,1249,784
18m,18,64298,1,10,O,white,OCQoQCoCQo,1,1,2569,268
18m,19,68017,1,10,O,white,OCoQoCQCoQ,1,1,1601,302
18m,20,70804,0,10,O,white,CQoQCoCQoQ,0,1,2023,484
18m,21,74199,0,10,O,white,oQCQoCoQCo,0,1,2442,1651
18m,22,79171,1,10,O,white,OQoCoQCoQC,1,1,2532,496
18m,23,83080,0,10,O,green,QCoCoQoCQo,0,1,1404,725
18m,24,86105,0,10,O,white,CQoQCoCQoQ,0,1,5811,488
18m,25,93352,1,10,O,green,OoCQoCQoCQ,1,1,1564,234
18m,26,96035,0,10,O,white,QoCoQCoQCo,0,1,9183,519
18m,27,106627,0,10,O,green,CQoCoQCQoQ,0,1,2528,1056
18m,28,111103,1,10,O,white,OoCQoQCoQC,1,1,2084,366
18m,29,114425,1,10,O,white,OQoCoQCQoC,0,1,2983,463
18m,30,118750,0,10,O,green,QoCQCoCQoQ,0,1,846,400
18m,31,123384,0,10,O,green,oQCoQCoQCQ,0,1,1348,899
18m,32,126574,0,10,O,green,CoQCoQCQoC,0,1,1147,502
18m,33,129120,1,10,O,green,OoQCQoCoQC,1,1,871,347
18m,34,131229,1,10,O,green,OoCQCoQCoQ,1,1,1242,181
18m,35,133595,1,10,O,green,OCoQoQCoQC,1,1,1289,314
18m,36,136079,0,10,O,white,CoQoQCQoCo,0,1,1093,424
18m,37,138466,0,10,O,white,oCQoQCoCQo,0,1,1660,637
18m,38,141671,1,10,O,white,OoCQCoQoCQ,0,1,2019,1280
18m,39,145860,1,10,O,green,OCQoQoCoCQ,1,1,2438,4882
18m,40,154079,1,10,O,green,OoCQoCQoQC,1,1,5923,184
18m,1,4114,0,10,O,green,QCoCQoQCoQ,0,1,1062,1022
18m,2,7084,0,10,O,white,oCQoQCoCQC,0,1,1907,490
18m,3,10366,0,10,O,white,CQoQoCoQCo,0,1,871,415
18m,4,12572,0,10,O,green,QoCQCoQCoC,0,1,648,439
18m,5,14559,0,10,O,green,CoQCoQCoQC,0,1,720,425
18m,6,16592,1,10,O,green,OCQoQCoQCo,1,1,712,149
18m,7,18327,0,10,O,white,QoCQCoQCoQ,0,1,988,477
18m,8,20676,0,10,O,white,QoCQoCoCQC,0,1,1320,402
18m,9,23296,0,10,O,white,QoCQoCoQCo,0,1,2247,454
18m,10,26891,0,10,O,green,QCoCoQoCQo,0,1,714,981
18m,11,29523,1,10,O,green,OQoCQoCoCQ,1,1,1046,511
18m,12,31976,0,10,O,white,oQCQCoQCoC,0,1,783,476
18m,13,34160,1,10,O,green,OCoQCQoQoC,1,1,1136,273
18m,14,36474,0,10,O,white,oCQCQoCQoQ,0,1,3839,424
18m,15,41678,1,10,O,white,OCQoQCoQCo,0,1,2689,951
18m,16,46209,1,10,O,green,OoCQCQoQCo,1,1,855,176
18m,17,48124,1,10,O,white,OCQoCQoCQo,0,1,716,417
18m,18,50164,0,10,O,green,oCQoCQCoQC,0,1,608,421
18m,19,52082,1,10,O,white,OQoCoCQCQo,0,1,2010,416
18m,20,55386,0,10,O,green,CoQoCQCoQC,0,1,1732,489
18m,21,58485,0,10,O,green,CQoQCoCQoC,0,1,764,410
18m,22,60553,0,10,O,white,CQoCQoCoQC,0,1,1002,380
18m,23,62829,1,10,O,white,OQoCQCoCoQ,0,1,911,493
18m,24,65143,1,10,O,white,OoCQCoQoCQ,0,1,779,440
18m,25,67267,1,10,O,green,OoQCQoCQoC,1,1,846,146
18m,26,69137,1,10,O,green,OoCQCoQCQo,1,1,761,283
18m,27,71088,0,10,O,white,oQCoQCoQCo,0,1,2077,345
18m,28,74401,1,10,O,green,OCoQCoQCoQ,1,1,982,864
18m,29,77133,1,10,O,green,OQoCQCoQCo,1,1,844,309
18m,30,79192,0,10,O,green,oCQoQCoCQo,0,1,666,392
18m,31,83390,1,10,O,green,OQoCoCQCoQ,1,1,743,233
18m,32,85274,1,10,O,white,OoQCQCoCQo,0,1,920,492
18m,33,87595,1,10,O,white,OCoQCoQoCQ,0,1,618,464
18m,34,89550,0,10,O,green,QCoQCoCoQo,0,1,649,436
18m,35,91550,1,10,O,white,OQoCQoCQoC,0,1,1073,526
18m,36,94027,0,10,O,white,oCQCQoCQoQ,0,1,1615,1191
18m,37,97746,0,10,O,green,oCQCoQoCQo,0,1,796,447
