sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
2,1,20747,0,10,O,white,oQCQCoCQoQ,6,0,30416,2591
2,2,54588,0,10,O,green,QoCoCQCQoQ,0,1,16021,34058
2,3,105504,0,10,O,white,QCoCQoQCoQ,0,1,3493,3906
2,1,4995,0,10,O,green,oQCQCoQoCo,0,1,1626,1009
2,2,8484,1,10,O,white,OCoQCoQCQo,0,1,839,1480
2,3,11644,0,10,O,white,QCoQoCoCQC,0,1,1309,1855
2,1,5087,1,10,X,green,XxovQCoxvC,0,1,938,1212
2,2,8155,1,10,X,white,XxQCovCxvo,0,1,737,746
2,3,10541,0,10,O,green,vxoQCQCvox,0,1,690,1667
2,4,13809,1,20,O,green,OCxQovQxovCQovCxQCvo,0,1,712,523
2,1,3616,1,10,O,white,OoCQoQCoCQ,0,1,788,1854
2,2,7162,1,10,O,green,OoCQCQoQoC,0,1,618,602
2,1,22360,1,10,O,white,OCoQoCQCoQ,1,1,2443,1828
2,2,27569,1,10,O,white,OoCQCoQCQo,0,1,3452,1533
2,3,33470,0,10,O,green,oCQCQoQoCo,0,1,4118,660
2,4,39162,0,10,O,white,oQCQoCoCQo,0,1,41807,1187
2,5,83078,0,10,O,white,oQCoQCQCoQ,0,1,4675,551
2,6,89212,0,10,O,green,QoCQCoQoCQ,0,1,3786,433
