sub,trial,time,numtargs,size,targchar,targcol,stim,resp,corr,rt1,rt2
5w,1,4965,1,10,O,white,OCQoCQoCQo,0,1,2228,1001
5w,2,9079,1,10,O,white,OQoCoQCQoC,1,1,1887,542
5w,3,12401,0,10,O,white,oQCoQCQoCQ,0,1,6895,1194
5w,4,21372,0,10,O,white,oQCQCoQCoC,0,1,1771,1011
5w,5,25032,0,10,O,white,QoCoCQoCQC,0,1,1619,688
5w,6,28242,0,10,O,white,oQCoQCQoCQ,0,1,1495,663
5w,7,31288,1,10,O,white,OQCoCoQCoQ,0,1,112,2369
5w,8,34639,1,10,O,white,OQCoCQoCQo,1,1,1152,484
5w,9,37183,0,10,O,white,oQCoCQoCQo,0,1,5562,882
5w,10,44534,1,10,O,white,OoQCQoCQCo,1,1,1771,482
5w,11,47682,1,10,O,white,OQCoCoQCoQ,1,1,1657,1705
5w,12,51944,1,10,O,white,OQCoCoQCQo,1,1,1593,611
5w,13,55039,0,10,O,white,QoCQCoCoQo,0,1,2807,754
5w,14,59510,0,10,O,white,oCQCQoCoQo,0,1,2352,689
5w,15,63436,0,10,O,white,CoQoQCoQCQ,0,1,2393,667
5w,16,67395,1,10,O,white,OoQCQoCoQC,1,1,1081,524
5w,17,69891,1,10,O,white,OQCoCQoCQo,1,1,3002,2853
5w,18,76636,1,10,O,white,OCoQoCQoCQ,1,1,1945,216
5w,19,79687,0,10,O,white,QCoQoCoQCQ,0,1,4643,1325
5w,20,86537,1,10,O,white,OoCQoCQoCQ,0,1,2752,699
5w,21,90897,1,10,O,white,OCQoCQoCQo,1,1,2381,479
5w,22,94644,0,10,O,white,oQCoQCQoCQ,0,1,1721,596
5w,23,97874,1,10,O,white,OQoCoQCQoC,1,1,3015,484
5w,24,102253,0,10,O,white,oCQoCQoCQC,0,1,3842,788
5w,25,107803,1,10,O,white,OoQCQCoCoQ,1,1,1570,485
5w,26,110747,0,10,O,white,oQCoQCoQCQ,0,1,4200,1187
5w,27,117057,1,10,O,white,OQoCoCQoQC,1,1,2115,752
5w,28,120856,0,10,O,white,QCoCQoCQoC,0,1,2411,1195
5w,29,125350,1,10,O,white,OoQCQoCQoC,1,1,1858,444
5w,30,128534,0,10,O,white,CoQCQoQCoQ,0,1,4976,1326
5w,31,138570,1,10,O,white,OoCQoCQCoQ,1,1,1729,667
5w,32,141893,0,10,O,white,oQCoQCoQCQ,0,1,2422,586
5w,33,145791,0,10,O,white,QoCQoCoQCQ,0,1,3168,625
5w,34,150520,1,10,O,white,OCoQoQCoQC,1,1,1920,1999
5w,35,155352,1,10,O,white,OoQCQCoCQo,1,1,1429,1695
5w,36,159381,0,10,O,white,oCQoQCoCQC,0,1,2843,1133
5w,37,164290,0,10,O,white,oQCoQCoQCQ,0,1,3542,955
5w,38,169664,0,10,O,white,CQoCoQCoQC,0,1,2696,975
5w,39,174226,0,10,O,white,QCoCQoQCoQ,0,1,2927,593
5w,40,178664,1,10,O,white,OCoQoQCQCo,0,1,1420,937
5w,1,36603,1,10,O,white,OoCQoCQCQo,0,1,3658,593
5w,2,41750,0,10,O,white,oQCoCQoQCQ,0,1,1313,1101
5w,3,45054,1,10,O,white,OoQCoQCQoC,1,1,1612,650
5w,4,48229,1,10,O,white,OQoCoCQoQC,0,1,2874,521
5w,5,52510,0,10,O,white,CQoCQoCQoC,0,1,3119,780
5w,6,57309,1,10,O,white,OoCQCoQoCQ,1,1,2392,718
5w,7,61338,1,10,O,white,OQoCoQCQCo,1,1,1796,527
5w,8,64551,0,10,O,white,oQCQCoCQoC,0,1,1676,570
