"","s","S","F","R","RT"
"1","1","s2","load0","r2",0.789
"2","1","s1","load0","r1",0.881
"3","1","s2","load0","r2",0.649
"4","1","s1","load0","r1",0.65
"5","1","s1","load0","r1",0.757
"6","1","s1","load0","r1",0.565
"7","1","s2","load0","r2",0.596
"8","1","s2","load0","r2",0.674
"9","1","s2","load0","r2",1.001
"10","1","s2","load0","r2",0.658
"11","1","s1","load0","r1",0.66
"12","1","s2","load0","r1",1.533
"13","1","s2","load0","r1",0.914
"14","1","s1","load0","r1",0.892
"15","1","s2","load1","r2",1.215
"16","1","s2","load1","r2",1.184
"17","1","s2","load1","r2",0.792
"18","1","s1","load1","r1",0.849
"19","1","s1","load1","r2",0.786
"20","1","s1","load1","r2",0.749
"21","1","s2","load1","r1",0.521
"22","1","s1","load1","r1",1.38
"23","1","s1","load1","r1",0.726
"24","1","s1","load1","r1",0.773
"25","1","s2","load1","r1",0.719
"26","1","s2","load1","r2",0.932
"27","1","s1","load1","r1",0.567
"28","1","s1","load1","r1",1.56
"29","1","s1","load1","r1",0.551
"30","1","s2","load1","r2",0.544
"31","1","s2","load1","r2",0.769
"32","1","s2","load1","r2",0.722
"33","1","s2","load1","r2",0.98
"34","1","s1","load1","r1",0.626
"35","1","s1","load1","r1",0.719
"36","1","s1","load1","r1",0.653
"37","1","s2","load1","r1",0.666
"38","1","s2","load1","r1",0.625
"39","1","s1","load1","r1",0.976
"40","1","s1","load1","r1",0.556
"41","1","s1","load0","r2",0.772
"42","1","s1","load0","r1",0.867
"43","1","s2","load0","r2",1.763
"44","1","s2","load0","r2",0.864
"45","1","s2","load0","r2",0.795
"46","1","s2","load0","r2",1.018
"47","1","s2","load0","r1",0.779
"48","1","s2","load0","r1",0.874
"49","1","s1","load0","r1",0.659
"50","1","s2","load0","r1",0.701
"51","1","s2","load0","r2",0.762
"52","1","s2","load0","r1",0.854
"53","1","s2","load0","r2",0.82
"54","1","s1","load0","r1",0.665
"55","1","s1","load0","r1",0.645
"56","1","s1","load0","r2",2.053
"57","1","s1","load0","r1",1.625
"58","1","s1","load0","r2",0.978
"59","1","s2","load0","r2",0.962
"60","1","s2","load0","r2",0.811
"61","1","s1","load0","r1",0.718
"62","1","s2","load0","r2",0.709
"63","1","s2","load0","r1",0.484
"64","1","s1","load0","r1",0.692
"65","1","s1","load0","r2",0.63
"66","1","s1","load0","r1",0.741
"67","1","s2","load0","r1",0.673
"68","1","s2","load1","r1",1.213
"69","1","s1","load1","r2",1.139
"70","1","s1","load1","r2",0.754
"71","1","s2","load1","r2",0.525
"72","1","s2","load1","r1",0.771
"73","1","s2","load1","r2",0.763
"74","1","s2","load1","r2",0.712
"75","1","s2","load1","r1",0.522
"76","1","s1","load1","r1",0.822
"77","1","s2","load1","r2",0.992
"78","1","s1","load1","r1",0.668
"79","1","s1","load1","r1",0.596
"80","1","s2","load1","r2",0.434
"81","1","s1","load1","r2",0.663
"82","1","s2","load1","r2",0.545
"83","1","s1","load1","r1",0.532
"84","1","s2","load1","r1",1.124
"85","1","s1","load1","r1",0.591
"86","1","s1","load1","r1",0.791
"87","1","s2","load1","r2",0.684
"88","1","s2","load1","r2",0.909
"89","1","s2","load1","r2",0.604
"90","1","s2","load1","r1",0.759
"91","1","s2","load1","r2",0.599
"92","1","s1","load1","r1",1.577
"93","1","s1","load1","r1",0.554
"94","1","s2","load1","r2",1.018
"95","1","s2","load1","r2",0.717
"96","1","s1","load0","r2",0.824
"97","1","s2","load0","r2",0.693
"98","1","s2","load0","r2",0.586
"99","1","s2","load0","r2",0.886
"100","1","s1","load0","r2",2.08
"101","1","s1","load0","r1",0.598
"102","1","s1","load0","r1",0.734
"103","1","s1","load0","r1",0.601
"104","1","s2","load0","r1",0.595
"105","1","s1","load0","r1",0.639
"106","1","s1","load0","r1",0.53
"107","1","s2","load0","r2",1.639
"108","1","s1","load0","r1",0.583
"109","1","s1","load0","r1",0.653
"110","1","s2","load0","r2",0.691
"111","1","s1","load0","r1",0.511
"112","1","s1","load0","r2",0.623
"113","1","s1","load0","r1",0.315
"114","1","s1","load0","r1",0.599
"115","1","s1","load0","r1",0.462
"116","1","s2","load0","r1",0.311
"117","1","s2","load0","r1",0.332
"118","1","s2","load0","r1",0.601
"119","1","s2","load0","r2",0.787
"120","1","s1","load0","r1",0.663
"121","1","s2","load0","r1",0.761
"122","1","s1","load1","r1",1.195
"123","1","s2","load1","r2",1.182
"124","1","s1","load1","r2",1.054
"125","1","s2","load1","r2",0.871
"126","1","s1","load1","r2",0.571
"127","1","s1","load1","r2",0.862
"128","1","s1","load1","r2",0.716
"129","1","s2","load1","r1",0.523
"130","1","s2","load1","r2",1.448
"131","1","s2","load1","r1",0.828
"132","1","s1","load1","r1",0.632
"133","1","s2","load1","r1",0.759
"134","1","s1","load1","r1",1.196
"135","1","s2","load1","r1",0.523
"136","1","s2","load1","r2",0.896
"137","1","s2","load1","r1",0.773
"138","1","s2","load1","r2",0.769
"139","1","s2","load1","r2",0.648
"140","1","s2","load1","r2",0.721
"141","1","s1","load1","r2",0.439
"142","1","s2","load1","r2",0.942
"143","1","s2","load1","r2",1.013
"144","1","s2","load1","r2",0.627
"145","1","s1","load1","r1",0.489
"146","1","s2","load1","r1",0.91
"147","1","s1","load1","r1",0.552
"148","1","s1","load1","r1",0.434
"149","1","s1","load0","r1",0.773
"150","1","s1","load0","r2",0.957
"151","1","s2","load0","r2",1.349
"152","1","s1","load0","r1",0.58
"153","1","s1","load0","r1",0.601
"154","1","s2","load0","r1",0.855
"155","1","s1","load0","r1",0.733
"156","1","s2","load0","r2",0.622
"157","1","s1","load0","r2",1.014
"158","1","s2","load0","r2",1.062
"159","1","s1","load0","r1",2.038
"160","1","s2","load0","r2",1.151
"161","1","s1","load0","r1",0.804
"162","1","s1","load0","r2",0.284
"163","1","s2","load0","r1",0.622
"164","1","s1","load0","r1",0.761
"165","1","s1","load0","r1",0.521
"166","1","s2","load0","r2",0.505
"167","1","s1","load0","r1",0.551
"168","1","s1","load0","r1",0.579
"169","1","s2","load0","r2",0.753
"170","1","s1","load0","r2",0.704
"171","1","s1","load0","r1",0.943
"172","1","s2","load0","r1",0.991
"173","1","s1","load0","r1",0.602
"174","1","s2","load0","r2",1.053
"175","1","s1","load1","r1",0.908
"176","1","s2","load1","r2",0.608
"177","1","s1","load1","r2",0.971
"178","1","s2","load1","r2",1.5
"179","1","s1","load1","r2",1.745
"180","1","s1","load1","r1",0.736
"181","1","s2","load1","r2",0.557
"182","1","s1","load1","r2",0.665
"183","1","s1","load1","r1",0.757
"184","1","s1","load1","r1",1.294
"185","1","s1","load1","r2",0.85
"186","1","s2","load1","r2",0.756
"187","1","s1","load1","r1",0.595
"188","1","s1","load1","r1",0.846
"189","1","s1","load1","r1",0.843
"190","1","s2","load1","r2",0.719
"191","1","s1","load1","r2",0.499
"192","1","s1","load1","r1",0.574
"193","1","s1","load1","r1",0.493
"194","1","s1","load1","r2",0.813
"195","1","s1","load1","r2",0.683
"196","1","s2","load1","r1",0.805
"197","1","s2","load1","r2",0.789
"198","1","s2","load1","r1",0.627
"199","1","s2","load1","r1",0.57
"200","1","s1","load1","r1",0.507
"201","1","s2","load1","r1",0.603
"202","1","s2","load0","r2",0.933
"203","1","s2","load0","r1",0.657
"204","1","s2","load0","r1",0.643
"205","1","s2","load0","r2",0.589
"206","1","s1","load0","r1",0.64
"207","1","s1","load0","r1",0.618
"208","1","s1","load0","r1",0.629
"209","1","s2","load0","r2",0.692
"210","1","s1","load0","r1",0.719
"211","1","s2","load0","r1",1.097
"212","1","s1","load0","r1",0.779
"213","1","s2","load0","r2",0.667
"214","1","s1","load0","r2",0.702
"215","1","s1","load0","r2",0.673
"216","1","s1","load0","r1",0.627
"217","1","s2","load0","r1",1.015
"218","1","s2","load0","r2",1.262
"219","1","s2","load0","r1",0.935
"220","1","s2","load0","r2",1.382
"221","1","s1","load0","r1",0.921
"222","1","s1","load0","r2",1.646
