UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,2,defaultGroupID,Desert Studies,1990,0,1,1000,3099,14:46:2,14:46:6,0,,4/22/2016
2,2,defaultGroupID,Desert Studies,-1,1,0,1000,4113,14:46:6,14:46:11,0,,4/22/2016
3,2,defaultGroupID,Desert Studies,-1,1,0,1000,4463,14:46:11,14:46:16,0,,4/22/2016
4,2,defaultGroupID,Desert Studies,-1,1,0,1000,4788,14:46:16,14:46:22,0,,4/22/2016
5,2,defaultGroupID,Desert Studies,-1,1,0,1000,4106,14:46:22,14:46:27,0,,4/22/2016
6,2,defaultGroupID,Desert Studies,-1,1,0,1000,4089,14:46:27,14:46:32,0,,4/22/2016
7,2,defaultGroupID,Desert Studies,-1,1,0,1000,3952,14:46:32,14:46:37,0,,4/22/2016
8,2,defaultGroupID,Desert Studies,-1,1,0,1000,4472,14:46:37,14:46:43,0,,4/22/2016
9,2,defaultGroupID,Desert Studies,-1,1,0,1000,3402,14:46:43,14:46:47,0,,4/22/2016
10,2,defaultGroupID,Desert Studies,323,0,1,1000,3062,14:46:47,14:46:50,0,,4/22/2016
11,2,defaultGroupID,Desert Studies,-1,1,0,1000,4222,14:46:50,14:46:56,0,,4/22/2016
12,2,defaultGroupID,Desert Studies,-1,1,0,1000,3390,14:46:56,14:47:0,0,,4/22/2016
13,2,defaultGroupID,Desert Studies,392,0,1,1000,4120,14:47:0,14:47:4,0,,4/22/2016
14,2,defaultGroupID,Desert Studies,-1,1,0,1000,3733,14:47:4,14:47:9,0,,4/22/2016
15,2,defaultGroupID,Desert Studies,352,0,1,1000,3367,14:47:9,14:47:13,0,,4/22/2016
16,2,defaultGroupID,Desert Studies,-1,1,0,1000,3417,14:47:13,14:47:17,0,,4/22/2016
17,2,defaultGroupID,Desert Studies,-1,1,0,1000,3311,14:47:17,14:47:22,0,,4/22/2016
18,2,defaultGroupID,Desert Studies,270,0,1,1000,4110,14:47:22,14:47:26,0,,4/22/2016
19,2,defaultGroupID,Desert Studies,-1,1,0,1000,3569,14:47:26,14:47:31,0,,4/22/2016
20,2,defaultGroupID,Desert Studies,-1,1,0,1000,4729,14:47:31,14:47:36,0,,4/22/2016
21,2,defaultGroupID,Desert Studies,-1,1,0,1000,4189,14:47:36,14:47:42,0,,4/22/2016
22,2,defaultGroupID,Desert Studies,-1,1,0,1000,3948,14:47:42,14:47:46,0,,4/22/2016
23,2,defaultGroupID,Desert Studies,300,0,1,1000,4859,14:47:46,14:47:52,0,,4/22/2016
24,2,defaultGroupID,Desert Studies,-1,1,0,1000,4000,14:47:52,14:47:57,0,,4/22/2016
25,2,defaultGroupID,Desert Studies,-1,1,0,1000,4364,14:47:57,14:48:2,0,,4/22/2016
26,2,defaultGroupID,Desert Studies,-1,1,0,1000,3568,14:48:2,14:48:7,0,,4/22/2016
27,2,defaultGroupID,Desert Studies,-1,1,0,1000,3671,14:48:7,14:48:11,0,,4/22/2016
28,2,defaultGroupID,Desert Studies,289,0,1,1000,3775,14:48:11,14:48:15,0,,4/22/2016
29,2,defaultGroupID,Desert Studies,-1,1,0,1000,3556,14:48:15,14:48:20,0,,4/22/2016
30,2,defaultGroupID,Desert Studies,507,0,1,1000,3026,14:48:20,14:48:23,0,,4/22/2016
31,2,defaultGroupID,Desert Studies,-1,1,0,1000,3624,14:48:23,14:48:28,0,,4/22/2016
32,2,defaultGroupID,Desert Studies,351,0,1,1000,4037,14:48:28,14:48:32,0,,4/22/2016
33,2,defaultGroupID,Desert Studies,-1,1,0,1000,3646,14:48:32,14:48:37,0,,4/22/2016
34,2,defaultGroupID,Desert Studies,265,0,1,1000,4253,14:48:37,14:48:42,0,,4/22/2016
35,2,defaultGroupID,Desert Studies,-1,1,0,1000,3362,14:48:42,14:48:46,0,,4/22/2016
36,2,defaultGroupID,Desert Studies,-1,1,0,1000,4021,14:48:46,14:48:51,0,,4/22/2016
37,2,defaultGroupID,Desert Studies,-1,1,0,1000,4247,14:48:51,14:48:56,0,,4/22/2016
38,2,defaultGroupID,Desert Studies,-1,1,0,1000,4776,14:48:56,14:49:2,0,,4/22/2016
39,2,defaultGroupID,Desert Studies,263,0,1,1000,3462,14:49:2,14:49:6,0,,4/22/2016
40,2,defaultGroupID,Desert Studies,-1,1,0,1000,4524,14:49:6,14:49:11,0,,4/22/2016
41,2,defaultGroupID,Desert Studies,-1,1,0,1000,3055,14:49:11,14:49:15,0,,4/22/2016
42,2,defaultGroupID,Desert Studies,-1,1,0,1000,4649,14:49:15,14:49:21,0,,4/22/2016
43,2,defaultGroupID,Desert Studies,-1,1,0,1000,3636,14:49:21,14:49:26,0,,4/22/2016
44,2,defaultGroupID,Desert Studies,-1,1,0,1000,4024,14:49:26,14:49:31,0,,4/22/2016
45,2,defaultGroupID,Desert Studies,230,0,1,1000,4118,14:49:31,14:49:35,0,,4/22/2016
46,2,defaultGroupID,Desert Studies,-1,1,0,1000,3047,14:49:35,14:49:39,0,,4/22/2016
47,2,defaultGroupID,Desert Studies,-1,1,0,1000,3563,14:49:39,14:49:44,0,,4/22/2016
48,2,defaultGroupID,Desert Studies,-1,1,0,1000,4856,14:49:44,14:49:49,0,,4/22/2016
49,2,defaultGroupID,Desert Studies,-1,1,0,1000,4109,14:49:49,14:49:55,0,,4/22/2016
50,2,defaultGroupID,Desert Studies,-1,1,0,1000,3331,14:49:55,14:49:59,0,,4/22/2016
51,2,defaultGroupID,Desert Studies,265,0,1,1000,4365,14:49:59,14:50:3,0,,4/22/2016
52,2,defaultGroupID,Desert Studies,-1,1,0,1000,4819,14:50:3,14:50:9,0,,4/22/2016
53,2,defaultGroupID,Desert Studies,-1,1,0,1000,3834,14:50:9,14:50:14,0,,4/22/2016
54,2,defaultGroupID,Desert Studies,281,0,1,1000,3364,14:50:14,14:50:18,0,,4/22/2016
55,2,defaultGroupID,Desert Studies,-1,1,0,1000,3163,14:50:18,14:50:22,0,,4/22/2016
56,2,defaultGroupID,Desert Studies,-1,1,0,1000,3156,14:50:22,14:50:26,0,,4/22/2016
57,2,defaultGroupID,Desert Studies,-1,1,0,1000,3669,14:50:26,14:50:31,0,,4/22/2016
58,2,defaultGroupID,Desert Studies,250,0,1,1000,4061,14:50:31,14:50:35,0,,4/22/2016
59,2,defaultGroupID,Desert Studies,304,0,1,1000,3562,14:50:35,14:50:39,0,,4/22/2016
60,2,defaultGroupID,Desert Studies,-1,1,0,1000,3495,14:50:39,14:50:43,0,,4/22/2016
61,2,defaultGroupID,Desert Studies,361,0,1,1000,3988,14:50:43,14:50:48,0,,4/22/2016
62,2,defaultGroupID,Desert Studies,-1,1,0,1000,4386,14:50:48,14:50:53,0,,4/22/2016
63,2,defaultGroupID,Desert Studies,-1,1,0,1000,3150,14:50:53,14:50:57,0,,4/22/2016
64,2,defaultGroupID,Desert Studies,-1,1,0,1000,3708,14:50:57,14:51:2,0,,4/22/2016
65,2,defaultGroupID,Desert Studies,337,0,1,1000,4240,14:51:2,14:51:7,0,,4/22/2016
66,2,defaultGroupID,Desert Studies,-1,1,0,1000,3065,14:51:7,14:51:11,0,,4/22/2016
67,2,defaultGroupID,Desert Studies,-1,1,0,1000,3807,14:51:11,14:51:15,0,,4/22/2016
68,2,defaultGroupID,Desert Studies,-1,1,0,1000,4811,14:51:15,14:51:21,0,,4/22/2016
69,2,defaultGroupID,Desert Studies,273,0,1,1000,3981,14:51:21,14:51:26,0,,4/22/2016
70,2,defaultGroupID,Desert Studies,-1,1,0,1000,4408,14:51:26,14:51:31,0,,4/22/2016
