UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Study,-1,1,0,1000,3462,15:1:32,15:1:36,0,,5/2/2016
2,1,defaultGroupID,Desert Study,-1,1,0,1000,4345,15:1:36,15:1:41,0,,5/2/2016
3,1,defaultGroupID,Desert Study,-1,1,0,1000,4141,15:1:41,15:1:46,0,,5/2/2016
4,1,defaultGroupID,Desert Study,-1,0,0,1000,4095,15:1:46,15:1:52,0,,5/2/2016
5,1,defaultGroupID,Desert Study,-1,1,0,1000,3555,15:1:52,15:1:56,0,,5/2/2016
6,1,defaultGroupID,Desert Study,-1,0,0,1000,3337,15:1:56,15:2:0,0,,5/2/2016
7,1,defaultGroupID,Desert Study,-1,1,0,1000,3356,15:2:0,15:2:5,0,,5/2/2016
8,1,defaultGroupID,Desert Study,-1,0,0,1000,3271,15:2:5,15:2:9,0,,5/2/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4619,15:2:9,15:2:15,0,,5/2/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,4943,15:2:15,15:2:21,0,,5/2/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4253,15:2:21,15:2:26,0,,5/2/2016
12,1,defaultGroupID,Desert Study,-1,0,0,1000,3999,15:2:26,15:2:31,0,,5/2/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,3335,15:2:31,15:2:35,0,,5/2/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,4663,15:2:35,15:2:41,0,,5/2/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,3542,15:2:41,15:2:45,0,,5/2/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,3552,15:2:45,15:2:50,0,,5/2/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3367,15:2:50,15:2:54,0,,5/2/2016
