UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Studies,-1,0,0,1000,3738,9:42:36,9:42:40,0,,3/28/2016
2,1,defaultGroupID,Desert Studies,-1,0,0,1000,4696,9:42:40,9:42:46,0,,3/28/2016
3,1,defaultGroupID,Desert Studies,-1,0,0,1000,3238,9:42:46,9:42:50,0,,3/28/2016
4,1,defaultGroupID,Desert Studies,-1,0,0,1000,3682,9:42:50,9:42:55,0,,3/28/2016
5,1,defaultGroupID,Desert Studies,-1,0,0,1000,4791,9:42:55,9:43:1,0,,3/28/2016
6,1,defaultGroupID,Desert Studies,-1,0,0,1000,4021,9:43:1,9:43:6,0,,3/28/2016
7,1,defaultGroupID,Desert Studies,-1,0,0,1000,3301,9:43:6,9:43:10,0,,3/28/2016
8,1,defaultGroupID,Desert Studies,-1,0,0,1000,4512,9:43:10,9:43:15,0,,3/28/2016
9,1,defaultGroupID,Desert Studies,-1,0,0,1000,3629,9:43:15,9:43:20,0,,3/28/2016
10,1,defaultGroupID,Desert Studies,-1,0,0,1000,4930,9:43:20,9:43:26,0,,3/28/2016
11,1,defaultGroupID,Desert Studies,-1,0,0,1000,3426,9:43:26,9:43:30,0,,3/28/2016
12,1,defaultGroupID,Desert Studies,-1,0,0,1000,4686,9:43:30,9:43:36,0,,3/28/2016
13,1,defaultGroupID,Desert Studies,-1,0,0,1000,3942,9:43:36,9:43:41,0,,3/28/2016
14,1,defaultGroupID,Desert Studies,-1,1,0,1000,4376,9:43:41,9:43:46,0,,3/28/2016
15,1,defaultGroupID,Desert Studies,-1,0,0,1000,4545,9:43:46,9:43:52,0,,3/28/2016
16,1,defaultGroupID,Desert Studies,-1,0,0,1000,4254,9:43:52,9:43:57,0,,3/28/2016
17,1,defaultGroupID,Desert Studies,-1,0,0,1000,4379,9:43:57,9:44:3,0,,3/28/2016
18,1,defaultGroupID,Desert Studies,-1,0,0,1000,3582,9:44:3,9:44:7,0,,3/28/2016
19,1,defaultGroupID,Desert Studies,-1,1,0,1000,3877,9:44:7,9:44:12,0,,3/28/2016
20,1,defaultGroupID,Desert Studies,-1,0,0,1000,4629,9:44:12,9:44:18,0,,3/28/2016
21,1,defaultGroupID,Desert Studies,-1,1,0,1000,3819,9:44:18,9:44:23,0,,3/28/2016
22,1,defaultGroupID,Desert Studies,-1,1,0,1000,4764,9:44:23,9:44:28,0,,3/28/2016
23,1,defaultGroupID,Desert Studies,-1,0,0,1000,3716,9:44:28,9:44:33,0,,3/28/2016
24,1,defaultGroupID,Desert Studies,-1,0,0,1000,3608,9:44:33,9:44:38,0,,3/28/2016
25,1,defaultGroupID,Desert Studies,-1,1,0,1000,4589,9:44:38,9:44:43,0,,3/28/2016
26,1,defaultGroupID,Desert Studies,-1,0,0,1000,4397,9:44:43,9:44:49,0,,3/28/2016
