UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Study,-1,1,0,1000,4251,13:46:52,13:46:57,0,,4/1/2016
2,1,defaultGroupID,Desert Study,-1,1,0,1000,3928,13:46:57,13:47:2,0,,4/1/2016
3,1,defaultGroupID,Desert Study,-1,1,0,1000,3188,13:47:2,13:47:6,0,,4/1/2016
4,1,defaultGroupID,Desert Study,-1,1,0,1000,4253,13:47:6,13:47:11,0,,4/1/2016
5,1,defaultGroupID,Desert Study,-1,1,0,1000,4790,13:47:11,13:47:17,0,,4/1/2016
6,1,defaultGroupID,Desert Study,-1,1,0,1000,3282,13:47:17,13:47:21,0,,4/1/2016
7,1,defaultGroupID,Desert Study,-1,1,0,1000,3575,13:47:21,13:47:26,0,,4/1/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,3673,13:47:26,13:47:30,0,,4/1/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4202,13:47:30,13:47:36,0,,4/1/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,4602,13:47:36,13:47:41,0,,4/1/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4761,13:47:41,13:47:47,0,,4/1/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,3430,13:47:47,13:47:51,0,,4/1/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,3017,13:47:51,13:47:55,0,,4/1/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3729,13:47:55,13:48:0,0,,4/1/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,4523,13:48:0,13:48:6,0,,4/1/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,4182,13:48:6,13:48:11,0,,4/1/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,4012,13:48:11,13:48:16,0,,4/1/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,3299,13:48:16,13:48:20,0,,4/1/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,3334,13:48:20,13:48:25,0,,4/1/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,4145,13:48:25,13:48:30,0,,4/1/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4629,13:48:30,13:48:35,0,,4/1/2016
22,1,defaultGroupID,Desert Study,-1,0,0,1000,3462,13:48:35,13:48:40,0,,4/1/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3554,13:48:40,13:48:44,0,,4/1/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3911,13:48:44,13:48:49,0,,4/1/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,4048,13:48:49,13:48:54,0,,4/1/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,4309,13:48:54,13:49:0,0,,4/1/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,4215,13:49:0,13:49:5,0,,4/1/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,4097,13:49:5,13:49:10,0,,4/1/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,4965,13:49:10,13:49:16,0,,4/1/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4620,13:49:16,13:49:21,0,,4/1/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3683,13:49:21,13:49:26,0,,4/1/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,4021,13:49:26,13:49:31,0,,4/1/2016
33,1,defaultGroupID,Desert Study,-1,0,0,1000,3045,13:49:31,13:49:35,0,,4/1/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,3497,13:49:35,13:49:40,0,,4/1/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,4817,13:49:40,13:49:46,0,,4/1/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,3471,13:49:46,13:49:50,0,,4/1/2016
37,1,defaultGroupID,Desert Study,-1,0,0,1000,4827,13:49:50,13:49:56,0,,4/1/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,4638,13:49:56,13:50:1,0,,4/1/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,3100,13:50:1,13:50:6,0,,4/1/2016
