UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,1294,0,1,1000,4948,10:0:18,10:0:23,1,,4/6/2016
2,0,defaultGroupID,Desert Study,-1,1,0,1000,3557,10:0:23,10:0:28,1,,4/6/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,3792,10:0:28,10:0:33,1,,4/6/2016
4,0,defaultGroupID,Desert Study,703,0,1,1000,3489,10:0:33,10:0:37,1,,4/6/2016
5,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,10:1:41,10:1:46,0,,4/6/2016
6,1,defaultGroupID,Desert Study,-1,1,0,1000,3674,10:1:46,10:1:51,0,,4/6/2016
7,1,defaultGroupID,Desert Study,692,0,1,1000,4183,10:1:51,10:1:55,0,,4/6/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,3616,10:1:55,10:2:0,0,,4/6/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4215,10:2:0,10:2:5,0,,4/6/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,3593,10:2:5,10:2:10,0,,4/6/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4357,10:2:10,10:2:15,0,,4/6/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,3573,10:2:15,10:2:20,0,,4/6/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,4437,10:2:20,10:2:25,0,,4/6/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,4916,10:2:25,10:2:31,0,,4/6/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,4819,10:2:31,10:2:37,0,,4/6/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,3714,10:2:37,10:2:42,0,,4/6/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,4283,10:2:42,10:2:47,0,,4/6/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4588,10:2:47,10:2:53,0,,4/6/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,4208,10:2:53,10:2:58,0,,4/6/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,3810,10:2:58,10:3:3,0,,4/6/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4078,10:3:3,10:3:8,0,,4/6/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,4618,10:3:8,10:3:13,0,,4/6/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,4333,10:3:13,10:3:19,0,,4/6/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3422,10:3:19,10:3:23,0,,4/6/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,4606,10:3:23,10:3:29,0,,4/6/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,4004,10:3:29,10:3:34,0,,4/6/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,4180,10:3:34,10:3:39,0,,4/6/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3487,10:3:39,10:3:43,0,,4/6/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,3338,10:3:43,10:3:48,0,,4/6/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,3383,10:3:48,10:3:52,0,,4/6/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3377,10:3:52,10:3:56,0,,4/6/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3326,10:3:56,10:4:1,0,,4/6/2016
33,1,defaultGroupID,Desert Study,770,0,1,1000,4985,10:4:1,10:4:7,0,,4/6/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4635,10:4:7,10:4:12,0,,4/6/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,3063,10:4:12,10:4:16,0,,4/6/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,10:4:16,10:4:22,0,,4/6/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,4672,10:4:22,10:4:27,0,,4/6/2016
38,1,defaultGroupID,Desert Study,1108,0,1,1000,4846,10:4:27,10:4:33,0,,4/6/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,3956,10:4:33,10:4:38,0,,4/6/2016
40,1,defaultGroupID,Desert Study,924,0,1,1000,4803,10:4:38,10:4:44,0,,4/6/2016
41,1,defaultGroupID,Desert Study,759,0,1,1000,3215,10:4:44,10:4:48,0,,4/6/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,4502,10:4:48,10:4:53,0,,4/6/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,4313,10:4:53,10:4:59,0,,4/6/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,10:4:59,10:5:5,0,,4/6/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,4652,10:5:5,10:5:10,0,,4/6/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,4157,10:5:10,10:5:15,0,,4/6/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3013,10:5:15,10:5:19,0,,4/6/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,4736,10:5:19,10:5:25,0,,4/6/2016
49,1,defaultGroupID,Desert Study,955,0,1,1000,3882,10:5:25,10:5:30,0,,4/6/2016
50,1,defaultGroupID,Desert Study,852,0,1,1000,4210,10:5:30,10:5:35,0,,4/6/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,10:5:35,10:5:39,0,,4/6/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,4344,10:5:39,10:5:45,0,,4/6/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,3048,10:5:45,10:5:49,0,,4/6/2016
54,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,10:5:49,10:5:53,0,,4/6/2016
55,1,defaultGroupID,Desert Study,-1,1,0,1000,3675,10:5:53,10:5:58,0,,4/6/2016
56,1,defaultGroupID,Desert Study,-1,1,0,1000,4380,10:5:58,10:6:3,0,,4/6/2016
57,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,10:6:3,10:6:7,0,,4/6/2016
58,1,defaultGroupID,Desert Study,-1,1,0,1000,3418,10:6:7,10:6:12,0,,4/6/2016
59,1,defaultGroupID,Desert Study,-1,1,0,1000,3930,10:6:12,10:6:17,0,,4/6/2016
60,1,defaultGroupID,Desert Study,-1,1,0,1000,4882,10:6:17,10:6:23,0,,4/6/2016
61,1,defaultGroupID,Desert Study,-1,1,0,1000,3131,10:6:23,10:6:27,0,,4/6/2016
62,1,defaultGroupID,Desert Study,-1,1,0,1000,3753,10:6:27,10:6:32,0,,4/6/2016
63,1,defaultGroupID,Desert Study,756,0,1,1000,4661,10:6:32,10:6:37,0,,4/6/2016
64,1,defaultGroupID,Desert Study,-1,1,0,1000,4154,10:6:37,10:6:42,0,,4/6/2016
65,1,defaultGroupID,Desert Study,677,0,1,1000,3599,10:6:42,10:6:46,0,,4/6/2016
66,1,defaultGroupID,Desert Study,-1,1,0,1000,3197,10:6:46,10:6:51,0,,4/6/2016
67,1,defaultGroupID,Desert Study,-1,1,0,1000,4302,10:6:51,10:6:56,0,,4/6/2016
68,1,defaultGroupID,Desert Study,-1,1,0,1000,4657,10:6:56,10:7:2,0,,4/6/2016
69,1,defaultGroupID,Desert Study,-1,1,0,1000,4150,10:7:2,10:7:7,0,,4/6/2016
