UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,-1,1,0,1000,3674,13:45:59,13:46:3,1,,4/26/2016
2,0,defaultGroupID,Desert Study,587,0,1,1000,4183,13:46:3,13:46:8,1,,4/26/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,3616,13:46:8,13:46:13,1,,4/26/2016
4,0,defaultGroupID,Desert Study,-1,1,0,1000,4215,13:46:13,13:46:18,1,,4/26/2016
5,0,defaultGroupID,Desert Study,-1,1,0,1000,3593,13:46:18,13:46:22,1,,4/26/2016
6,0,defaultGroupID,Desert Study,-1,1,0,1000,4357,13:46:22,13:46:28,1,,4/26/2016
7,0,defaultGroupID,Desert Study,-1,1,0,1000,3573,13:46:28,13:46:32,1,,4/26/2016
8,0,defaultGroupID,Desert Study,-1,1,0,1000,4437,13:46:32,13:46:38,1,,4/26/2016
9,0,defaultGroupID,Desert Study,-1,1,0,1000,4916,13:46:38,13:46:44,1,,4/26/2016
10,0,defaultGroupID,Desert Study,-1,1,0,1000,4819,13:46:44,13:46:49,1,,4/26/2016
11,0,defaultGroupID,Desert Study,-1,1,0,1000,3714,13:46:49,13:46:54,1,,4/26/2016
12,0,defaultGroupID,Desert Study,-1,1,0,1000,4283,13:46:54,13:46:59,1,,4/26/2016
13,0,defaultGroupID,Desert Study,-1,1,0,1000,4588,13:46:59,13:47:5,1,,4/26/2016
14,0,defaultGroupID,Desert Study,-1,1,0,1000,4208,13:47:5,13:47:10,1,,4/26/2016
15,0,defaultGroupID,Desert Study,-1,1,0,1000,3810,13:47:10,13:47:15,1,,4/26/2016
16,0,defaultGroupID,Desert Study,-1,1,0,1000,4078,13:47:15,13:47:20,1,,4/26/2016
17,0,defaultGroupID,Desert Study,-1,1,0,1000,4618,13:47:20,13:47:26,1,,4/26/2016
18,0,defaultGroupID,Desert Study,-1,1,0,1000,4333,13:47:26,13:47:31,1,,4/26/2016
19,0,defaultGroupID,Desert Study,-1,1,0,1000,3422,13:47:31,13:47:36,1,,4/26/2016
20,0,defaultGroupID,Desert Study,-1,1,0,1000,4606,13:47:36,13:47:41,1,,4/26/2016
21,0,defaultGroupID,Desert Study,-1,1,0,1000,4004,13:47:41,13:47:46,1,,4/26/2016
22,0,defaultGroupID,Desert Study,-1,1,0,1000,4180,13:47:46,13:47:51,1,,4/26/2016
23,0,defaultGroupID,Desert Study,-1,1,0,1000,3487,13:47:51,13:47:56,1,,4/26/2016
24,0,defaultGroupID,Desert Study,-1,1,0,1000,3338,13:47:56,13:48:0,1,,4/26/2016
25,0,defaultGroupID,Desert Study,-1,1,0,1000,3383,13:48:0,13:48:5,1,,4/26/2016
26,0,defaultGroupID,Desert Study,-1,1,0,1000,3377,13:48:5,13:48:9,1,,4/26/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,4635,13:48:30,13:48:35,0,,4/26/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3063,13:48:35,13:48:39,0,,4/26/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,13:48:39,13:48:45,0,,4/26/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4672,13:48:45,13:48:50,0,,4/26/2016
31,1,defaultGroupID,Desert Study,927,0,1,1000,4846,13:48:50,13:48:56,0,,4/26/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3956,13:48:56,13:49:1,0,,4/26/2016
33,1,defaultGroupID,Desert Study,797,0,1,1000,4803,13:49:1,13:49:7,0,,4/26/2016
34,1,defaultGroupID,Desert Study,913,0,1,1000,3215,13:49:7,13:49:11,0,,4/26/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,4502,13:49:11,13:49:16,0,,4/26/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,4313,13:49:16,13:49:22,0,,4/26/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,13:49:22,13:49:28,0,,4/26/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,4652,13:49:28,13:49:33,0,,4/26/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,4157,13:49:33,13:49:38,0,,4/26/2016
40,1,defaultGroupID,Desert Study,-1,1,0,1000,3013,13:49:38,13:49:42,0,,4/26/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,4736,13:49:42,13:49:48,0,,4/26/2016
42,1,defaultGroupID,Desert Study,586,0,1,1000,3882,13:49:48,13:49:53,0,,4/26/2016
43,1,defaultGroupID,Desert Study,589,0,1,1000,4210,13:49:53,13:49:57,0,,4/26/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,13:49:57,13:50:2,0,,4/26/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,4344,13:50:2,13:50:7,0,,4/26/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3048,13:50:7,13:50:11,0,,4/26/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,13:50:11,13:50:15,0,,4/26/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,3675,13:50:15,13:50:20,0,,4/26/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,4380,13:50:20,13:50:25,0,,4/26/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,13:50:25,13:50:30,0,,4/26/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,3418,13:50:30,13:50:34,0,,4/26/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,3930,13:50:34,13:50:39,0,,4/26/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,4882,13:50:39,13:50:45,0,,4/26/2016
54,1,defaultGroupID,Desert Study,-1,1,0,1000,3131,13:50:45,13:50:49,0,,4/26/2016
55,1,defaultGroupID,Desert Study,-1,1,0,1000,3753,13:50:49,13:50:54,0,,4/26/2016
56,1,defaultGroupID,Desert Study,498,0,1,1000,4661,13:50:54,13:50:59,0,,4/26/2016
57,1,defaultGroupID,Desert Study,-1,1,0,1000,4154,13:50:59,13:51:4,0,,4/26/2016
58,1,defaultGroupID,Desert Study,487,0,1,1000,3599,13:51:4,13:51:8,0,,4/26/2016
59,1,defaultGroupID,Desert Study,-1,1,0,1000,3197,13:51:8,13:51:12,0,,4/26/2016
60,1,defaultGroupID,Desert Study,-1,1,0,1000,4302,13:51:12,13:51:18,0,,4/26/2016
61,1,defaultGroupID,Desert Study,-1,1,0,1000,4657,13:51:18,13:51:23,0,,4/26/2016
62,1,defaultGroupID,Desert Study,-1,1,0,1000,4150,13:51:23,13:51:28,0,,4/26/2016
63,1,defaultGroupID,Desert Study,442,0,1,1000,3089,13:51:28,13:51:32,0,,4/26/2016
64,1,defaultGroupID,Desert Study,-1,1,0,1000,3720,13:51:32,13:51:37,0,,4/26/2016
65,1,defaultGroupID,Desert Study,-1,1,0,1000,4299,13:51:37,13:51:42,0,,4/26/2016
66,1,defaultGroupID,Desert Study,-1,1,0,1000,4305,13:51:42,13:51:47,0,,4/26/2016
67,1,defaultGroupID,Desert Study,486,0,1,1000,3570,13:51:47,13:51:51,0,,4/26/2016
68,1,defaultGroupID,Desert Study,-1,1,0,1000,3611,13:51:51,13:51:56,0,,4/26/2016
69,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,13:51:56,13:52:0,0,,4/26/2016
70,1,defaultGroupID,Desert Study,-1,1,0,1000,4782,13:52:0,13:52:6,0,,4/26/2016
71,1,defaultGroupID,Desert Study,430,0,1,1000,4709,13:52:6,13:52:11,0,,4/26/2016
72,1,defaultGroupID,Desert Study,-1,1,0,1000,4851,13:52:11,13:52:17,0,,4/26/2016
73,1,defaultGroupID,Desert Study,-1,1,0,1000,4133,13:52:17,13:52:22,0,,4/26/2016
74,1,defaultGroupID,Desert Study,456,0,1,1000,4833,13:52:22,13:52:27,0,,4/26/2016
75,1,defaultGroupID,Desert Study,-1,1,0,1000,3032,13:52:27,13:52:31,0,,4/26/2016
76,1,defaultGroupID,Desert Study,-1,1,0,1000,3304,13:52:31,13:52:36,0,,4/26/2016
77,1,defaultGroupID,Desert Study,-1,1,0,1000,3227,13:52:36,13:52:40,0,,4/26/2016
78,1,defaultGroupID,Desert Study,505,0,1,1000,4881,13:52:40,13:52:45,0,,4/26/2016
79,1,defaultGroupID,Desert Study,-1,1,0,1000,4192,13:52:45,13:52:50,0,,4/26/2016
80,1,defaultGroupID,Desert Study,-1,1,0,1000,4708,13:52:50,13:52:56,0,,4/26/2016
81,1,defaultGroupID,Desert Study,-1,1,0,1000,3521,13:52:56,13:53:1,0,,4/26/2016
82,1,defaultGroupID,Desert Study,-1,1,0,1000,4790,13:53:1,13:53:6,0,,4/26/2016
83,1,defaultGroupID,Desert Study,450,0,1,1000,4843,13:53:6,13:53:12,0,,4/26/2016
84,1,defaultGroupID,Desert Study,-1,1,0,1000,4208,13:53:12,13:53:17,0,,4/26/2016
85,1,defaultGroupID,Desert Study,565,0,1,1000,4497,13:53:17,13:53:22,0,,4/26/2016
86,1,defaultGroupID,Desert Study,-1,1,0,1000,3223,13:53:22,13:53:26,0,,4/26/2016
87,1,defaultGroupID,Desert Study,-1,1,0,1000,3733,13:53:26,13:53:31,0,,4/26/2016
88,1,defaultGroupID,Desert Study,424,0,1,1000,4748,13:53:31,13:53:36,0,,4/26/2016
89,1,defaultGroupID,Desert Study,-1,1,0,1000,4778,13:53:36,13:53:42,0,,4/26/2016
90,1,defaultGroupID,Desert Study,-1,1,0,1000,3154,13:53:42,13:53:46,0,,4/26/2016
91,1,defaultGroupID,Desert Study,-1,1,0,1000,3679,13:53:46,13:53:51,0,,4/26/2016
