UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Study,-1,1,0,1000,3299,14:46:58,14:47:2,0,,4/27/2016
2,1,defaultGroupID,Desert Study,-1,1,0,1000,3334,14:47:2,14:47:6,0,,4/27/2016
3,1,defaultGroupID,Desert Study,-1,1,0,1000,4145,14:47:6,14:47:11,0,,4/27/2016
4,1,defaultGroupID,Desert Study,-1,1,0,1000,4629,14:47:11,14:47:17,0,,4/27/2016
5,1,defaultGroupID,Desert Study,-1,0,0,1000,3462,14:47:17,14:47:21,0,,4/27/2016
6,1,defaultGroupID,Desert Study,-1,1,0,1000,3554,14:47:21,14:47:26,0,,4/27/2016
7,1,defaultGroupID,Desert Study,-1,1,0,1000,3911,14:47:26,14:47:31,0,,4/27/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,4048,14:47:31,14:47:36,0,,4/27/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4309,14:47:36,14:47:41,0,,4/27/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,4215,14:47:41,14:47:46,0,,4/27/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4097,14:47:46,14:47:52,0,,4/27/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,4965,14:47:52,14:47:57,0,,4/27/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,4620,14:47:57,14:48:3,0,,4/27/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3683,14:48:3,14:48:8,0,,4/27/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,4021,14:48:8,14:48:13,0,,4/27/2016
16,1,defaultGroupID,Desert Study,-1,0,0,1000,3045,14:48:13,14:48:17,0,,4/27/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3497,14:48:17,14:48:21,0,,4/27/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4817,14:48:21,14:48:27,0,,4/27/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,3471,14:48:27,14:48:32,0,,4/27/2016
20,1,defaultGroupID,Desert Study,-1,0,0,1000,4827,14:48:32,14:48:37,0,,4/27/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4638,14:48:37,14:48:43,0,,4/27/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,3100,14:48:43,14:48:47,0,,4/27/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3336,14:48:47,14:48:52,0,,4/27/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3158,14:48:52,14:48:56,0,,4/27/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,3427,14:48:56,14:49:0,0,,4/27/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,3685,14:49:0,14:49:5,0,,4/27/2016
27,1,defaultGroupID,Desert Study,-1,0,0,1000,4524,14:49:5,14:49:10,0,,4/27/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3046,14:49:10,14:49:14,0,,4/27/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,3056,14:49:14,14:49:18,0,,4/27/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4139,14:49:18,14:49:24,0,,4/27/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3462,14:49:24,14:49:28,0,,4/27/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,4345,14:49:28,14:49:33,0,,4/27/2016
33,1,defaultGroupID,Desert Study,-1,1,0,1000,4141,14:49:33,14:49:39,0,,4/27/2016
34,1,defaultGroupID,Desert Study,-1,0,0,1000,4095,14:49:39,14:49:44,0,,4/27/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,3555,14:49:44,14:49:48,0,,4/27/2016
36,1,defaultGroupID,Desert Study,-1,0,0,1000,3337,14:49:48,14:49:52,0,,4/27/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,3356,14:49:52,14:49:57,0,,4/27/2016
38,1,defaultGroupID,Desert Study,-1,0,0,1000,3271,14:49:57,14:50:1,0,,4/27/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,4619,14:50:1,14:50:7,0,,4/27/2016
40,1,defaultGroupID,Desert Study,-1,1,0,1000,4943,14:50:7,14:50:13,0,,4/27/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,4253,14:50:13,14:50:18,0,,4/27/2016
42,1,defaultGroupID,Desert Study,-1,0,0,1000,3999,14:50:18,14:50:23,0,,4/27/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,3335,14:50:23,14:50:27,0,,4/27/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,4663,14:50:27,14:50:33,0,,4/27/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,3542,14:50:33,14:50:37,0,,4/27/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3552,14:50:37,14:50:42,0,,4/27/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3367,14:50:42,14:50:46,0,,4/27/2016
