UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Studies,-1,1,0,1000,4029,13:46:13,13:46:18,1,,4/28/2016
2,0,defaultGroupID,Desert Studies,-1,1,0,1000,4691,13:46:18,13:46:23,1,,4/28/2016
3,0,defaultGroupID,Desert Studies,-1,1,0,1000,4975,13:46:23,13:46:29,1,,4/28/2016
4,0,defaultGroupID,Desert Studies,-1,1,0,1000,4176,13:46:29,13:46:34,1,,4/28/2016
5,0,defaultGroupID,Desert Studies,-1,1,0,1000,4775,13:46:34,13:46:40,1,,4/28/2016
6,0,defaultGroupID,Desert Studies,-1,1,0,1000,3238,13:46:40,13:46:44,1,,4/28/2016
7,0,defaultGroupID,Desert Studies,-1,1,0,1000,3321,13:46:44,13:46:49,1,,4/28/2016
8,0,defaultGroupID,Desert Studies,-1,1,0,1000,4542,13:46:49,13:46:54,1,,4/28/2016
9,0,defaultGroupID,Desert Studies,-1,1,0,1000,4238,13:46:54,13:46:59,1,,4/28/2016
10,0,defaultGroupID,Desert Studies,-1,1,0,1000,3080,13:46:59,13:47:4,1,,4/28/2016
11,0,defaultGroupID,Desert Studies,-1,1,0,1000,4693,13:47:4,13:47:9,1,,4/28/2016
12,0,defaultGroupID,Desert Studies,352,0,1,1000,4314,13:47:9,13:47:14,1,,4/28/2016
13,1,defaultGroupID,Desert Studies,-1,1,0,1000,3198,13:47:23,13:47:27,0,,4/28/2016
14,1,defaultGroupID,Desert Studies,-1,1,0,1000,3806,13:47:27,13:47:32,0,,4/28/2016
15,1,defaultGroupID,Desert Studies,396,0,1,1000,3985,13:47:32,13:47:36,0,,4/28/2016
16,1,defaultGroupID,Desert Studies,-1,1,0,1000,4085,13:47:36,13:47:41,0,,4/28/2016
17,1,defaultGroupID,Desert Studies,-1,1,0,1000,3814,13:47:41,13:47:46,0,,4/28/2016
18,1,defaultGroupID,Desert Studies,242,0,1,1000,3296,13:47:46,13:47:49,0,,4/28/2016
19,1,defaultGroupID,Desert Studies,474,0,1,1000,4552,13:47:49,13:47:54,0,,4/28/2016
20,1,defaultGroupID,Desert Studies,-1,1,0,1000,3221,13:47:54,13:47:59,0,,4/28/2016
21,1,defaultGroupID,Desert Studies,494,0,1,1000,3538,13:47:59,13:48:3,0,,4/28/2016
22,1,defaultGroupID,Desert Studies,-1,1,0,1000,4257,13:48:3,13:48:8,0,,4/28/2016
23,1,defaultGroupID,Desert Studies,-1,1,0,1000,3558,13:48:8,13:48:12,0,,4/28/2016
24,1,defaultGroupID,Desert Studies,-1,1,0,1000,3649,13:48:12,13:48:17,0,,4/28/2016
25,1,defaultGroupID,Desert Studies,-1,1,0,1000,4783,13:48:17,13:48:23,0,,4/28/2016
26,1,defaultGroupID,Desert Studies,-1,1,0,1000,4905,13:48:23,13:48:29,0,,4/28/2016
27,1,defaultGroupID,Desert Studies,256,0,1,1000,3280,13:48:29,13:48:32,0,,4/28/2016
28,1,defaultGroupID,Desert Studies,-1,1,0,1000,3562,13:48:32,13:48:37,0,,4/28/2016
