UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Study,-1,1,0,1000,3039,10:9:40,10:9:44,0,,5/2/2016
2,1,defaultGroupID,Desert Study,-1,1,0,1000,4201,10:9:44,10:9:49,0,,5/2/2016
3,1,defaultGroupID,Desert Study,-1,1,0,1000,3565,10:9:49,10:9:53,0,,5/2/2016
4,1,defaultGroupID,Desert Study,-1,1,0,1000,4111,10:9:53,10:9:58,0,,5/2/2016
5,1,defaultGroupID,Desert Study,-1,1,0,1000,3870,10:9:58,10:10:3,0,,5/2/2016
6,1,defaultGroupID,Desert Study,-1,1,0,1000,4688,10:10:3,10:10:9,0,,5/2/2016
7,1,defaultGroupID,Desert Study,-1,1,0,1000,4026,10:10:9,10:10:14,0,,5/2/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,4597,10:10:14,10:10:20,0,,5/2/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4948,10:10:20,10:10:26,0,,5/2/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,4200,10:10:26,10:10:31,0,,5/2/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4373,10:10:31,10:10:36,0,,5/2/2016
12,1,defaultGroupID,Desert Study,-1,0,0,1000,4679,10:10:36,10:10:42,0,,5/2/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,4821,10:10:42,10:10:48,0,,5/2/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3228,10:10:48,10:10:52,0,,5/2/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,3221,10:10:52,10:10:56,0,,5/2/2016
16,1,defaultGroupID,Desert Study,-1,0,0,1000,3405,10:10:56,10:11:0,0,,5/2/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3635,10:11:0,10:11:5,0,,5/2/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,3354,10:11:5,10:11:9,0,,5/2/2016
19,1,defaultGroupID,Desert Study,-1,0,0,1000,3696,10:11:9,10:11:14,0,,5/2/2016
20,1,defaultGroupID,Desert Study,-1,0,0,1000,3217,10:11:14,10:11:18,0,,5/2/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4856,10:11:18,10:11:24,0,,5/2/2016
22,1,defaultGroupID,Desert Study,-1,0,0,1000,3663,10:11:24,10:11:29,0,,5/2/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3237,10:11:29,10:11:33,0,,5/2/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3693,10:11:33,10:11:38,0,,5/2/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,3534,10:11:38,10:11:42,0,,5/2/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,3768,10:11:42,10:11:47,0,,5/2/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,3180,10:11:47,10:11:51,0,,5/2/2016
28,1,defaultGroupID,Desert Study,-1,0,0,1000,4350,10:11:51,10:11:57,0,,5/2/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,3032,10:11:57,10:12:1,0,,5/2/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4687,10:12:1,10:12:6,0,,5/2/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3581,10:12:6,10:12:11,0,,5/2/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3795,10:12:11,10:12:16,0,,5/2/2016
33,1,defaultGroupID,Desert Study,-1,1,0,1000,3859,10:12:16,10:12:21,0,,5/2/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,3900,10:12:21,10:12:26,0,,5/2/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,4634,10:12:26,10:12:31,0,,5/2/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,3564,10:12:31,10:12:36,0,,5/2/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,10:12:36,10:12:40,0,,5/2/2016
38,1,defaultGroupID,Desert Study,-1,0,0,1000,3742,10:12:40,10:12:45,0,,5/2/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,3071,10:12:45,10:12:49,0,,5/2/2016
40,1,defaultGroupID,Desert Study,-1,1,0,1000,3763,10:12:49,10:12:54,0,,5/2/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,3321,10:12:54,10:12:58,0,,5/2/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,3645,10:12:58,10:13:3,0,,5/2/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,3162,10:13:3,10:13:7,0,,5/2/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,3463,10:13:7,10:13:11,0,,5/2/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,3191,10:13:11,10:13:15,0,,5/2/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,4828,10:13:15,10:13:21,0,,5/2/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3791,10:13:21,10:13:26,0,,5/2/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,3868,10:13:26,10:13:31,0,,5/2/2016
