UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,1,defaultGroupID,Desert Study,-1,1,0,1000,4074,12:28:17,12:28:22,0,,4/6/2016
2,1,defaultGroupID,Desert Study,-1,1,0,1000,3640,12:28:22,12:28:26,0,,4/6/2016
3,1,defaultGroupID,Desert Study,-1,1,0,1000,3642,12:28:26,12:28:31,0,,4/6/2016
4,1,defaultGroupID,Desert Study,-1,0,0,1000,4310,12:28:31,12:28:36,0,,4/6/2016
5,1,defaultGroupID,Desert Study,-1,1,0,1000,3993,12:28:36,12:28:41,0,,4/6/2016
6,1,defaultGroupID,Desert Study,-1,0,0,1000,4359,12:28:41,12:28:47,0,,4/6/2016
7,1,defaultGroupID,Desert Study,-1,0,0,1000,3666,12:28:47,12:28:51,0,,4/6/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,4789,12:28:51,12:28:57,0,,4/6/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,4823,12:28:57,12:29:3,0,,4/6/2016
10,1,defaultGroupID,Desert Study,-1,1,0,1000,3583,12:29:3,12:29:7,0,,4/6/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,4829,12:29:7,12:29:13,0,,4/6/2016
12,1,defaultGroupID,Desert Study,-1,0,0,1000,3884,12:29:13,12:29:18,0,,4/6/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,4200,12:29:18,12:29:23,0,,4/6/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3264,12:29:23,12:29:28,0,,4/6/2016
15,1,defaultGroupID,Desert Study,-1,0,0,1000,4210,12:29:28,12:29:33,0,,4/6/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,3869,12:29:33,12:29:38,0,,4/6/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3594,12:29:38,12:29:42,0,,4/6/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4371,12:29:42,12:29:48,0,,4/6/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,3880,12:29:48,12:29:52,0,,4/6/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,4920,12:29:52,12:29:58,0,,4/6/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,3904,12:29:58,12:30:3,0,,4/6/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,4396,12:30:3,12:30:9,0,,4/6/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,4475,12:30:9,12:30:14,0,,4/6/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3424,12:30:14,12:30:19,0,,4/6/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,4377,12:30:19,12:30:24,0,,4/6/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,3638,12:30:24,12:30:29,0,,4/6/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,4349,12:30:29,12:30:34,0,,4/6/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3226,12:30:34,12:30:38,0,,4/6/2016
29,1,defaultGroupID,Desert Study,-1,0,0,1000,4745,12:30:38,12:30:44,0,,4/6/2016
30,1,defaultGroupID,Desert Study,-1,0,0,1000,4306,12:30:44,12:30:49,0,,4/6/2016
31,1,defaultGroupID,Desert Study,-1,0,0,1000,4370,12:30:49,12:30:55,0,,4/6/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3015,12:30:55,12:30:59,0,,4/6/2016
33,1,defaultGroupID,Desert Study,-1,0,0,1000,4041,12:30:59,12:31:4,0,,4/6/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4992,12:31:4,12:31:10,0,,4/6/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,3708,12:31:10,12:31:14,0,,4/6/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,4437,12:31:14,12:31:20,0,,4/6/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,3808,12:31:20,12:31:25,0,,4/6/2016
38,1,defaultGroupID,Desert Study,-1,0,0,1000,3538,12:31:25,12:31:29,0,,4/6/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,4856,12:31:29,12:31:35,0,,4/6/2016
40,1,defaultGroupID,Desert Study,-1,1,0,1000,4777,12:31:35,12:31:41,0,,4/6/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,3724,12:31:41,12:31:46,0,,4/6/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,4271,12:31:46,12:31:51,0,,4/6/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,4878,12:31:51,12:31:57,0,,4/6/2016
44,1,defaultGroupID,Desert Study,-1,0,0,1000,4569,12:31:57,12:32:2,0,,4/6/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,3659,12:32:2,12:32:7,0,,4/6/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3065,12:32:7,12:32:11,0,,4/6/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3283,12:32:11,12:32:15,0,,4/6/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,3656,12:32:15,12:32:20,0,,4/6/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,4021,12:32:20,12:32:25,0,,4/6/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,4234,12:32:25,12:32:30,0,,4/6/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,3059,12:32:30,12:32:34,0,,4/6/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,3785,12:32:34,12:32:39,0,,4/6/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,4101,12:32:39,12:32:44,0,,4/6/2016
54,1,defaultGroupID,Desert Study,-1,0,0,1000,4581,12:32:44,12:32:50,0,,4/6/2016
55,1,defaultGroupID,Desert Study,-1,1,0,1000,3705,12:32:50,12:32:54,0,,4/6/2016
56,1,defaultGroupID,Desert Study,-1,0,0,1000,3978,12:32:54,12:32:59,0,,4/6/2016
57,1,defaultGroupID,Desert Study,-1,1,0,1000,3393,12:32:59,12:33:4,0,,4/6/2016
58,1,defaultGroupID,Desert Study,-1,1,0,1000,4713,12:33:4,12:33:9,0,,4/6/2016
59,1,defaultGroupID,Desert Study,-1,1,0,1000,3937,12:33:9,12:33:14,0,,4/6/2016
60,1,defaultGroupID,Desert Study,-1,1,0,1000,4937,12:33:14,12:33:20,0,,4/6/2016
61,1,defaultGroupID,Desert Study,-1,1,0,1000,3979,12:33:20,12:33:25,0,,4/6/2016
62,1,defaultGroupID,Desert Study,-1,1,0,1000,4693,12:33:25,12:33:31,0,,4/6/2016
63,1,defaultGroupID,Desert Study,-1,1,0,1000,4432,12:33:31,12:33:36,0,,4/6/2016
64,1,defaultGroupID,Desert Study,-1,1,0,1000,4623,12:33:36,12:33:42,0,,4/6/2016
65,1,defaultGroupID,Desert Study,-1,1,0,1000,3742,12:33:42,12:33:47,0,,4/6/2016
66,1,defaultGroupID,Desert Study,-1,0,0,1000,4341,12:33:47,12:33:52,0,,4/6/2016
67,1,defaultGroupID,Desert Study,-1,1,0,1000,3678,12:33:52,12:33:57,0,,4/6/2016
68,1,defaultGroupID,Desert Study,-1,1,0,1000,3848,12:33:57,12:34:2,0,,4/6/2016
69,1,defaultGroupID,Desert Study,-1,1,0,1000,4239,12:34:2,12:34:7,0,,4/6/2016
70,1,defaultGroupID,Desert Study,-1,1,0,1000,4896,12:34:7,12:34:13,0,,4/6/2016
71,1,defaultGroupID,Desert Study,-1,0,0,1000,4289,12:34:13,12:34:18,0,,4/6/2016
72,1,defaultGroupID,Desert Study,-1,1,0,1000,3259,12:34:18,12:34:22,0,,4/6/2016
73,1,defaultGroupID,Desert Study,-1,1,0,1000,4250,12:34:22,12:34:28,0,,4/6/2016
74,1,defaultGroupID,Desert Study,-1,1,0,1000,3298,12:34:28,12:34:32,0,,4/6/2016
75,1,defaultGroupID,Desert Study,-1,0,0,1000,4889,12:34:32,12:34:38,0,,4/6/2016
76,1,defaultGroupID,Desert Study,-1,1,0,1000,4003,12:34:38,12:34:43,0,,4/6/2016
77,1,defaultGroupID,Desert Study,-1,1,0,1000,4692,12:34:43,12:34:48,0,,4/6/2016
78,1,defaultGroupID,Desert Study,-1,1,0,1000,4364,12:34:48,12:34:54,0,,4/6/2016
79,1,defaultGroupID,Desert Study,-1,0,0,1000,4229,12:34:54,12:34:59,0,,4/6/2016
80,1,defaultGroupID,Desert Study,-1,1,0,1000,3462,12:34:59,12:35:4,0,,4/6/2016
81,1,defaultGroupID,Desert Study,-1,1,0,1000,4080,12:35:4,12:35:9,0,,4/6/2016
82,1,defaultGroupID,Desert Study,-1,1,0,1000,4876,12:35:9,12:35:14,0,,4/6/2016
83,1,defaultGroupID,Desert Study,-1,1,0,1000,3730,12:35:14,12:35:19,0,,4/6/2016
84,1,defaultGroupID,Desert Study,-1,1,0,1000,3932,12:35:19,12:35:24,0,,4/6/2016
85,1,defaultGroupID,Desert Study,-1,0,0,1000,4126,12:35:24,12:35:29,0,,4/6/2016
86,1,defaultGroupID,Desert Study,-1,1,0,1000,3758,12:35:29,12:35:34,0,,4/6/2016
87,1,defaultGroupID,Desert Study,-1,1,0,1000,3340,12:35:34,12:35:38,0,,4/6/2016
88,1,defaultGroupID,Desert Study,-1,0,0,1000,4137,12:35:38,12:35:44,0,,4/6/2016
89,1,defaultGroupID,Desert Study,-1,1,0,1000,4928,12:35:44,12:35:49,0,,4/6/2016
90,1,defaultGroupID,Desert Study,-1,1,0,1000,4184,12:35:49,12:35:55,0,,4/6/2016
91,1,defaultGroupID,Desert Study,-1,1,0,1000,4914,12:35:55,12:36:1,0,,4/6/2016
92,1,defaultGroupID,Desert Study,-1,1,0,1000,4084,12:36:1,12:36:6,0,,4/6/2016
93,1,defaultGroupID,Desert Study,-1,1,0,1000,4351,12:36:6,12:36:11,0,,4/6/2016
94,1,defaultGroupID,Desert Study,-1,1,0,1000,4308,12:36:11,12:36:16,0,,4/6/2016
95,1,defaultGroupID,Desert Study,-1,1,0,1000,3301,12:36:16,12:36:21,0,,4/6/2016
96,1,defaultGroupID,Desert Study,-1,0,0,1000,3281,12:36:21,12:36:25,0,,4/6/2016
97,1,defaultGroupID,Desert Study,-1,1,0,1000,4166,12:36:25,12:36:30,0,,4/6/2016
98,1,defaultGroupID,Desert Study,-1,1,0,1000,3733,12:36:30,12:36:35,0,,4/6/2016
99,1,defaultGroupID,Desert Study,-1,1,0,1000,3506,12:36:35,12:36:39,0,,4/6/2016
100,1,defaultGroupID,Desert Study,-1,0,0,1000,4022,12:36:39,12:36:44,0,,4/6/2016
101,1,defaultGroupID,Desert Study,-1,1,0,1000,3487,12:36:44,12:36:49,0,,4/6/2016
102,1,defaultGroupID,Desert Study,-1,1,0,1000,3958,12:36:49,12:36:54,0,,4/6/2016
103,1,defaultGroupID,Desert Study,-1,1,0,1000,4273,12:36:54,12:36:59,0,,4/6/2016
104,1,defaultGroupID,Desert Study,-1,1,0,1000,3050,12:36:59,12:37:3,0,,4/6/2016
105,1,defaultGroupID,Desert Study,-1,1,0,1000,3606,12:37:3,12:37:8,0,,4/6/2016
106,1,defaultGroupID,Desert Study,-1,1,0,1000,4452,12:37:8,12:37:13,0,,4/6/2016
107,1,defaultGroupID,Desert Study,-1,1,0,1000,3828,12:37:13,12:37:18,0,,4/6/2016
108,1,defaultGroupID,Desert Study,-1,1,0,1000,4585,12:37:18,12:37:24,0,,4/6/2016
109,1,defaultGroupID,Desert Study,-1,0,0,1000,4237,12:37:24,12:37:29,0,,4/6/2016
110,1,defaultGroupID,Desert Study,-1,1,0,1000,3091,12:37:29,12:37:33,0,,4/6/2016
111,1,defaultGroupID,Desert Study,-1,0,0,1000,3898,12:37:33,12:37:38,0,,4/6/2016
112,1,defaultGroupID,Desert Study,-1,0,0,1000,3433,12:37:38,12:37:42,0,,4/6/2016
113,1,defaultGroupID,Desert Study,-1,1,0,1000,3726,12:37:42,12:37:47,0,,4/6/2016
114,1,defaultGroupID,Desert Study,-1,0,0,1000,4978,12:37:47,12:37:53,0,,4/6/2016
115,1,defaultGroupID,Desert Study,-1,1,0,1000,4458,12:37:53,12:37:58,0,,4/6/2016
116,1,defaultGroupID,Desert Study,-1,0,0,1000,3834,12:37:58,12:38:3,0,,4/6/2016
117,1,defaultGroupID,Desert Study,-1,1,0,1000,3622,12:38:3,12:38:8,0,,4/6/2016
118,1,defaultGroupID,Desert Study,-1,0,0,1000,3076,12:38:8,12:38:12,0,,4/6/2016
119,1,defaultGroupID,Desert Study,-1,1,0,1000,4268,12:38:12,12:38:17,0,,4/6/2016
120,1,defaultGroupID,Desert Study,-1,1,0,1000,3615,12:38:17,12:38:22,0,,4/6/2016
121,1,defaultGroupID,Desert Study,-1,1,0,1000,4411,12:38:22,12:38:27,0,,4/6/2016
122,1,defaultGroupID,Desert Study,-1,1,0,1000,4047,12:38:27,12:38:32,0,,4/6/2016
123,1,defaultGroupID,Desert Study,-1,1,0,1000,4187,12:38:32,12:38:37,0,,4/6/2016
124,1,defaultGroupID,Desert Study,-1,1,0,1000,4497,12:38:37,12:38:43,0,,4/6/2016
125,1,defaultGroupID,Desert Study,-1,1,0,1000,3769,12:38:43,12:38:48,0,,4/6/2016
126,1,defaultGroupID,Desert Study,-1,0,0,1000,4016,12:38:48,12:38:53,0,,4/6/2016
127,1,defaultGroupID,Desert Study,-1,1,0,1000,4444,12:38:53,12:38:58,0,,4/6/2016
128,1,defaultGroupID,Desert Study,-1,1,0,1000,3165,12:38:58,12:39:2,0,,4/6/2016
129,1,defaultGroupID,Desert Study,-1,0,0,1000,3081,12:39:2,12:39:6,0,,4/6/2016
130,1,defaultGroupID,Desert Study,-1,0,0,1000,3230,12:39:6,12:39:11,0,,4/6/2016
131,1,defaultGroupID,Desert Study,-1,1,0,1000,3532,12:39:11,12:39:15,0,,4/6/2016
132,1,defaultGroupID,Desert Study,-1,0,0,1000,4618,12:39:15,12:39:21,0,,4/6/2016
133,1,defaultGroupID,Desert Study,-1,0,0,1000,4074,12:39:21,12:39:26,0,,4/6/2016
134,1,defaultGroupID,Desert Study,-1,1,0,1000,3926,12:39:26,12:39:31,0,,4/6/2016
135,1,defaultGroupID,Desert Study,-1,1,0,1000,4887,12:39:31,12:39:37,0,,4/6/2016
136,1,defaultGroupID,Desert Study,-1,1,0,1000,4594,12:39:37,12:39:42,0,,4/6/2016
