UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,-1,1,0,1000,4215,11:55:56,11:56:1,1,,4/8/2016
2,0,defaultGroupID,Desert Study,-1,1,0,1000,3593,11:56:1,11:56:5,1,,4/8/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,4357,11:56:5,11:56:11,1,,4/8/2016
4,0,defaultGroupID,Desert Study,-1,1,0,1000,3573,11:56:11,11:56:15,1,,4/8/2016
5,0,defaultGroupID,Desert Study,-1,1,0,1000,4437,11:56:15,11:56:21,1,,4/8/2016
6,0,defaultGroupID,Desert Study,-1,1,0,1000,4916,11:56:21,11:56:27,1,,4/8/2016
7,0,defaultGroupID,Desert Study,-1,1,0,1000,4819,11:56:27,11:56:32,1,,4/8/2016
8,0,defaultGroupID,Desert Study,-1,1,0,1000,3714,11:56:32,11:56:37,1,,4/8/2016
9,0,defaultGroupID,Desert Study,-1,1,0,1000,4283,11:56:37,11:56:42,1,,4/8/2016
10,0,defaultGroupID,Desert Study,-1,1,0,1000,4588,11:56:42,11:56:48,1,,4/8/2016
11,0,defaultGroupID,Desert Study,-1,1,0,1000,4208,11:56:48,11:56:53,1,,4/8/2016
12,0,defaultGroupID,Desert Study,-1,1,0,1000,3810,11:56:53,11:56:58,1,,4/8/2016
13,0,defaultGroupID,Desert Study,-1,1,0,1000,4078,11:56:58,11:57:3,1,,4/8/2016
14,0,defaultGroupID,Desert Study,-1,1,0,1000,4618,11:57:3,11:57:9,1,,4/8/2016
15,0,defaultGroupID,Desert Study,-1,1,0,1000,4333,11:57:9,11:57:14,1,,4/8/2016
16,0,defaultGroupID,Desert Study,-1,1,0,1000,3422,11:57:14,11:57:18,1,,4/8/2016
17,0,defaultGroupID,Desert Study,-1,1,0,1000,4606,11:57:18,11:57:24,1,,4/8/2016
18,0,defaultGroupID,Desert Study,-1,1,0,1000,4004,11:57:24,11:57:29,1,,4/8/2016
19,0,defaultGroupID,Desert Study,-1,1,0,1000,4180,11:57:29,11:57:34,1,,4/8/2016
20,0,defaultGroupID,Desert Study,-1,1,0,1000,3487,11:57:34,11:57:39,1,,4/8/2016
21,0,defaultGroupID,Desert Study,-1,1,0,1000,3338,11:57:39,11:57:43,1,,4/8/2016
22,0,defaultGroupID,Desert Study,-1,1,0,1000,3383,11:57:43,11:57:47,1,,4/8/2016
23,0,defaultGroupID,Desert Study,-1,1,0,1000,3377,11:57:47,11:57:52,1,,4/8/2016
24,0,defaultGroupID,Desert Study,-1,1,0,1000,3326,11:57:52,11:57:56,1,,4/8/2016
25,0,defaultGroupID,Desert Study,576,0,1,1000,4985,11:57:56,11:58:2,1,,4/8/2016
26,0,defaultGroupID,Desert Study,-1,1,0,1000,4635,11:58:2,11:58:7,1,,4/8/2016
27,0,defaultGroupID,Desert Study,-1,1,0,1000,3063,11:58:7,11:58:11,1,,4/8/2016
28,0,defaultGroupID,Desert Study,-1,1,0,1000,4443,11:58:11,11:58:17,1,,4/8/2016
29,0,defaultGroupID,Desert Study,-1,1,0,1000,4672,11:58:17,11:58:23,1,,4/8/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,3956,11:58:41,11:58:45,0,,4/8/2016
31,1,defaultGroupID,Desert Study,584,0,1,1000,4803,11:58:45,11:58:51,0,,4/8/2016
32,1,defaultGroupID,Desert Study,410,0,1,1000,3215,11:58:51,11:58:54,0,,4/8/2016
33,1,defaultGroupID,Desert Study,-1,1,0,1000,4502,11:58:54,11:59:0,0,,4/8/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4313,11:59:0,11:59:5,0,,4/8/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,11:59:5,11:59:11,0,,4/8/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,4652,11:59:11,11:59:17,0,,4/8/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,4157,11:59:17,11:59:22,0,,4/8/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,3013,11:59:22,11:59:26,0,,4/8/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,4736,11:59:26,11:59:32,0,,4/8/2016
40,1,defaultGroupID,Desert Study,275,0,1,1000,3882,11:59:32,11:59:36,0,,4/8/2016
41,1,defaultGroupID,Desert Study,409,0,1,1000,4210,11:59:36,11:59:41,0,,4/8/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,11:59:41,11:59:45,0,,4/8/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,4344,11:59:45,11:59:50,0,,4/8/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,3048,11:59:50,11:59:54,0,,4/8/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,11:59:54,11:59:58,0,,4/8/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3675,11:59:58,12:0:3,0,,4/8/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,4380,12:0:3,12:0:8,0,,4/8/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,12:0:8,12:0:13,0,,4/8/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,3418,12:0:13,12:0:17,0,,4/8/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,3930,12:0:17,12:0:22,0,,4/8/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,4882,12:0:22,12:0:28,0,,4/8/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,3131,12:0:28,12:0:32,0,,4/8/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,3753,12:0:32,12:0:37,0,,4/8/2016
54,1,defaultGroupID,Desert Study,213,0,1,1000,4661,12:0:37,12:0:42,0,,4/8/2016
