UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,997,0,1,1000,3131,12:2:50,12:2:54,1,,4/4/2016
2,0,defaultGroupID,Desert Study,-1,1,0,1000,3127,12:2:54,12:2:58,1,,4/4/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,4176,12:2:58,12:3:3,1,,4/4/2016
4,0,defaultGroupID,Desert Study,-1,1,0,1000,4232,12:3:3,12:3:8,1,,4/4/2016
5,0,defaultGroupID,Desert Study,-1,1,0,1000,4980,12:3:8,12:3:14,1,,4/4/2016
6,1,defaultGroupID,Desert Study,-1,1,0,1000,4135,12:3:30,12:3:35,0,,4/4/2016
7,1,defaultGroupID,Desert Study,860,0,2,1000,4948,12:3:35,12:3:40,0,,4/4/2016
8,1,defaultGroupID,Desert Study,-1,1,0,1000,3557,12:3:40,12:3:45,0,,4/4/2016
9,1,defaultGroupID,Desert Study,-1,1,0,1000,3792,12:3:45,12:3:50,0,,4/4/2016
10,1,defaultGroupID,Desert Study,537,0,1,1000,3489,12:3:50,12:3:54,0,,4/4/2016
11,1,defaultGroupID,Desert Study,-1,1,0,1000,3840,12:3:54,12:3:59,0,,4/4/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,12:3:59,12:4:4,0,,4/4/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,3674,12:4:4,12:4:9,0,,4/4/2016
14,1,defaultGroupID,Desert Study,342,0,1,1000,4183,12:4:9,12:4:13,0,,4/4/2016
15,1,defaultGroupID,Desert Study,-1,1,0,1000,3616,12:4:13,12:4:18,0,,4/4/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,4215,12:4:18,12:4:23,0,,4/4/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3593,12:4:23,12:4:28,0,,4/4/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4357,12:4:28,12:4:33,0,,4/4/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,3573,12:4:33,12:4:38,0,,4/4/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,4437,12:4:38,12:4:43,0,,4/4/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4916,12:4:43,12:4:49,0,,4/4/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,4819,12:4:49,12:4:55,0,,4/4/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3714,12:4:55,12:5:0,0,,4/4/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,4283,12:5:0,12:5:5,0,,4/4/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,4588,12:5:5,12:5:10,0,,4/4/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,4208,12:5:10,12:5:16,0,,4/4/2016
27,1,defaultGroupID,Desert Study,-1,1,0,1000,3810,12:5:16,12:5:20,0,,4/4/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,4078,12:5:20,12:5:26,0,,4/4/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,4618,12:5:26,12:5:31,0,,4/4/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,4333,12:5:31,12:5:36,0,,4/4/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3422,12:5:36,12:5:41,0,,4/4/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,4606,12:5:41,12:5:46,0,,4/4/2016
33,1,defaultGroupID,Desert Study,-1,1,0,1000,4004,12:5:46,12:5:51,0,,4/4/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4180,12:5:51,12:5:57,0,,4/4/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,3487,12:5:57,12:6:1,0,,4/4/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,3338,12:6:1,12:6:5,0,,4/4/2016
37,1,defaultGroupID,Desert Study,-1,1,0,1000,3383,12:6:5,12:6:10,0,,4/4/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,3377,12:6:10,12:6:14,0,,4/4/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,3326,12:6:14,12:6:19,0,,4/4/2016
40,1,defaultGroupID,Desert Study,569,0,1,1000,4985,12:6:19,12:6:24,0,,4/4/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,4635,12:6:24,12:6:30,0,,4/4/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,3063,12:6:30,12:6:34,0,,4/4/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,12:6:34,12:6:39,0,,4/4/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,4672,12:6:39,12:6:45,0,,4/4/2016
45,1,defaultGroupID,Desert Study,451,0,1,1000,4846,12:6:45,12:6:50,0,,4/4/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3956,12:6:50,12:6:55,0,,4/4/2016
47,1,defaultGroupID,Desert Study,443,0,1,1000,4803,12:6:55,12:7:0,0,,4/4/2016
48,1,defaultGroupID,Desert Study,672,0,1,1000,3215,12:7:0,12:7:4,0,,4/4/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,4502,12:7:4,12:7:10,0,,4/4/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,4313,12:7:10,12:7:15,0,,4/4/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,12:7:15,12:7:21,0,,4/4/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,4652,12:7:21,12:7:27,0,,4/4/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,4157,12:7:27,12:7:32,0,,4/4/2016
54,1,defaultGroupID,Desert Study,-1,1,0,1000,3013,12:7:32,12:7:36,0,,4/4/2016
55,1,defaultGroupID,Desert Study,-1,1,0,1000,4736,12:7:36,12:7:42,0,,4/4/2016
56,1,defaultGroupID,Desert Study,413,0,1,1000,3882,12:7:42,12:7:46,0,,4/4/2016
57,1,defaultGroupID,Desert Study,544,0,1,1000,4210,12:7:46,12:7:51,0,,4/4/2016
58,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,12:7:51,12:7:55,0,,4/4/2016
59,1,defaultGroupID,Desert Study,-1,1,0,1000,4344,12:7:55,12:8:0,0,,4/4/2016
60,1,defaultGroupID,Desert Study,-1,1,0,1000,3048,12:8:0,12:8:4,0,,4/4/2016
61,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,12:8:4,12:8:8,0,,4/4/2016
62,1,defaultGroupID,Desert Study,-1,1,0,1000,3675,12:8:8,12:8:13,0,,4/4/2016
63,1,defaultGroupID,Desert Study,-1,1,0,1000,4380,12:8:13,12:8:19,0,,4/4/2016
64,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,12:8:19,12:8:23,0,,4/4/2016
65,1,defaultGroupID,Desert Study,-1,1,0,1000,3418,12:8:23,12:8:27,0,,4/4/2016
66,1,defaultGroupID,Desert Study,-1,1,0,1000,3930,12:8:27,12:8:32,0,,4/4/2016
67,1,defaultGroupID,Desert Study,-1,1,0,1000,4882,12:8:32,12:8:38,0,,4/4/2016
68,1,defaultGroupID,Desert Study,-1,1,0,1000,3131,12:8:38,12:8:42,0,,4/4/2016
69,1,defaultGroupID,Desert Study,-1,1,0,1000,3753,12:8:42,12:8:47,0,,4/4/2016
70,1,defaultGroupID,Desert Study,485,0,1,1000,4661,12:8:47,12:8:52,0,,4/4/2016
71,1,defaultGroupID,Desert Study,-1,1,0,1000,4154,12:8:52,12:8:57,0,,4/4/2016
72,1,defaultGroupID,Desert Study,362,0,1,1000,3599,12:8:57,12:9:1,0,,4/4/2016
73,1,defaultGroupID,Desert Study,-1,1,0,1000,3197,12:9:1,12:9:6,0,,4/4/2016
74,1,defaultGroupID,Desert Study,-1,1,0,1000,4302,12:9:6,12:9:11,0,,4/4/2016
75,1,defaultGroupID,Desert Study,-1,1,0,1000,4657,12:9:11,12:9:16,0,,4/4/2016
76,1,defaultGroupID,Desert Study,-1,1,0,1000,4150,12:9:16,12:9:22,0,,4/4/2016
77,1,defaultGroupID,Desert Study,391,0,2,1000,3089,12:9:22,12:9:26,0,,4/4/2016
78,1,defaultGroupID,Desert Study,-1,1,0,1000,3720,12:9:26,12:9:30,0,,4/4/2016
79,1,defaultGroupID,Desert Study,-1,1,0,1000,4299,12:9:30,12:9:36,0,,4/4/2016
80,1,defaultGroupID,Desert Study,-1,1,0,1000,4305,12:9:36,12:9:41,0,,4/4/2016
81,1,defaultGroupID,Desert Study,388,0,1,1000,3570,12:9:41,12:9:45,0,,4/4/2016
82,1,defaultGroupID,Desert Study,-1,1,0,1000,3611,12:9:45,12:9:50,0,,4/4/2016
83,1,defaultGroupID,Desert Study,-1,1,0,1000,3172,12:9:50,12:9:54,0,,4/4/2016
84,1,defaultGroupID,Desert Study,-1,1,0,1000,4782,12:9:54,12:10:0,0,,4/4/2016
85,1,defaultGroupID,Desert Study,341,0,1,1000,4709,12:10:0,12:10:5,0,,4/4/2016
86,1,defaultGroupID,Desert Study,-1,1,0,1000,4851,12:10:5,12:10:10,0,,4/4/2016
87,1,defaultGroupID,Desert Study,-1,1,0,1000,4133,12:10:10,12:10:16,0,,4/4/2016
88,1,defaultGroupID,Desert Study,493,0,1,1000,4833,12:10:16,12:10:21,0,,4/4/2016
89,1,defaultGroupID,Desert Study,-1,1,0,1000,3032,12:10:21,12:10:25,0,,4/4/2016
90,1,defaultGroupID,Desert Study,-1,1,0,1000,3304,12:10:25,12:10:29,0,,4/4/2016
91,1,defaultGroupID,Desert Study,-1,1,0,1000,3227,12:10:29,12:10:33,0,,4/4/2016
92,1,defaultGroupID,Desert Study,339,0,1,1000,4881,12:10:33,12:10:39,0,,4/4/2016
93,1,defaultGroupID,Desert Study,-1,1,0,1000,4192,12:10:39,12:10:44,0,,4/4/2016
94,1,defaultGroupID,Desert Study,-1,1,0,1000,4708,12:10:44,12:10:50,0,,4/4/2016
95,1,defaultGroupID,Desert Study,-1,1,0,1000,3521,12:10:50,12:10:54,0,,4/4/2016
96,1,defaultGroupID,Desert Study,-1,1,0,1000,4790,12:10:54,12:11:0,0,,4/4/2016
97,1,defaultGroupID,Desert Study,360,0,1,1000,4843,12:11:0,12:11:5,0,,4/4/2016
98,1,defaultGroupID,Desert Study,-1,1,0,1000,4208,12:11:5,12:11:10,0,,4/4/2016
99,1,defaultGroupID,Desert Study,441,0,1,1000,4497,12:11:10,12:11:16,0,,4/4/2016
100,1,defaultGroupID,Desert Study,-1,1,0,1000,3223,12:11:16,12:11:20,0,,4/4/2016
101,1,defaultGroupID,Desert Study,-1,1,0,1000,3733,12:11:20,12:11:25,0,,4/4/2016
102,1,defaultGroupID,Desert Study,334,0,1,1000,4748,12:11:25,12:11:30,0,,4/4/2016
103,1,defaultGroupID,Desert Study,-1,1,0,1000,4778,12:11:30,12:11:36,0,,4/4/2016
104,1,defaultGroupID,Desert Study,-1,1,0,1000,3154,12:11:36,12:11:40,0,,4/4/2016
105,1,defaultGroupID,Desert Study,-1,1,0,1000,3679,12:11:40,12:11:44,0,,4/4/2016
106,1,defaultGroupID,Desert Study,-1,1,0,1000,3367,12:11:44,12:11:49,0,,4/4/2016
107,1,defaultGroupID,Desert Study,-1,1,0,1000,4315,12:11:49,12:11:54,0,,4/4/2016
108,1,defaultGroupID,Desert Study,-1,1,0,1000,4909,12:11:54,12:12:0,0,,4/4/2016
109,1,defaultGroupID,Desert Study,-1,1,0,1000,4218,12:12:0,12:12:5,0,,4/4/2016
110,1,defaultGroupID,Desert Study,-1,1,0,1000,3195,12:12:5,12:12:9,0,,4/4/2016
111,1,defaultGroupID,Desert Study,-1,1,0,1000,4720,12:12:9,12:12:15,0,,4/4/2016
112,1,defaultGroupID,Desert Study,304,0,1,1000,3349,12:12:15,12:12:19,0,,4/4/2016
113,1,defaultGroupID,Desert Study,-1,1,0,1000,4146,12:12:19,12:12:24,0,,4/4/2016
114,1,defaultGroupID,Desert Study,-1,1,0,1000,4129,12:12:24,12:12:29,0,,4/4/2016
115,1,defaultGroupID,Desert Study,-1,1,0,1000,4635,12:12:29,12:12:35,0,,4/4/2016
116,1,defaultGroupID,Desert Study,-1,1,0,1000,3053,12:12:35,12:12:39,0,,4/4/2016
117,1,defaultGroupID,Desert Study,411,0,1,1000,4598,12:12:39,12:12:44,0,,4/4/2016
118,1,defaultGroupID,Desert Study,-1,1,0,1000,3068,12:12:44,12:12:48,0,,4/4/2016
119,1,defaultGroupID,Desert Study,-1,1,0,1000,4376,12:12:48,12:12:53,0,,4/4/2016
120,1,defaultGroupID,Desert Study,-1,1,0,1000,4931,12:12:53,12:12:59,0,,4/4/2016
121,1,defaultGroupID,Desert Study,-1,1,0,1000,3707,12:12:59,12:13:4,0,,4/4/2016
122,1,defaultGroupID,Desert Study,307,0,1,1000,3026,12:13:4,12:13:7,0,,4/4/2016
123,1,defaultGroupID,Desert Study,-1,1,0,1000,4873,12:13:7,12:13:13,0,,4/4/2016
124,1,defaultGroupID,Desert Study,-1,1,0,1000,4237,12:13:13,12:13:18,0,,4/4/2016
125,1,defaultGroupID,Desert Study,331,0,1,1000,4786,12:13:18,12:13:23,0,,4/4/2016
126,1,defaultGroupID,Desert Study,1801,0,1,1000,4575,12:13:23,12:13:29,0,,4/4/2016
127,1,defaultGroupID,Desert Study,-1,1,0,1000,4406,12:13:29,12:13:34,0,,4/4/2016
128,1,defaultGroupID,Desert Study,-1,1,0,1000,4678,12:13:34,12:13:40,0,,4/4/2016
129,1,defaultGroupID,Desert Study,-1,1,0,1000,4641,12:13:40,12:13:46,0,,4/4/2016
130,1,defaultGroupID,Desert Study,-1,1,0,1000,4248,12:13:46,12:13:51,0,,4/4/2016
131,1,defaultGroupID,Desert Study,-1,1,0,1000,4948,12:13:51,12:13:57,0,,4/4/2016
132,1,defaultGroupID,Desert Study,-1,1,0,1000,4479,12:13:57,12:14:2,0,,4/4/2016
133,1,defaultGroupID,Desert Study,-1,1,0,1000,4447,12:14:2,12:14:8,0,,4/4/2016
134,1,defaultGroupID,Desert Study,-1,1,0,1000,3427,12:14:8,12:14:12,0,,4/4/2016
135,1,defaultGroupID,Desert Study,-1,1,0,1000,3771,12:14:12,12:14:17,0,,4/4/2016
136,1,defaultGroupID,Desert Study,-1,1,0,1000,3958,12:14:17,12:14:22,0,,4/4/2016
137,1,defaultGroupID,Desert Study,-1,1,0,1000,4400,12:14:22,12:14:27,0,,4/4/2016
138,1,defaultGroupID,Desert Study,-1,1,0,1000,4248,12:14:27,12:14:33,0,,4/4/2016
139,1,defaultGroupID,Desert Study,-1,1,0,1000,3957,12:14:33,12:14:38,0,,4/4/2016
140,1,defaultGroupID,Desert Study,-1,1,0,1000,4815,12:14:38,12:14:43,0,,4/4/2016
141,1,defaultGroupID,Desert Study,-1,1,0,1000,4422,12:14:43,12:14:49,0,,4/4/2016
142,1,defaultGroupID,Desert Study,389,0,1,1000,4107,12:14:49,12:14:53,0,,4/4/2016
143,1,defaultGroupID,Desert Study,-1,1,0,1000,3811,12:14:53,12:14:58,0,,4/4/2016
144,1,defaultGroupID,Desert Study,-1,1,0,1000,4678,12:14:58,12:15:4,0,,4/4/2016
145,1,defaultGroupID,Desert Study,434,0,1,1000,3517,12:15:4,12:15:8,0,,4/4/2016
146,1,defaultGroupID,Desert Study,-1,1,0,1000,3057,12:15:8,12:15:12,0,,4/4/2016
147,1,defaultGroupID,Desert Study,-1,1,0,1000,3095,12:15:12,12:15:16,0,,4/4/2016
148,1,defaultGroupID,Desert Study,-1,1,0,1000,3431,12:15:16,12:15:20,0,,4/4/2016
149,1,defaultGroupID,Desert Study,-1,1,0,1000,4420,12:15:20,12:15:26,0,,4/4/2016
150,1,defaultGroupID,Desert Study,-1,1,0,1000,3417,12:15:26,12:15:30,0,,4/4/2016
151,1,defaultGroupID,Desert Study,571,0,1,1000,3111,12:15:30,12:15:34,0,,4/4/2016
152,1,defaultGroupID,Desert Study,-1,1,0,1000,4252,12:15:34,12:15:39,0,,4/4/2016
153,1,defaultGroupID,Desert Study,-1,1,0,1000,4270,12:15:39,12:15:44,0,,4/4/2016
154,1,defaultGroupID,Desert Study,-1,1,0,1000,3685,12:15:44,12:15:49,0,,4/4/2016
155,1,defaultGroupID,Desert Study,-1,1,0,1000,4443,12:15:49,12:15:55,0,,4/4/2016
156,1,defaultGroupID,Desert Study,-1,1,0,1000,3610,12:15:55,12:15:59,0,,4/4/2016
157,1,defaultGroupID,Desert Study,-1,1,0,1000,4837,12:15:59,12:16:5,0,,4/4/2016
158,1,defaultGroupID,Desert Study,-1,1,0,1000,3355,12:16:5,12:16:9,0,,4/4/2016
159,1,defaultGroupID,Desert Study,-1,1,0,1000,4406,12:16:9,12:16:15,0,,4/4/2016
160,1,defaultGroupID,Desert Study,-1,1,0,1000,3019,12:16:15,12:16:19,0,,4/4/2016
161,1,defaultGroupID,Desert Study,-1,1,0,1000,3635,12:16:19,12:16:23,0,,4/4/2016
162,1,defaultGroupID,Desert Study,347,0,1,1000,3383,12:16:23,12:16:27,0,,4/4/2016
163,1,defaultGroupID,Desert Study,411,0,1,1000,3340,12:16:27,12:16:31,0,,4/4/2016
164,1,defaultGroupID,Desert Study,-1,1,0,1000,4335,12:16:31,12:16:36,0,,4/4/2016
165,1,defaultGroupID,Desert Study,-1,1,0,1000,3938,12:16:36,12:16:41,0,,4/4/2016
166,1,defaultGroupID,Desert Study,-1,1,0,1000,3917,12:16:41,12:16:46,0,,4/4/2016
167,1,defaultGroupID,Desert Study,395,0,1,1000,4415,12:16:46,12:16:51,0,,4/4/2016
168,1,defaultGroupID,Desert Study,348,0,1,1000,4499,12:16:51,12:16:56,0,,4/4/2016
169,1,defaultGroupID,Desert Study,342,1,1,1000,4235,12:16:56,12:17:0,0,,4/4/2016
170,1,defaultGroupID,Desert Study,-1,1,0,1000,3948,12:17:0,12:17:5,0,,4/4/2016
171,1,defaultGroupID,Desert Study,-1,1,0,1000,3900,12:17:5,12:17:10,0,,4/4/2016
172,1,defaultGroupID,Desert Study,-1,1,0,1000,3336,12:17:10,12:17:15,0,,4/4/2016
173,1,defaultGroupID,Desert Study,-1,1,0,1000,4126,12:17:15,12:17:20,0,,4/4/2016
174,1,defaultGroupID,Desert Study,-1,1,0,1000,3156,12:17:20,12:17:24,0,,4/4/2016
175,1,defaultGroupID,Desert Study,-1,1,0,1000,4708,12:17:24,12:17:30,0,,4/4/2016
176,1,defaultGroupID,Desert Study,-1,1,0,1000,4113,12:17:30,12:17:35,0,,4/4/2016
177,1,defaultGroupID,Desert Study,-1,1,0,1000,3021,12:17:35,12:17:39,0,,4/4/2016
178,1,defaultGroupID,Desert Study,-1,1,0,1000,3721,12:17:39,12:17:43,0,,4/4/2016
179,1,defaultGroupID,Desert Study,-1,1,0,1000,3302,12:17:43,12:17:48,0,,4/4/2016
180,1,defaultGroupID,Desert Study,-1,1,0,1000,3027,12:17:48,12:17:52,0,,4/4/2016
181,1,defaultGroupID,Desert Study,357,0,1,1000,4646,12:17:52,12:17:57,0,,4/4/2016
182,1,defaultGroupID,Desert Study,-1,1,0,1000,3497,12:17:57,12:18:1,0,,4/4/2016
183,1,defaultGroupID,Desert Study,-1,1,0,1000,3452,12:18:1,12:18:6,0,,4/4/2016
184,1,defaultGroupID,Desert Study,-1,1,0,1000,3099,12:18:6,12:18:10,0,,4/4/2016
185,1,defaultGroupID,Desert Study,465,0,1,1000,4169,12:18:10,12:18:14,0,,4/4/2016
186,1,defaultGroupID,Desert Study,-1,1,0,1000,4194,12:18:14,12:18:20,0,,4/4/2016
187,1,defaultGroupID,Desert Study,499,0,1,1000,4708,12:18:20,12:18:25,0,,4/4/2016
188,1,defaultGroupID,Desert Study,-1,1,0,1000,4208,12:18:25,12:18:30,0,,4/4/2016
189,1,defaultGroupID,Desert Study,-1,1,0,1000,4541,12:18:30,12:18:36,0,,4/4/2016
190,1,defaultGroupID,Desert Study,343,0,1,1000,4490,12:18:36,12:18:40,0,,4/4/2016
191,1,defaultGroupID,Desert Study,-1,1,0,1000,4204,12:18:40,12:18:46,0,,4/4/2016
192,1,defaultGroupID,Desert Study,-1,1,0,1000,3219,12:18:46,12:18:50,0,,4/4/2016
193,1,defaultGroupID,Desert Study,-1,1,0,1000,4149,12:18:50,12:18:55,0,,4/4/2016
194,1,defaultGroupID,Desert Study,-1,1,0,1000,3244,12:18:55,12:18:59,0,,4/4/2016
195,1,defaultGroupID,Desert Study,-1,1,0,1000,3333,12:18:59,12:19:4,0,,4/4/2016
196,1,defaultGroupID,Desert Study,-1,1,0,1000,4122,12:19:4,12:19:9,0,,4/4/2016
197,1,defaultGroupID,Desert Study,-1,1,0,1000,3099,12:19:9,12:19:13,0,,4/4/2016
198,1,defaultGroupID,Desert Study,-1,1,0,1000,4336,12:19:13,12:19:18,0,,4/4/2016
199,1,defaultGroupID,Desert Study,-1,1,0,1000,4894,12:19:18,12:19:24,0,,4/4/2016
200,1,defaultGroupID,Desert Study,-1,1,0,1000,4251,12:19:24,12:19:29,0,,4/4/2016
201,1,defaultGroupID,Desert Study,-1,1,0,1000,3928,12:19:29,12:19:34,0,,4/4/2016
202,1,defaultGroupID,Desert Study,-1,1,0,1000,3188,12:19:34,12:19:38,0,,4/4/2016
203,1,defaultGroupID,Desert Study,-1,1,0,1000,4253,12:19:38,12:19:44,0,,4/4/2016
204,1,defaultGroupID,Desert Study,-1,1,0,1000,4790,12:19:44,12:19:49,0,,4/4/2016
205,1,defaultGroupID,Desert Study,-1,1,0,1000,3282,12:19:49,12:19:54,0,,4/4/2016
