UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,-1,0,0,1000,3919,14:59:50,14:59:54,1,,4/27/2016
2,0,defaultGroupID,Desert Study,-1,0,0,1000,3333,14:59:54,14:59:59,1,,4/27/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,4133,14:59:59,15:0:4,1,,4/27/2016
4,0,defaultGroupID,Desert Study,-1,1,0,1000,4723,15:0:4,15:0:10,1,,4/27/2016
5,0,defaultGroupID,Desert Study,-1,0,0,1000,4023,15:0:10,15:0:15,1,,4/27/2016
6,0,defaultGroupID,Desert Study,-1,1,0,1000,4601,15:0:15,15:0:20,1,,4/27/2016
7,0,defaultGroupID,Desert Study,-1,1,0,1000,3054,15:0:20,15:0:24,1,,4/27/2016
8,0,defaultGroupID,Desert Study,-1,1,0,1000,3289,15:0:24,15:0:29,1,,4/27/2016
9,0,defaultGroupID,Desert Study,-1,1,0,1000,3176,15:0:29,15:0:33,1,,4/27/2016
10,1,defaultGroupID,Desert Study,-1,0,0,1000,3521,15:0:42,15:0:46,0,,4/27/2016
11,1,defaultGroupID,Desert Study,-1,0,0,1000,3031,15:0:46,15:0:50,0,,4/27/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,3728,15:0:50,15:0:55,0,,4/27/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,3815,15:0:55,15:1:0,0,,4/27/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3130,15:1:0,15:1:4,0,,4/27/2016
15,1,defaultGroupID,Desert Study,-1,0,0,1000,3511,15:1:4,15:1:8,0,,4/27/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,4916,15:1:8,15:1:14,0,,4/27/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3917,15:1:14,15:1:19,0,,4/27/2016
18,1,defaultGroupID,Desert Study,-1,1,0,1000,4255,15:1:19,15:1:24,0,,4/27/2016
19,1,defaultGroupID,Desert Study,-1,1,0,1000,4861,15:1:24,15:1:30,0,,4/27/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,4645,15:1:30,15:1:36,0,,4/27/2016
21,1,defaultGroupID,Desert Study,-1,1,0,1000,4607,15:1:36,15:1:41,0,,4/27/2016
22,2,defaultGroupID,Desert Study,443,0,2,1000,3969,15:1:57,15:2:1,0,,4/27/2016
23,2,defaultGroupID,Desert Study,1523,1,0,1000,3436,15:2:1,15:2:5,0,,4/27/2016
24,2,defaultGroupID,Desert Study,-1,0,0,1000,4447,15:2:5,15:2:10,0,,4/27/2016
25,2,defaultGroupID,Desert Study,-1,1,0,1000,3125,15:2:10,15:2:13,0,,4/27/2016
26,2,defaultGroupID,Desert Study,697,1,1,1000,3488,15:2:13,15:2:16,0,,4/27/2016
27,2,defaultGroupID,Desert Study,395,0,1,1000,3818,15:2:16,15:2:21,0,,4/27/2016
28,2,defaultGroupID,Desert Study,-1,1,0,1000,3738,15:2:21,15:2:25,0,,4/27/2016
29,2,defaultGroupID,Desert Study,-1,1,0,1000,3764,15:2:25,15:2:30,0,,4/27/2016
30,2,defaultGroupID,Desert Study,-1,1,0,1000,3073,15:2:30,15:2:34,0,,4/27/2016
31,2,defaultGroupID,Desert Study,-1,1,0,1000,4500,15:2:34,15:2:40,0,,4/27/2016
32,2,defaultGroupID,Desert Study,-1,1,0,1000,4673,15:2:40,15:2:45,0,,4/27/2016
33,2,defaultGroupID,Desert Study,-1,1,0,1000,3873,15:2:45,15:2:50,0,,4/27/2016
34,2,defaultGroupID,Desert Study,-1,1,0,1000,4705,15:2:50,15:2:56,0,,4/27/2016
35,2,defaultGroupID,Desert Study,-1,1,0,1000,4240,15:2:56,15:3:1,0,,4/27/2016
36,2,defaultGroupID,Desert Study,-1,1,0,1000,4076,15:3:1,15:3:6,0,,4/27/2016
37,2,defaultGroupID,Desert Study,-1,1,0,1000,3809,15:3:6,15:3:11,0,,4/27/2016
38,2,defaultGroupID,Desert Study,-1,1,0,1000,3212,15:3:11,15:3:15,0,,4/27/2016
39,2,defaultGroupID,Desert Study,-1,1,0,1000,3850,15:3:15,15:3:20,0,,4/27/2016
40,2,defaultGroupID,Desert Study,-1,1,0,1000,3335,15:3:20,15:3:24,0,,4/27/2016
