UniqueID, BlockID, GroupID, ConfigName, Response Time, LED Red (1=Red 0=Green), pressCount, LEDOnTime, InterStimulusDuration, PCStartTime, PCEndTime, isPractice, keyDown, Date
1,0,defaultGroupID,Desert Study,-1,1,0,1000,3039,9:32:50,9:32:54,1,,5/3/2016
2,0,defaultGroupID,Desert Study,-1,1,0,1000,4201,9:32:54,9:32:59,1,,5/3/2016
3,0,defaultGroupID,Desert Study,-1,1,0,1000,3565,9:32:59,9:33:3,1,,5/3/2016
4,0,defaultGroupID,Desert Study,-1,1,0,1000,4111,9:33:3,9:33:8,1,,5/3/2016
5,0,defaultGroupID,Desert Study,-1,1,0,1000,3870,9:33:8,9:33:13,1,,5/3/2016
6,0,defaultGroupID,Desert Study,-1,1,0,1000,4688,9:33:13,9:33:19,1,,5/3/2016
7,0,defaultGroupID,Desert Study,-1,1,0,1000,4026,9:33:19,9:33:24,1,,5/3/2016
8,0,defaultGroupID,Desert Study,-1,1,0,1000,4597,9:33:24,9:33:30,1,,5/3/2016
9,0,defaultGroupID,Desert Study,-1,1,0,1000,4948,9:33:30,9:33:36,1,,5/3/2016
10,0,defaultGroupID,Desert Study,-1,1,0,1000,4200,9:33:36,9:33:41,1,,5/3/2016
11,0,defaultGroupID,Desert Study,-1,1,0,1000,4373,9:33:41,9:33:46,1,,5/3/2016
12,1,defaultGroupID,Desert Study,-1,1,0,1000,4821,9:34:13,9:34:18,0,,5/3/2016
13,1,defaultGroupID,Desert Study,-1,1,0,1000,3228,9:34:18,9:34:23,0,,5/3/2016
14,1,defaultGroupID,Desert Study,-1,1,0,1000,3221,9:34:23,9:34:27,0,,5/3/2016
15,1,defaultGroupID,Desert Study,482,0,1,1000,3405,9:34:27,9:34:31,0,,5/3/2016
16,1,defaultGroupID,Desert Study,-1,1,0,1000,3635,9:34:31,9:34:36,0,,5/3/2016
17,1,defaultGroupID,Desert Study,-1,1,0,1000,3354,9:34:36,9:34:40,0,,5/3/2016
18,1,defaultGroupID,Desert Study,309,0,1,1000,3696,9:34:40,9:34:44,0,,5/3/2016
19,1,defaultGroupID,Desert Study,420,0,1,1000,3217,9:34:44,9:34:48,0,,5/3/2016
20,1,defaultGroupID,Desert Study,-1,1,0,1000,4856,9:34:48,9:34:54,0,,5/3/2016
21,1,defaultGroupID,Desert Study,413,0,1,1000,3663,9:34:54,9:34:58,0,,5/3/2016
22,1,defaultGroupID,Desert Study,-1,1,0,1000,3237,9:34:58,9:35:2,0,,5/3/2016
23,1,defaultGroupID,Desert Study,-1,1,0,1000,3693,9:35:2,9:35:7,0,,5/3/2016
24,1,defaultGroupID,Desert Study,-1,1,0,1000,3534,9:35:7,9:35:11,0,,5/3/2016
25,1,defaultGroupID,Desert Study,-1,1,0,1000,3768,9:35:11,9:35:16,0,,5/3/2016
26,1,defaultGroupID,Desert Study,-1,1,0,1000,3180,9:35:16,9:35:20,0,,5/3/2016
27,1,defaultGroupID,Desert Study,349,0,1,1000,4350,9:35:20,9:35:25,0,,5/3/2016
28,1,defaultGroupID,Desert Study,-1,1,0,1000,3032,9:35:25,9:35:29,0,,5/3/2016
29,1,defaultGroupID,Desert Study,-1,1,0,1000,4687,9:35:29,9:35:35,0,,5/3/2016
30,1,defaultGroupID,Desert Study,-1,1,0,1000,3581,9:35:35,9:35:39,0,,5/3/2016
31,1,defaultGroupID,Desert Study,-1,1,0,1000,3795,9:35:39,9:35:44,0,,5/3/2016
32,1,defaultGroupID,Desert Study,-1,1,0,1000,3859,9:35:44,9:35:49,0,,5/3/2016
33,1,defaultGroupID,Desert Study,-1,1,0,1000,3900,9:35:49,9:35:54,0,,5/3/2016
34,1,defaultGroupID,Desert Study,-1,1,0,1000,4634,9:35:54,9:35:59,0,,5/3/2016
35,1,defaultGroupID,Desert Study,-1,1,0,1000,3564,9:35:59,9:36:4,0,,5/3/2016
36,1,defaultGroupID,Desert Study,-1,1,0,1000,3421,9:36:4,9:36:8,0,,5/3/2016
37,1,defaultGroupID,Desert Study,329,0,1,1000,3742,9:36:8,9:36:12,0,,5/3/2016
38,1,defaultGroupID,Desert Study,-1,1,0,1000,3071,9:36:12,9:36:16,0,,5/3/2016
39,1,defaultGroupID,Desert Study,-1,1,0,1000,3763,9:36:16,9:36:21,0,,5/3/2016
40,1,defaultGroupID,Desert Study,-1,1,0,1000,3321,9:36:21,9:36:26,0,,5/3/2016
41,1,defaultGroupID,Desert Study,-1,1,0,1000,3645,9:36:26,9:36:30,0,,5/3/2016
42,1,defaultGroupID,Desert Study,-1,1,0,1000,3162,9:36:30,9:36:34,0,,5/3/2016
43,1,defaultGroupID,Desert Study,-1,1,0,1000,3463,9:36:34,9:36:39,0,,5/3/2016
44,1,defaultGroupID,Desert Study,-1,1,0,1000,3191,9:36:39,9:36:43,0,,5/3/2016
45,1,defaultGroupID,Desert Study,-1,1,0,1000,4828,9:36:43,9:36:49,0,,5/3/2016
46,1,defaultGroupID,Desert Study,-1,1,0,1000,3791,9:36:49,9:36:54,0,,5/3/2016
47,1,defaultGroupID,Desert Study,-1,1,0,1000,3868,9:36:54,9:36:58,0,,5/3/2016
48,1,defaultGroupID,Desert Study,-1,1,0,1000,4971,9:36:58,9:37:4,0,,5/3/2016
49,1,defaultGroupID,Desert Study,-1,1,0,1000,4999,9:37:4,9:37:10,0,,5/3/2016
50,1,defaultGroupID,Desert Study,-1,1,0,1000,4375,9:37:10,9:37:16,0,,5/3/2016
51,1,defaultGroupID,Desert Study,-1,1,0,1000,3540,9:37:16,9:37:20,0,,5/3/2016
52,1,defaultGroupID,Desert Study,-1,1,0,1000,3576,9:37:20,9:37:25,0,,5/3/2016
53,1,defaultGroupID,Desert Study,-1,1,0,1000,3815,9:37:25,9:37:30,0,,5/3/2016
54,1,defaultGroupID,Desert Study,-1,1,0,1000,3489,9:37:30,9:37:34,0,,5/3/2016
55,1,defaultGroupID,Desert Study,430,0,1,1000,4643,9:37:34,9:37:39,0,,5/3/2016
56,1,defaultGroupID,Desert Study,-1,1,0,1000,3603,9:37:39,9:37:44,0,,5/3/2016
57,1,defaultGroupID,Desert Study,-1,1,0,1000,3767,9:37:44,9:37:49,0,,5/3/2016
58,1,defaultGroupID,Desert Study,265,0,1,1000,4198,9:37:49,9:37:53,0,,5/3/2016
59,1,defaultGroupID,Desert Study,-1,1,0,1000,4090,9:37:53,9:37:58,0,,5/3/2016
60,1,defaultGroupID,Desert Study,282,0,1,1000,4381,9:37:58,9:38:3,0,,5/3/2016
61,1,defaultGroupID,Desert Study,-1,1,0,1000,4688,9:38:3,9:38:9,0,,5/3/2016
62,1,defaultGroupID,Desert Study,-1,1,0,1000,3347,9:38:9,9:38:13,0,,5/3/2016
63,1,defaultGroupID,Desert Study,-1,1,0,1000,3300,9:38:13,9:38:17,0,,5/3/2016
64,1,defaultGroupID,Desert Study,-1,1,0,1000,4373,9:38:17,9:38:23,0,,5/3/2016
65,1,defaultGroupID,Desert Study,291,0,1,1000,4441,9:38:23,9:38:27,0,,5/3/2016
66,1,defaultGroupID,Desert Study,345,0,1,1000,4087,9:38:27,9:38:32,0,,5/3/2016
67,1,defaultGroupID,Desert Study,-1,1,0,1000,4511,9:38:32,9:38:38,0,,5/3/2016
68,1,defaultGroupID,Desert Study,-1,1,0,1000,3626,9:38:38,9:38:43,0,,5/3/2016
69,1,defaultGroupID,Desert Study,-1,1,0,1000,3703,9:38:43,9:38:47,0,,5/3/2016
70,1,defaultGroupID,Desert Study,-1,1,0,1000,4599,9:38:47,9:38:53,0,,5/3/2016
71,1,defaultGroupID,Desert Study,-1,1,0,1000,4504,9:38:53,9:38:58,0,,5/3/2016
72,1,defaultGroupID,Desert Study,391,0,1,1000,3694,9:38:58,9:39:3,0,,5/3/2016
73,1,defaultGroupID,Desert Study,335,0,1,1000,4693,9:39:3,9:39:8,0,,5/3/2016
74,1,defaultGroupID,Desert Study,-1,1,0,1000,4975,9:39:8,9:39:14,0,,5/3/2016
75,1,defaultGroupID,Desert Study,-1,1,0,1000,4458,9:39:14,9:39:20,0,,5/3/2016
76,1,defaultGroupID,Desert Study,-1,1,0,1000,4799,9:39:20,9:39:25,0,,5/3/2016
77,1,defaultGroupID,Desert Study,-1,1,0,1000,4543,9:39:25,9:39:31,0,,5/3/2016
78,1,defaultGroupID,Desert Study,-1,1,0,1000,3353,9:39:31,9:39:35,0,,5/3/2016
79,1,defaultGroupID,Desert Study,356,0,1,1000,3861,9:39:35,9:39:39,0,,5/3/2016
80,1,defaultGroupID,Desert Study,-1,1,0,1000,3169,9:39:39,9:39:44,0,,5/3/2016
81,1,defaultGroupID,Desert Study,-1,1,0,1000,4781,9:39:44,9:39:49,0,,5/3/2016
