"","s","S","F","R","RT","congruent","OverallAcc","WMC"
"1","1","s2","A","r2",0.393,"1",1,"L"
"2","1","s2","A","r2",0.309,"0",1,"L"
"3","1","s2","A","r2",0.405,"1",1,"L"
"4","1","s2","A","r1",0.465,"0",0,"L"
"5","1","s1","A","r1",0.392,"1",1,"L"
"6","1","s2","A","r2",0.403,"1",1,"L"
"7","1","s1","A","r1",0.544,"1",1,"L"
"8","1","s2","A","r2",0.467,"0",1,"L"
"9","1","s2","A","r2",0.492,"1",1,"L"
"10","1","s2","A","r1",0.388,"0",0,"L"
"11","1","s2","A","r2",0.382,"1",1,"L"
"12","1","s2","A","r1",0.396,"0",0,"L"
"13","1","s2","A","r2",0.614,"1",1,"L"
"14","1","s1","A","r1",0.569,"1",1,"L"
"15","1","s2","A","r2",0.635,"0",1,"L"
"16","1","s2","A","r2",0.396,"1",1,"L"
"17","1","s1","A","r1",0.552,"1",1,"L"
"18","1","s2","A","r2",0.475,"0",1,"L"
"19","1","s2","A","r2",0.484,"1",1,"L"
"20","1","s1","A","r1",0.589,"1",1,"L"
"21","1","s2","A","r2",0.543,"1",1,"L"
"22","1","s1","A","r1",0.581,"1",1,"L"
"23","1","s2","A","r2",0.519,"1",1,"L"
"24","1","s1","A","r1",0.478,"1",1,"L"
"25","1","s2","A","r2",0.437,"1",1,"L"
"26","1","s2","A","r2",0.48,"0",1,"L"
"27","1","s1","A","r1",0.712,"1",1,"L"
"28","1","s1","A","r1",0.421,"1",1,"L"
"29","1","s2","A","r2",0.398,"0",1,"L"
"30","1","s2","A","r2",0.427,"0",1,"L"
"31","1","s2","A","r2",0.373,"1",1,"L"
"32","1","s1","A","r1",0.483,"1",1,"L"
"33","1","s1","A","r1",0.457,"1",1,"L"
"34","1","s2","A","r2",0.529,"1",1,"L"
"35","1","s1","A","r1",0.44,"1",1,"L"
"36","1","s1","A","r1",0.432,"1",1,"L"
"37","1","s2","A","r2",0.409,"1",1,"L"
"38","1","s2","A","r2",0.517,"1",1,"L"
"39","1","s1","A","r1",0.508,"1",1,"L"
"40","1","s2","A","r1",0.514,"0",0,"L"
"41","1","s2","A","r2",0.455,"0",1,"L"
"42","1","s1","A","r1",0.417,"1",1,"L"
"43","1","s2","A","r2",0.426,"1",1,"L"
"44","1","s1","A","r1",0.469,"1",1,"L"
"45","1","s2","A","r1",0.525,"0",0,"L"
